Region,Coverage
CHP2_MPL_1.1,634
CHP2_NRAS_3.1,4553
CHP2_NRAS_2.1,3245
CHP2_NRAS_1.1,4757
CHP2_ALK_2.1,646
CHP2_ALK_1.1,1067
CHP2_IDH1_1.1,5683
CHP2_ERBB4_8.1,4978
CHP2_ERBB4_7.1,1060
CHP2_ERBB4_6.1,8097
CHP2_ERBB4_5.1,5457
CHP2_ERBB4_4.1,4025
CHP2_ERBB4_3.1,968
CHP2_ERBB4_2.1,6485
CHP2_ERBB4_1.1,5041
CHP2_VHL_1.1,247
CHP2_VHL_2.1,2379
CHP2_VHL_3.1,4138
CHP2_MLH1_1.1,3846
CHP2_CTNNB1_1.1,1712
CHP2_PIK3CA_1.1,4097
CHP2_PIK3CA_2.1,2666
CHP2_PIK3CA_3.1,4810
CHP2_PIK3CA_4.1,2609
CHP2_PIK3CA_5.1,1433
CHP2_PIK3CA_6.1,2725
CHP2_PIK3CA_7.1,5722
CHP2_PIK3CA_8.1,2592
CHP2_PIK3CA_9.1,8924
CHP2_PIK3CA_10.1,4016
CHP2_PIK3CA_11.1,5026
CHP2_FGFR3_1.1,313
CHP2_FGFR3_2.1,133
CHP2_FGFR3_3.1,544
CHP2_FGFR3_4.1,898
CHP2_FGFR3_5.1,691
CHP2_PDGFRA_1.1,2764
CHP2_PDGFRA_2.1,6595
CHP2_PDGFRA_3.1,3695
CHP2_PDGFRA_4.1,3108
CHP2_KIT_1.1,5753
CHP2_KIT_2.1,5895
CHP2_KIT_3.1,4195
CHP2_KIT_4.1,6310
CHP2_KIT_5.1,3027
CHP2_KIT_6.1,8450
CHP2_KIT_7.1,4543
CHP2_KIT_8.1,6354
CHP2_KIT_9.1,7907
CHP2_KDR_9.1,1415
CHP2_KDR_8.1,4563
CHP2_KDR_7.1,5322
CHP2_KDR_6.1,8360
CHP2_KDR_5.1,8676
CHP2_KDR_4.1,4288
CHP2_KDR_3.1,2784
CHP2_KDR_2.1,2191
CHP2_KDR_1.1,3801
CHP2_FBXW7_5.1,6887
CHP2_FBXW7_4.1,5773
CHP2_FBXW7_3.1,4952
CHP2_FBXW7_2.1,6625
CHP2_FBXW7_1.1,4049
CHP2_APC_1.1,4683
CHP2_APC_2.1,4747
CHP2_APC_3.1,4034
CHP2_APC_4.1,4698
CHP2_APC_5.1,2262
CHP2_APC_6.1,6231
CHP2_APC_7.1,1334
CHP2_CSF1R_2.1,313
CHP2_CSF1R_1.1,1873
CHP2_NPM1_1.1,3774
CHP2_EGFR_1.1,3421
CHP2_EGFR_2.1,1376
CHP2_EGFR_3.1,5327
CHP2_EGFR_4.1,743
CHP2_EGFR_5.1,2043
CHP2_EGFR_6.1,711
CHP2_EGFR_7.1,1685
CHP2_EGFR_8.1,1498
CHP2_MET_1.1,5885
CHP2_MET_2.1,3554
CHP2_MET_3.1,3050
CHP2_MET_4.1,5533
CHP2_MET_5.1,4942
CHP2_MET_6.1,3253
CHP2_SMO_1.1,1280
CHP2_SMO_2.1,681
CHP2_SMO_3.1,991
CHP2_SMO_4.1,663
CHP2_SMO_5.1,992
CHP2_BRAF_2.1,3997
CHP2_BRAF_1.1,5065
CHP2_EZH2_1.1,4170
CHP2_FGFR1_2.1,1555
CHP2_FGFR1_1.1,1034
CHP2_JAK2_1.1,3194
CHP2_CDKN2A_2.1,372
CHP2_CDKN2A_1.1,676
CHP2_GNAQ_1.1,3040
CHP2_ABL1_1.1,3771
CHP2_ABL1_2.1,3553
CHP2_ABL1_3.1,1297
CHP2_ABL1_4.1,1032
CHP2_NOTCH1_3.1,306
CHP2_NOTCH1_2.1,805
CHP2_NOTCH1_1.1,141
CHP2_RET_1.1,938
CHP2_RET_2.1,280
CHP2_RET_3.1,905
CHP2_RET_4.1,512
CHP2_RET_5.1,1797
CHP2_PTEN_1.1,1075
CHP2_PTEN_2.1,5470
CHP2_PTEN_3.1,3290
CHP2_PTEN_4.1,3015
CHP2_PTEN_5.1,3890
CHP2_PTEN_6.1,4008
CHP2_PTEN_7.1,13562
CHP2_PTEN_8.1,4650
CHP2_FGFR2_4.1,4608
CHP2_FGFR2_3.1,1387
CHP2_FGFR2_2.1,2717
CHP2_FGFR2_1.1,1594
CHP2_HRAS_2.1,244
CHP2_HRAS_1.1,217
CHP2_ATM_1.1,4271
CHP2_ATM_2.1,7473
CHP2_ATM_3.1,6115
CHP2_ATM_4.1,4024
CHP2_ATM_5.1,4914
CHP2_ATM_6.1,3990
CHP2_ATM_7.1,8507
CHP2_ATM_8.1,9179
CHP2_ATM_9.1,3354
CHP2_ATM_10.1,5452
CHP2_ATM_11.1,9306
CHP2_ATM_12.1,8656
CHP2_ATM_13.1,6384
CHP2_ATM_14.1,3352
CHP2_ATM_15.1,5119
CHP2_ATM_16.1,3151
CHP2_ATM_17.1,1433
CHP2_KRAS_3.1,4583
CHP2_KRAS_2.1,4739
CHP2_KRAS_1.1,4231
CHP2_PTPN11_1.1,5439
CHP2_PTPN11_2.1,4156
CHP2_HNF1A_1.1,1645
CHP2_HNF1A_2.1,1960
CHP2_FLT3_4.1,4234
CHP2_FLT3_3.1,4060
CHP2_FLT3_2.1,3541
CHP2_FLT3_1.1,5343
CHP2_RB1_1.1,3684
CHP2_RB1_2.1,3981
CHP2_RB1_3.1,3340
CHP2_RB1_4.1,2362
CHP2_RB1_5.1,2606
CHP2_RB1_6.1,7087
CHP2_RB1_7.1,5370
CHP2_RB1_8.1,3351
CHP2_RB1_9.1,5530
CHP2_RB1_10.1,3969
CHP2_AKT1_2.1,811
CHP2_AKT1_1.1,376
CHP2_IDH2_1.1,1190
CHP2_CDH1_1.1,3652
CHP2_CDH1_2.1,2760
CHP2_CDH1_3.1,3962
CHP2_TP53_8.1,1330
CHP2_TP53_7.1,978
CHP2_TP53_6.1,2083
CHP2_TP53_5.1,1422
CHP2_TP53_4.1,1723
CHP2_TP53_3.1,1707
CHP2_TP53_2.1,699
CHP2_TP53_1.1,1769
CHP2_ERBB2_1.1,1953
CHP2_ERBB2_2.1,876
CHP2_ERBB2_3.1,797
CHP2_SMAD4_1.1,3926
CHP2_SMAD4_2.1,2544
CHP2_SMAD4_3.1,3312
CHP2_SMAD4_4.1,4153
CHP2_SMAD4_5.1,4212
CHP2_SMAD4_6.1,4456
CHP2_SMAD4_7.1,1722
CHP2_SMAD4_8.1,4226
CHP2_SMAD4_9.1,2177
CHP2_STK11_1.1,1049
CHP2_STK11_2.1,138
CHP2_STK11_3.1,390
CHP2_STK11_4.1,578
CHP2_STK11_5.1,446
CHP2_GNA11_1.1,429
CHP2_JAK3_3.1,798
CHP2_JAK3_2.1,1053
CHP2_JAK3_1.1,787
CHP2_SRC_1.1,1413
CHP2_GNAS_1.1,1380
CHP2_GNAS_2.1,2516
CHP2_SMARCB1_1.1,1924
CHP2_SMARCB1_2.1,213
CHP2_SMARCB1_3.1,1714
CHP2_SMARCB1_4.1,396
