Region,Coverage
CHP2_MPL_1.1,1057
CHP2_NRAS_3.1,3401
CHP2_NRAS_2.1,1876
CHP2_NRAS_1.1,2890
CHP2_ALK_2.1,634
CHP2_ALK_1.1,1651
CHP2_IDH1_1.1,3936
CHP2_ERBB4_8.1,3407
CHP2_ERBB4_7.1,809
CHP2_ERBB4_6.1,7578
CHP2_ERBB4_5.1,4573
CHP2_ERBB4_4.1,3165
CHP2_ERBB4_3.1,646
CHP2_ERBB4_2.1,4669
CHP2_ERBB4_1.1,3931
CHP2_VHL_1.1,472
CHP2_VHL_2.1,3033
CHP2_VHL_3.1,4022
CHP2_MLH1_1.1,4074
CHP2_CTNNB1_1.1,1076
CHP2_PIK3CA_1.1,2922
CHP2_PIK3CA_2.1,1716
CHP2_PIK3CA_3.1,3444
CHP2_PIK3CA_4.1,1777
CHP2_PIK3CA_5.1,1286
CHP2_PIK3CA_6.1,1611
CHP2_PIK3CA_7.1,3693
CHP2_PIK3CA_8.1,2364
CHP2_PIK3CA_9.1,5942
CHP2_PIK3CA_10.1,2827
CHP2_PIK3CA_11.1,2866
CHP2_FGFR3_1.1,1057
CHP2_FGFR3_2.1,392
CHP2_FGFR3_3.1,1812
CHP2_FGFR3_4.1,3459
CHP2_FGFR3_5.1,2936
CHP2_PDGFRA_1.1,2326
CHP2_PDGFRA_2.1,5507
CHP2_PDGFRA_3.1,3314
CHP2_PDGFRA_4.1,3394
CHP2_KIT_1.1,5006
CHP2_KIT_2.1,4159
CHP2_KIT_3.1,3158
CHP2_KIT_4.1,6179
CHP2_KIT_5.1,2675
CHP2_KIT_6.1,6366
CHP2_KIT_7.1,3199
CHP2_KIT_8.1,4863
CHP2_KIT_9.1,6363
CHP2_KDR_9.1,1407
CHP2_KDR_8.1,4803
CHP2_KDR_7.1,4749
CHP2_KDR_6.1,7081
CHP2_KDR_5.1,7499
CHP2_KDR_4.1,4367
CHP2_KDR_3.1,2709
CHP2_KDR_2.1,1062
CHP2_KDR_1.1,3460
CHP2_FBXW7_5.1,4537
CHP2_FBXW7_4.1,4553
CHP2_FBXW7_3.1,4663
CHP2_FBXW7_2.1,4768
CHP2_FBXW7_1.1,3424
CHP2_APC_1.1,4088
CHP2_APC_2.1,4456
CHP2_APC_3.1,4359
CHP2_APC_4.1,5264
CHP2_APC_5.1,2053
CHP2_APC_6.1,7031
CHP2_APC_7.1,1670
CHP2_CSF1R_2.1,799
CHP2_CSF1R_1.1,2609
CHP2_NPM1_1.1,4245
CHP2_EGFR_1.1,2987
CHP2_EGFR_2.1,2519
CHP2_EGFR_3.1,7568
CHP2_EGFR_4.1,1009
CHP2_EGFR_5.1,2710
CHP2_EGFR_6.1,1522
