Region,Coverage
CHP2_MPL_1.1,922
CHP2_NRAS_3.1,4048
CHP2_NRAS_2.1,1225
CHP2_NRAS_1.1,2288
CHP2_ALK_2.1,400
CHP2_ALK_1.1,701
CHP2_IDH1_1.1,1647
CHP2_ERBB4_8.1,2057
CHP2_ERBB4_7.1,209
CHP2_ERBB4_6.1,1510
CHP2_ERBB4_5.1,938
CHP2_ERBB4_4.1,1236
CHP2_ERBB4_3.1,433
CHP2_ERBB4_2.1,1904
CHP2_ERBB4_1.1,778
CHP2_VHL_1.1,709
CHP2_VHL_2.1,1520
CHP2_VHL_3.1,2776
CHP2_MLH1_1.1,1037
CHP2_CTNNB1_1.1,467
CHP2_PIK3CA_1.1,1220
CHP2_PIK3CA_2.1,820
CHP2_PIK3CA_3.1,1336
CHP2_PIK3CA_4.1,504
CHP2_PIK3CA_5.1,736
CHP2_PIK3CA_6.1,1198
CHP2_PIK3CA_7.1,3107
CHP2_PIK3CA_8.1,668
CHP2_PIK3CA_9.1,6251
CHP2_PIK3CA_10.1,1446
CHP2_PIK3CA_11.1,2061
CHP2_FGFR3_1.1,1596
CHP2_FGFR3_2.1,481
CHP2_FGFR3_3.1,2525
CHP2_FGFR3_4.1,4034
CHP2_FGFR3_5.1,2577
CHP2_PDGFRA_1.1,536
CHP2_PDGFRA_2.1,3178
CHP2_PDGFRA_3.1,745
CHP2_PDGFRA_4.1,1315
CHP2_KIT_1.1,1505
CHP2_KIT_2.1,2571
CHP2_KIT_3.1,1545
CHP2_KIT_4.1,1262
CHP2_KIT_5.1,914
CHP2_KIT_6.1,4017
CHP2_KIT_7.1,1604
CHP2_KIT_8.1,2755
CHP2_KIT_9.1,3447
CHP2_KDR_9.1,434
CHP2_KDR_8.1,1781
CHP2_KDR_7.1,2163
CHP2_KDR_6.1,4658
CHP2_KDR_5.1,5934
CHP2_KDR_4.1,853
CHP2_KDR_3.1,437
CHP2_KDR_2.1,1087
CHP2_KDR_1.1,722
CHP2_FBXW7_5.1,3873
CHP2_FBXW7_4.1,2853
CHP2_FBXW7_3.1,732
CHP2_FBXW7_2.1,3314
CHP2_FBXW7_1.1,507
CHP2_APC_1.1,3074
CHP2_APC_2.1,1388
CHP2_APC_3.1,1053
CHP2_APC_4.1,811
CHP2_APC_5.1,511
CHP2_APC_6.1,1418
CHP2_APC_7.1,374
CHP2_CSF1R_2.1,509
CHP2_CSF1R_1.1,1419
CHP2_NPM1_1.1,1461
CHP2_EGFR_1.1,1455
CHP2_EGFR_2.1,731
CHP2_EGFR_3.1,6216
CHP2_EGFR_4.1,886
CHP2_EGFR_5.1,758
CHP2_EGFR_6.1,1062
CHP2_EGFR_7.1,1060
CHP2_EGFR_8.1,1183
CHP2_MET_1.1,3868
CHP2_MET_2.1,1107
CHP2_MET_3.1,556
CHP2_MET_4.1,1224
CHP2_MET_5.1,1099
CHP2_MET_6.1,1928
CHP2_SMO_1.1,2367
CHP2_SMO_2.1,713
CHP2_SMO_3.1,1886
CHP2_SMO_4.1,1197
CHP2_SMO_5.1,1142
CHP2_BRAF_2.1,862
CHP2_BRAF_1.1,1460
CHP2_EZH2_1.1,2592
CHP2_FGFR1_2.1,1166
CHP2_FGFR1_1.1,352
CHP2_JAK2_1.1,577
CHP2_CDKN2A_2.1,867
CHP2_CDKN2A_1.1,810
CHP2_GNAQ_1.1,635
CHP2_ABL1_1.1,8699
CHP2_ABL1_2.1,2859
CHP2_ABL1_3.1,717
CHP2_ABL1_4.1,918
CHP2_NOTCH1_3.1,1086
CHP2_NOTCH1_2.1,2570
CHP2_NOTCH1_1.1,851
CHP2_RET_1.1,1703
CHP2_RET_2.1,953
CHP2_RET_3.1,2088
CHP2_RET_4.1,740
CHP2_RET_5.1,782
CHP2_PTEN_1.1,632
CHP2_PTEN_2.1,879
CHP2_PTEN_3.1,766
CHP2_PTEN_4.1,509
CHP2_PTEN_5.1,948
CHP2_PTEN_6.1,980
CHP2_PTEN_7.1,8062
CHP2_PTEN_8.1,1448
CHP2_FGFR2_4.1,2195
CHP2_FGFR2_3.1,369
CHP2_FGFR2_2.1,1235
CHP2_FGFR2_1.1,1723
CHP2_HRAS_2.1,555
CHP2_HRAS_1.1,826
CHP2_ATM_1.1,884
CHP2_ATM_2.1,3130
CHP2_ATM_3.1,2371
CHP2_ATM_4.1,1449
CHP2_ATM_5.1,1391
CHP2_ATM_6.1,1048
CHP2_ATM_7.1,2640
CHP2_ATM_8.1,5667
CHP2_ATM_9.1,3119
CHP2_ATM_10.1,2861
CHP2_ATM_11.1,5310
CHP2_ATM_12.1,4048
CHP2_ATM_13.1,1412
CHP2_ATM_14.1,351
CHP2_ATM_15.1,1709
CHP2_ATM_16.1,1417
CHP2_ATM_17.1,689
CHP2_KRAS_3.1,863
CHP2_KRAS_2.1,1711
CHP2_KRAS_1.1,734
CHP2_PTPN11_1.1,1302
CHP2_PTPN11_2.1,1184
CHP2_HNF1A_1.1,2010
CHP2_HNF1A_2.1,5322
CHP2_FLT3_4.1,2207
CHP2_FLT3_3.1,2521
CHP2_FLT3_2.1,640
CHP2_FLT3_1.1,3821
CHP2_RB1_1.1,894
CHP2_RB1_2.1,647
CHP2_RB1_3.1,684
CHP2_RB1_4.1,577
CHP2_RB1_5.1,1250
CHP2_RB1_6.1,3076
CHP2_RB1_7.1,1824
CHP2_RB1_8.1,1293
CHP2_RB1_9.1,1371
CHP2_RB1_10.1,2097
CHP2_AKT1_2.1,2436
CHP2_AKT1_1.1,498
CHP2_IDH2_1.1,1039
CHP2_CDH1_1.1,2761
CHP2_CDH1_2.1,910
CHP2_CDH1_3.1,2547
CHP2_TP53_8.1,1632
CHP2_TP53_7.1,643
CHP2_TP53_6.1,1969
CHP2_TP53_5.1,892
CHP2_TP53_4.1,1775
CHP2_TP53_3.1,2687
CHP2_TP53_2.1,895
CHP2_TP53_1.1,2004
CHP2_ERBB2_1.1,1150
CHP2_ERBB2_2.1,1232
CHP2_ERBB2_3.1,913
CHP2_SMAD4_1.1,1285
CHP2_SMAD4_2.1,382
CHP2_SMAD4_3.1,989
CHP2_SMAD4_4.1,736
CHP2_SMAD4_5.1,1162
CHP2_SMAD4_6.1,1149
CHP2_SMAD4_7.1,604
CHP2_SMAD4_8.1,5057
CHP2_SMAD4_9.1,735
CHP2_STK11_1.1,1501
CHP2_STK11_2.1,368
CHP2_STK11_3.1,2144
CHP2_STK11_4.1,2653
CHP2_STK11_5.1,1723
CHP2_GNA11_1.1,1924
CHP2_JAK3_3.1,1566
CHP2_JAK3_2.1,2127
CHP2_JAK3_1.1,2533
CHP2_SRC_1.1,4291
CHP2_GNAS_1.1,461
CHP2_GNAS_2.1,2688
CHP2_SMARCB1_1.1,1005
CHP2_SMARCB1_2.1,278
CHP2_SMARCB1_3.1,1453
CHP2_SMARCB1_4.1,613
