Region,Coverage
CHP2_MPL_1.1,1417
CHP2_NRAS_3.1,3381
CHP2_NRAS_2.1,2495
CHP2_NRAS_1.1,3678
CHP2_ALK_2.1,716
CHP2_ALK_1.1,1499
CHP2_IDH1_1.1,3867
CHP2_ERBB4_8.1,2955
CHP2_ERBB4_7.1,746
CHP2_ERBB4_6.1,5887
CHP2_ERBB4_5.1,3905
CHP2_ERBB4_4.1,2768
CHP2_ERBB4_3.1,643
CHP2_ERBB4_2.1,3917
CHP2_ERBB4_1.1,3220
CHP2_VHL_1.1,630
CHP2_VHL_2.1,2847
CHP2_VHL_3.1,4089
CHP2_MLH1_1.1,4749
CHP2_CTNNB1_1.1,1440
CHP2_PIK3CA_1.1,3702
CHP2_PIK3CA_2.1,2391
CHP2_PIK3CA_3.1,4112
CHP2_PIK3CA_4.1,2377
CHP2_PIK3CA_5.1,1493
CHP2_PIK3CA_6.1,2129
CHP2_PIK3CA_7.1,4674
CHP2_PIK3CA_8.1,2631
CHP2_PIK3CA_9.1,7184
CHP2_PIK3CA_10.1,3313
CHP2_PIK3CA_11.1,4014
CHP2_FGFR3_1.1,894
CHP2_FGFR3_2.1,329
CHP2_FGFR3_3.1,1372
CHP2_FGFR3_4.1,2658
CHP2_FGFR3_5.1,2292
CHP2_PDGFRA_1.1,2081
CHP2_PDGFRA_2.1,4369
CHP2_PDGFRA_3.1,2748
CHP2_PDGFRA_4.1,3296
CHP2_KIT_1.1,4630
CHP2_KIT_2.1,3882
CHP2_KIT_3.1,3101
CHP2_KIT_4.1,5386
CHP2_KIT_5.1,2149
CHP2_KIT_6.1,5524
CHP2_KIT_7.1,2890
CHP2_KIT_8.1,4030
CHP2_KIT_9.1,5093
CHP2_KDR_9.1,1311
CHP2_KDR_8.1,4019
CHP2_KDR_7.1,3930
CHP2_KDR_6.1,5970
CHP2_KDR_5.1,6357
CHP2_KDR_4.1,3758
CHP2_KDR_3.1,1105
CHP2_KDR_2.1,1382
CHP2_KDR_1.1,3143
CHP2_FBXW7_5.1,4153
CHP2_FBXW7_4.1,3757
CHP2_FBXW7_3.1,4077
CHP2_FBXW7_2.1,3987
CHP2_FBXW7_1.1,3180
CHP2_APC_1.1,2962
CHP2_APC_2.1,3564
CHP2_APC_3.1,3172
CHP2_APC_4.1,4027
CHP2_APC_5.1,1605
CHP2_APC_6.1,4785
CHP2_APC_7.1,1118
CHP2_CSF1R_2.1,512
CHP2_CSF1R_1.1,1882
CHP2_NPM1_1.1,3056
CHP2_EGFR_1.1,3116
CHP2_EGFR_2.1,2588
CHP2_EGFR_3.1,7498
CHP2_EGFR_4.1,1069
CHP2_EGFR_5.1,2833
CHP2_EGFR_6.1,1415
CHP2_EGFR_7.1,2408
CHP2_EGFR_8.1,2865
CHP2_MET_1.1,4490
CHP2_MET_2.1,2849
CHP2_MET_3.1,2588
CHP2_MET_4.1,4458
CHP2_MET_5.1,3888
CHP2_MET_6.1,2093
CHP2_SMO_1.1,3075
CHP2_SMO_2.1,1174
CHP2_SMO_3.1,1573
CHP2_SMO_4.1,1367
CHP2_SMO_5.1,2101
CHP2_BRAF_2.1,3747
CHP2_BRAF_1.1,4191
CHP2_EZH2_1.1,3515
CHP2_FGFR1_2.1,2363
CHP2_FGFR1_1.1,1439
CHP2_JAK2_1.1,3043
CHP2_CDKN2A_2.1,671
CHP2_CDKN2A_1.1,1210
CHP2_GNAQ_1.1,2598
CHP2_ABL1_1.1,5494
CHP2_ABL1_2.1,3734
CHP2_ABL1_3.1,2630
CHP2_ABL1_4.1,1688
CHP2_NOTCH1_3.1,774
CHP2_NOTCH1_2.1,2284
CHP2_NOTCH1_1.1,458
CHP2_RET_1.1,1794
CHP2_RET_2.1,635
CHP2_RET_3.1,1559
CHP2_RET_4.1,1009
CHP2_RET_5.1,2413
CHP2_PTEN_1.1,1165
CHP2_PTEN_2.1,4533
CHP2_PTEN_3.1,2744
CHP2_PTEN_4.1,2522
CHP2_PTEN_5.1,3237
CHP2_PTEN_6.1,3261
CHP2_PTEN_7.1,10566
CHP2_PTEN_8.1,3581
CHP2_FGFR2_4.1,3525
CHP2_FGFR2_3.1,1424
CHP2_FGFR2_2.1,3472
CHP2_FGFR2_1.1,2068
CHP2_HRAS_2.1,561
CHP2_HRAS_1.1,551
CHP2_ATM_1.1,3352
CHP2_ATM_2.1,4778
CHP2_ATM_3.1,4542
CHP2_ATM_4.1,3161
CHP2_ATM_5.1,3764
CHP2_ATM_6.1,2922
CHP2_ATM_7.1,6088
CHP2_ATM_8.1,5815
CHP2_ATM_9.1,1825
CHP2_ATM_10.1,3333
CHP2_ATM_11.1,5352
