Region,Coverage
CHP2_MPL_1.1,1168
CHP2_NRAS_3.1,3553
CHP2_NRAS_2.1,2246
CHP2_NRAS_1.1,3618
CHP2_ALK_2.1,575
CHP2_ALK_1.1,1539
CHP2_IDH1_1.1,3760
CHP2_ERBB4_8.1,3247
CHP2_ERBB4_7.1,726
CHP2_ERBB4_6.1,7009
CHP2_ERBB4_5.1,4210
CHP2_ERBB4_4.1,2651
CHP2_ERBB4_3.1,610
CHP2_ERBB4_2.1,4616
CHP2_ERBB4_1.1,3446
CHP2_VHL_1.1,455
CHP2_VHL_2.1,2990
CHP2_VHL_3.1,3915
CHP2_MLH1_1.1,4886
CHP2_CTNNB1_1.1,1124
CHP2_PIK3CA_1.1,3566
CHP2_PIK3CA_2.1,2065
CHP2_PIK3CA_3.1,4182
CHP2_PIK3CA_4.1,2176
CHP2_PIK3CA_5.1,1899
CHP2_PIK3CA_6.1,1902
CHP2_PIK3CA_7.1,4865
CHP2_PIK3CA_8.1,2698
CHP2_PIK3CA_9.1,7403
CHP2_PIK3CA_10.1,3518
CHP2_PIK3CA_11.1,3811
CHP2_FGFR3_1.1,769
CHP2_FGFR3_2.1,284
CHP2_FGFR3_3.1,1267
CHP2_FGFR3_4.1,2385
CHP2_FGFR3_5.1,2199
CHP2_PDGFRA_1.1,2346
CHP2_PDGFRA_2.1,5014
CHP2_PDGFRA_3.1,3202
CHP2_PDGFRA_4.1,3384
CHP2_KIT_1.1,4788
CHP2_KIT_2.1,4106
CHP2_KIT_3.1,3027
CHP2_KIT_4.1,6270
CHP2_KIT_5.1,2372
CHP2_KIT_6.1,5641
CHP2_KIT_7.1,2818
CHP2_KIT_8.1,4561
CHP2_KIT_9.1,5271
CHP2_KDR_9.1,1206
CHP2_KDR_8.1,4745
CHP2_KDR_7.1,4041
CHP2_KDR_6.1,6403
CHP2_KDR_5.1,7053
CHP2_KDR_4.1,4787
CHP2_KDR_3.1,1365
CHP2_KDR_2.1,1258
CHP2_KDR_1.1,3183
CHP2_FBXW7_5.1,3993
CHP2_FBXW7_4.1,3643
CHP2_FBXW7_3.1,4572
CHP2_FBXW7_2.1,4239
CHP2_FBXW7_1.1,3316
CHP2_APC_1.1,3128
CHP2_APC_2.1,3650
CHP2_APC_3.1,3251
CHP2_APC_4.1,4166
CHP2_APC_5.1,1229
CHP2_APC_6.1,5350
CHP2_APC_7.1,1471
CHP2_CSF1R_2.1,533
CHP2_CSF1R_1.1,1884
CHP2_NPM1_1.1,3085
CHP2_EGFR_1.1,3068
CHP2_EGFR_2.1,2615
CHP2_EGFR_3.1,7573
CHP2_EGFR_4.1,803
CHP2_EGFR_5.1,2902
CHP2_EGFR_6.1,1427
CHP2_EGFR_7.1,2264
CHP2_EGFR_8.1,2935
CHP2_MET_1.1,3983
CHP2_MET_2.1,2701
CHP2_MET_3.1,2359
CHP2_MET_4.1,4705
CHP2_MET_5.1,4129
CHP2_MET_6.1,1949
CHP2_SMO_1.1,2941
CHP2_SMO_2.1,1046
CHP2_SMO_3.1,1328
CHP2_SMO_4.1,1144
CHP2_SMO_5.1,2024
CHP2_BRAF_2.1,3688
CHP2_BRAF_1.1,4014
CHP2_EZH2_1.1,3250
CHP2_FGFR1_2.1,1927
CHP2_FGFR1_1.1,1236
CHP2_JAK2_1.1,2967
CHP2_CDKN2A_2.1,865
CHP2_CDKN2A_1.1,1490
CHP2_GNAQ_1.1,2516
CHP2_ABL1_1.1,5877
CHP2_ABL1_2.1,3655
CHP2_ABL1_3.1,2880
CHP2_ABL1_4.1,1744
CHP2_NOTCH1_3.1,636
CHP2_NOTCH1_2.1,2617
CHP2_NOTCH1_1.1,397
CHP2_RET_1.1,2342
CHP2_RET_2.1,613
CHP2_RET_3.1,1727
CHP2_RET_4.1,1195
CHP2_RET_5.1,3018
CHP2_PTEN_1.1,1205
CHP2_PTEN_2.1,5168
CHP2_PTEN_3.1,3111
CHP2_PTEN_4.1,2783
CHP2_PTEN_5.1,3456
CHP2_PTEN_6.1,3221
CHP2_PTEN_7.1,8032
CHP2_PTEN_8.1,4037
CHP2_FGFR2_4.1,3386
CHP2_FGFR2_3.1,1594
CHP2_FGFR2_2.1,3799
CHP2_FGFR2_1.1,2007
CHP2_HRAS_2.1,518
CHP2_HRAS_1.1,546
CHP2_ATM_1.1,3752
CHP2_ATM_2.1,4983
CHP2_ATM_3.1,5138
CHP2_ATM_4.1,3304
CHP2_ATM_5.1,3921
CHP2_ATM_6.1,3050
CHP2_ATM_7.1,7305
CHP2_ATM_8.1,7026
CHP2_ATM_9.1,1699
CHP2_ATM_10.1,3474
CHP2_ATM_11.1,5515
CHP2_ATM_12.1,6568
CHP2_ATM_13.1,5689
CHP2_ATM_14.1,2637
CHP2_ATM_15.1,3207
CHP2_ATM_16.1,2056
CHP2_ATM_17.1,1015
CHP2_KRAS_3.1,4550
CHP2_KRAS_2.1,4671
CHP2_KRAS_1.1,3738
CHP2_PTPN11_1.1,4743
CHP2_PTPN11_2.1,3814
CHP2_HNF1A_1.1,2086
CHP2_HNF1A_2.1,3806
CHP2_FLT3_4.1,3076
CHP2_FLT3_3.1,3878
CHP2_FLT3_2.1,3454
CHP2_FLT3_1.1,5823
CHP2_RB1_1.1,3004
CHP2_RB1_2.1,3597
CHP2_RB1_3.1,2712
CHP2_RB1_4.1,1933
CHP2_RB1_5.1,3258
CHP2_RB1_6.1,4916
CHP2_RB1_7.1,3367
CHP2_RB1_8.1,3388
CHP2_RB1_9.1,4285
CHP2_RB1_10.1,3129
CHP2_AKT1_2.1,1821
CHP2_AKT1_1.1,960
CHP2_IDH2_1.1,2467
CHP2_CDH1_1.1,3149
CHP2_CDH1_2.1,2454
CHP2_CDH1_3.1,3843
CHP2_TP53_8.1,1766
CHP2_TP53_7.1,1723
CHP2_TP53_6.1,3825
CHP2_TP53_5.1,2010
CHP2_TP53_4.1,3254
CHP2_TP53_3.1,2113
CHP2_TP53_2.1,1258
CHP2_TP53_1.1,3583
CHP2_ERBB2_1.1,3459
CHP2_ERBB2_2.1,1741
CHP2_ERBB2_3.1,1354
CHP2_SMAD4_1.1,3443
CHP2_SMAD4_2.1,2226
CHP2_SMAD4_3.1,2442
CHP2_SMAD4_4.1,3745
CHP2_SMAD4_5.1,2972
CHP2_SMAD4_6.1,4372
CHP2_SMAD4_7.1,1367
CHP2_SMAD4_8.1,5079
CHP2_SMAD4_9.1,1729
CHP2_STK11_1.1,3067
CHP2_STK11_2.1,415
CHP2_STK11_3.1,1192
CHP2_STK11_4.1,1560
CHP2_STK11_5.1,1491
CHP2_GNA11_1.1,1058
CHP2_JAK3_3.1,1852
CHP2_JAK3_2.1,1463
CHP2_JAK3_1.1,1965
CHP2_SRC_1.1,3269
CHP2_GNAS_1.1,1122
CHP2_GNAS_2.1,4037
CHP2_SMARCB1_1.1,2095
CHP2_SMARCB1_2.1,343
CHP2_SMARCB1_3.1,3349
CHP2_SMARCB1_4.1,824
