Region,Coverage
CHP2_MPL_1.1,1069
CHP2_NRAS_3.1,3488
CHP2_NRAS_2.1,1689
CHP2_NRAS_1.1,3406
CHP2_ALK_2.1,920
CHP2_ALK_1.1,2028
CHP2_IDH1_1.1,3587
CHP2_ERBB4_8.1,3011
CHP2_ERBB4_7.1,575
CHP2_ERBB4_6.1,7527
CHP2_ERBB4_5.1,3517
CHP2_ERBB4_4.1,3127
CHP2_ERBB4_3.1,731
CHP2_ERBB4_2.1,4835
CHP2_ERBB4_1.1,3866
CHP2_VHL_1.1,566
CHP2_VHL_2.1,3458
CHP2_VHL_3.1,5163
CHP2_MLH1_1.1,5418
CHP2_CTNNB1_1.1,970
CHP2_PIK3CA_1.1,3817
CHP2_PIK3CA_2.1,2267
CHP2_PIK3CA_3.1,4998
CHP2_PIK3CA_4.1,2184
CHP2_PIK3CA_5.1,1701
CHP2_PIK3CA_6.1,2101
CHP2_PIK3CA_7.1,5384
CHP2_PIK3CA_8.1,2562
CHP2_PIK3CA_9.1,8241
CHP2_PIK3CA_10.1,3608
CHP2_PIK3CA_11.1,3443
CHP2_FGFR3_1.1,632
CHP2_FGFR3_2.1,269
CHP2_FGFR3_3.1,1267
CHP2_FGFR3_4.1,2528
CHP2_FGFR3_5.1,2295
CHP2_PDGFRA_1.1,2196
CHP2_PDGFRA_2.1,4726
CHP2_PDGFRA_3.1,2237
CHP2_PDGFRA_4.1,3831
CHP2_KIT_1.1,4351
CHP2_KIT_2.1,3501
CHP2_KIT_3.1,2292
CHP2_KIT_4.1,4778
CHP2_KIT_5.1,2357
CHP2_KIT_6.1,5235
CHP2_KIT_7.1,2278
CHP2_KIT_8.1,4383
CHP2_KIT_9.1,4893
CHP2_KDR_9.1,1396
CHP2_KDR_8.1,5332
CHP2_KDR_7.1,4151
CHP2_KDR_6.1,5679
CHP2_KDR_5.1,7825
CHP2_KDR_4.1,2977
CHP2_KDR_3.1,1783
CHP2_KDR_2.1,1116
CHP2_KDR_1.1,2177
CHP2_FBXW7_5.1,3815
CHP2_FBXW7_4.1,2792
CHP2_FBXW7_3.1,3156
CHP2_FBXW7_2.1,4355
CHP2_FBXW7_1.1,2710
CHP2_APC_1.1,3310
CHP2_APC_2.1,3417
CHP2_APC_3.1,3846
CHP2_APC_4.1,5705
CHP2_APC_5.1,1438
CHP2_APC_6.1,5583
CHP2_APC_7.1,1141
CHP2_CSF1R_2.1,723
CHP2_CSF1R_1.1,2496
CHP2_NPM1_1.1,3052
CHP2_EGFR_1.1,3394
CHP2_EGFR_2.1,3330
CHP2_EGFR_3.1,9715
CHP2_EGFR_4.1,1298
CHP2_EGFR_5.1,3762
CHP2_EGFR_6.1,2040
CHP2_EGFR_7.1,3025
CHP2_EGFR_8.1,4026
CHP2_MET_1.1,5560
CHP2_MET_2.1,3934
CHP2_MET_3.1,2399
CHP2_MET_4.1,4464
CHP2_MET_5.1,4396
CHP2_MET_6.1,2357
CHP2_SMO_1.1,4159
CHP2_SMO_2.1,1437
CHP2_SMO_3.1,1888
CHP2_SMO_4.1,1828
CHP2_SMO_5.1,3059
CHP2_BRAF_2.1,3863
CHP2_BRAF_1.1,4009
CHP2_EZH2_1.1,3754
CHP2_FGFR1_2.1,2422
CHP2_FGFR1_1.1,1545
CHP2_JAK2_1.1,2106
CHP2_CDKN2A_2.1,534
CHP2_CDKN2A_1.1,1100
CHP2_GNAQ_1.1,1930
CHP2_ABL1_1.1,7336
CHP2_ABL1_2.1,4661
CHP2_ABL1_3.1,3455
CHP2_ABL1_4.1,1700
CHP2_NOTCH1_3.1,855
CHP2_NOTCH1_2.1,2766
CHP2_NOTCH1_1.1,384
CHP2_RET_1.1,2684
CHP2_RET_2.1,724
CHP2_RET_3.1,2344
CHP2_RET_4.1,1445
CHP2_RET_5.1,3599
CHP2_PTEN_1.1,1530
CHP2_PTEN_2.1,5525
CHP2_PTEN_3.1,2814
CHP2_PTEN_4.1,2313
CHP2_PTEN_5.1,4157
CHP2_PTEN_6.1,3854
CHP2_PTEN_7.1,9176
CHP2_PTEN_8.1,4067
CHP2_FGFR2_4.1,3406
CHP2_FGFR2_3.1,1826
CHP2_FGFR2_2.1,4013
CHP2_FGFR2_1.1,2236
CHP2_HRAS_2.1,483
CHP2_HRAS_1.1,535
CHP2_ATM_1.1,5701
CHP2_ATM_2.1,7883
CHP2_ATM_3.1,7713
CHP2_ATM_4.1,4935
CHP2_ATM_5.1,5191
CHP2_ATM_6.1,4878
CHP2_ATM_7.1,9256
CHP2_ATM_8.1,10206
CHP2_ATM_9.1,2801
CHP2_ATM_10.1,5213
CHP2_ATM_11.1,8218
CHP2_ATM_12.1,8757
CHP2_ATM_13.1,7886
CHP2_ATM_14.1,3515
CHP2_ATM_15.1,4448
CHP2_ATM_16.1,2584
CHP2_ATM_17.1,1396
CHP2_KRAS_3.1,4289
CHP2_KRAS_2.1,4046
CHP2_KRAS_1.1,3810
CHP2_PTPN11_1.1,4756
CHP2_PTPN11_2.1,5428
CHP2_HNF1A_1.1,2862
CHP2_HNF1A_2.1,4685
CHP2_FLT3_4.1,3044
CHP2_FLT3_3.1,4224
CHP2_FLT3_2.1,2969
CHP2_FLT3_1.1,4387
CHP2_RB1_1.1,2783
CHP2_RB1_2.1,2851
CHP2_RB1_3.1,2686
CHP2_RB1_4.1,1722
CHP2_RB1_5.1,3181
CHP2_RB1_6.1,5152
CHP2_RB1_7.1,3208
CHP2_RB1_8.1,2847
CHP2_RB1_9.1,4548
CHP2_RB1_10.1,2354
CHP2_AKT1_2.1,1652
CHP2_AKT1_1.1,879
CHP2_IDH2_1.1,2765
CHP2_CDH1_1.1,4840
CHP2_CDH1_2.1,3750
CHP2_CDH1_3.1,6124
CHP2_TP53_8.1,2421
CHP2_TP53_7.1,1959
CHP2_TP53_6.1,4404
CHP2_TP53_5.1,2244
CHP2_TP53_4.1,3504
CHP2_TP53_3.1,2316
CHP2_TP53_2.1,1287
CHP2_TP53_1.1,4221
CHP2_ERBB2_1.1,4677
CHP2_ERBB2_2.1,2391
CHP2_ERBB2_3.1,1733
CHP2_SMAD4_1.1,2751
CHP2_SMAD4_2.1,1859
CHP2_SMAD4_3.1,1875
CHP2_SMAD4_4.1,3261
CHP2_SMAD4_5.1,2797
CHP2_SMAD4_6.1,3341
CHP2_SMAD4_7.1,1457
CHP2_SMAD4_8.1,5354
CHP2_SMAD4_9.1,1915
CHP2_STK11_1.1,2969
CHP2_STK11_2.1,417
CHP2_STK11_3.1,1334
CHP2_STK11_4.1,1648
CHP2_STK11_5.1,1646
CHP2_GNA11_1.1,1141
CHP2_JAK3_3.1,2571
CHP2_JAK3_2.1,1901
CHP2_JAK3_1.1,2552
CHP2_SRC_1.1,3385
CHP2_GNAS_1.1,1332
CHP2_GNAS_2.1,4577
CHP2_SMARCB1_1.1,2938
CHP2_SMARCB1_2.1,401
CHP2_SMARCB1_3.1,4044
CHP2_SMARCB1_4.1,865
