Region,Coverage
CHP2_MPL_1.1,797
CHP2_NRAS_3.1,5475
CHP2_NRAS_2.1,2023
CHP2_NRAS_1.1,5106
CHP2_ALK_2.1,560
CHP2_ALK_1.1,1061
CHP2_IDH1_1.1,3071
CHP2_ERBB4_8.1,3317
CHP2_ERBB4_7.1,247
CHP2_ERBB4_6.1,3108
CHP2_ERBB4_5.1,868
CHP2_ERBB4_4.1,2076
CHP2_ERBB4_3.1,634
CHP2_ERBB4_2.1,3606
CHP2_ERBB4_1.1,2778
CHP2_VHL_1.1,937
CHP2_VHL_2.1,79
CHP2_VHL_3.1,3627
CHP2_MLH1_1.1,1183
CHP2_CTNNB1_1.1,710
CHP2_PIK3CA_1.1,1760
CHP2_PIK3CA_2.1,1086
CHP2_PIK3CA_3.1,2483
CHP2_PIK3CA_4.1,519
CHP2_PIK3CA_5.1,943
CHP2_PIK3CA_6.1,1538
CHP2_PIK3CA_7.1,4696
CHP2_PIK3CA_8.1,535
CHP2_PIK3CA_9.1,8971
CHP2_PIK3CA_10.1,2096
CHP2_PIK3CA_11.1,3005
CHP2_FGFR3_1.1,1379
CHP2_FGFR3_2.1,661
CHP2_FGFR3_3.1,2194
CHP2_FGFR3_4.1,116
CHP2_FGFR3_5.1,2297
CHP2_PDGFRA_1.1,975
CHP2_PDGFRA_2.1,5501
CHP2_PDGFRA_3.1,1445
CHP2_PDGFRA_4.1,1451
CHP2_KIT_1.1,98
CHP2_KIT_2.1,3183
CHP2_KIT_3.1,3080
CHP2_KIT_4.1,2148
CHP2_KIT_5.1,1352
CHP2_KIT_6.1,6027
CHP2_KIT_7.1,3394
CHP2_KIT_8.1,5081
CHP2_KIT_9.1,3647
CHP2_KDR_9.1,783
CHP2_KDR_8.1,2212
CHP2_KDR_7.1,5870
CHP2_KDR_6.1,8115
CHP2_KDR_5.1,10712
CHP2_KDR_4.1,2599
CHP2_KDR_3.1,810
CHP2_KDR_2.1,1263
CHP2_KDR_1.1,1306
CHP2_FBXW7_5.1,5191
CHP2_FBXW7_4.1,3868
CHP2_FBXW7_3.1,1523
CHP2_FBXW7_2.1,5649
CHP2_FBXW7_1.1,1069
CHP2_APC_1.1,4301
CHP2_APC_2.1,2407
CHP2_APC_3.1,1308
CHP2_APC_4.1,1209
CHP2_APC_5.1,344
CHP2_APC_6.1,2305
CHP2_APC_7.1,570
CHP2_CSF1R_2.1,1051
CHP2_CSF1R_1.1,3523
CHP2_NPM1_1.1,1367
CHP2_EGFR_1.1,2676
CHP2_EGFR_2.1,978
CHP2_EGFR_3.1,10600
CHP2_EGFR_4.1,897
CHP2_EGFR_5.1,1153
CHP2_EGFR_6.1,831
CHP2_EGFR_7.1,1797
CHP2_EGFR_8.1,1402
CHP2_MET_1.1,526
CHP2_MET_2.1,4083
CHP2_MET_3.1,3634
CHP2_MET_4.1,9948
CHP2_MET_5.1,9594
CHP2_MET_6.1,7299
CHP2_SMO_1.1,119
CHP2_SMO_2.1,1271
CHP2_SMO_3.1,3261
CHP2_SMO_4.1,1771
CHP2_SMO_5.1,2601
CHP2_BRAF_2.1,1203
CHP2_BRAF_1.1,1456
CHP2_EZH2_1.1,4696
CHP2_FGFR1_2.1,2456
CHP2_FGFR1_1.1,679
CHP2_JAK2_1.1,1097
CHP2_CDKN2A_2.1,531
CHP2_CDKN2A_1.1,623
CHP2_GNAQ_1.1,1181
CHP2_ABL1_1.1,5360
CHP2_ABL1_2.1,4988
CHP2_ABL1_3.1,669
CHP2_ABL1_4.1,2516
CHP2_NOTCH1_3.1,551
CHP2_NOTCH1_2.1,2755
CHP2_NOTCH1_1.1,809
CHP2_RET_1.1,2878
CHP2_RET_2.1,409
CHP2_RET_3.1,2452
CHP2_RET_4.1,462
CHP2_RET_5.1,1435
CHP2_PTEN_1.1,1380
CHP2_PTEN_2.1,1582
CHP2_PTEN_3.1,1518
CHP2_PTEN_4.1,771
CHP2_PTEN_5.1,1676
CHP2_PTEN_6.1,1571
CHP2_PTEN_7.1,9909
CHP2_PTEN_8.1,1661
CHP2_FGFR2_4.1,4165
CHP2_FGFR2_3.1,848
CHP2_FGFR2_2.1,1539
CHP2_FGFR2_1.1,2070
CHP2_HRAS_2.1,704
CHP2_HRAS_1.1,942
CHP2_ATM_1.1,2622
CHP2_ATM_2.1,5935
CHP2_ATM_3.1,3669
CHP2_ATM_4.1,3799
CHP2_ATM_5.1,2355
CHP2_ATM_6.1,2500
CHP2_ATM_7.1,3548
CHP2_ATM_8.1,7580
CHP2_ATM_9.1,2825
CHP2_ATM_10.1,3914
CHP2_ATM_11.1,6133
CHP2_ATM_12.1,5017
CHP2_ATM_13.1,2852
CHP2_ATM_14.1,641
CHP2_ATM_15.1,3129
CHP2_ATM_16.1,1625
CHP2_ATM_17.1,844
CHP2_KRAS_3.1,2466
CHP2_KRAS_2.1,3469
CHP2_KRAS_1.1,1355
CHP2_PTPN11_1.1,3143
CHP2_PTPN11_2.1,266
CHP2_HNF1A_1.1,3446
CHP2_HNF1A_2.1,7388
CHP2_FLT3_4.1,3345
CHP2_FLT3_3.1,5157
CHP2_FLT3_2.1,1336
CHP2_FLT3_1.1,6567
CHP2_RB1_1.1,2322
CHP2_RB1_2.1,1218
CHP2_RB1_3.1,688
CHP2_RB1_4.1,918
CHP2_RB1_5.1,1261
CHP2_RB1_6.1,5316
CHP2_RB1_7.1,3713
CHP2_RB1_8.1,2248
CHP2_RB1_9.1,3508
CHP2_RB1_10.1,3029
CHP2_AKT1_2.1,3518
CHP2_AKT1_1.1,525
CHP2_IDH2_1.1,1279
CHP2_CDH1_1.1,3801
CHP2_CDH1_2.1,1429
CHP2_CDH1_3.1,4890
CHP2_TP53_8.1,2658
CHP2_TP53_7.1,670
CHP2_TP53_6.1,5245
CHP2_TP53_5.1,1521
CHP2_TP53_4.1,1846
CHP2_TP53_3.1,5337
CHP2_TP53_2.1,578
CHP2_TP53_1.1,4072
CHP2_ERBB2_1.1,9913
CHP2_ERBB2_2.1,9797
CHP2_ERBB2_3.1,3731
CHP2_SMAD4_1.1,1899
CHP2_SMAD4_2.1,788
CHP2_SMAD4_3.1,1620
CHP2_SMAD4_4.1,1223
CHP2_SMAD4_5.1,1771
CHP2_SMAD4_6.1,2359
CHP2_SMAD4_7.1,784
CHP2_SMAD4_8.1,6767
CHP2_SMAD4_9.1,1153
CHP2_STK11_1.1,3053
CHP2_STK11_2.1,256
CHP2_STK11_3.1,1544
CHP2_STK11_4.1,3479
CHP2_STK11_5.1,1303
CHP2_GNA11_1.1,3541
CHP2_JAK3_3.1,1985
CHP2_JAK3_2.1,2582
CHP2_JAK3_1.1,4638
CHP2_SRC_1.1,5960
CHP2_GNAS_1.1,824
CHP2_GNAS_2.1,2369
CHP2_SMARCB1_1.1,1859
CHP2_SMARCB1_2.1,488
CHP2_SMARCB1_3.1,2439
CHP2_SMARCB1_4.1,576
