Region,Coverage
CHP2_MPL_1.1,1146
CHP2_NRAS_3.1,4041
CHP2_NRAS_2.1,2259
CHP2_NRAS_1.1,3447
CHP2_ALK_2.1,676
CHP2_ALK_1.1,1344
CHP2_IDH1_1.1,3943
CHP2_ERBB4_8.1,4143
CHP2_ERBB4_7.1,961
CHP2_ERBB4_6.1,6195
CHP2_ERBB4_5.1,4208
CHP2_ERBB4_4.1,4093
CHP2_ERBB4_3.1,890
CHP2_ERBB4_2.1,5359
CHP2_ERBB4_1.1,3307
CHP2_VHL_1.1,371
CHP2_VHL_2.1,1968
CHP2_VHL_3.1,2726
CHP2_MLH1_1.1,2164
CHP2_CTNNB1_1.1,1035
CHP2_PIK3CA_1.1,4196
CHP2_PIK3CA_2.1,2425
CHP2_PIK3CA_3.1,3980
CHP2_PIK3CA_4.1,2384
CHP2_PIK3CA_5.1,2748
CHP2_PIK3CA_6.1,2517
CHP2_PIK3CA_7.1,6550
CHP2_PIK3CA_8.1,2882
CHP2_PIK3CA_9.1,9465
CHP2_PIK3CA_10.1,3530
CHP2_PIK3CA_11.1,4826
CHP2_FGFR3_1.1,952
CHP2_FGFR3_2.1,373
CHP2_FGFR3_3.1,1575
CHP2_FGFR3_4.1,2542
CHP2_FGFR3_5.1,2167
CHP2_PDGFRA_1.1,1769
CHP2_PDGFRA_2.1,4659
CHP2_PDGFRA_3.1,2235
CHP2_PDGFRA_4.1,2230
CHP2_KIT_1.1,3582
CHP2_KIT_2.1,4425
CHP2_KIT_3.1,3210
CHP2_KIT_4.1,4390
CHP2_KIT_5.1,2072
CHP2_KIT_6.1,5628
CHP2_KIT_7.1,3063
CHP2_KIT_8.1,4808
CHP2_KIT_9.1,5620
CHP2_KDR_9.1,1191
CHP2_KDR_8.1,3316
CHP2_KDR_7.1,3897
CHP2_KDR_6.1,5779
CHP2_KDR_5.1,6070
CHP2_KDR_4.1,2405
CHP2_KDR_3.1,1828
CHP2_KDR_2.1,1803
CHP2_KDR_1.1,3033
CHP2_FBXW7_5.1,3764
CHP2_FBXW7_4.1,3923
CHP2_FBXW7_3.1,2568
CHP2_FBXW7_2.1,4577
CHP2_FBXW7_1.1,2421
CHP2_APC_1.1,2021
CHP2_APC_2.1,3270
CHP2_APC_3.1,2847
CHP2_APC_4.1,3011
CHP2_APC_5.1,1465
CHP2_APC_6.1,3692
CHP2_APC_7.1,1517
CHP2_CSF1R_2.1,655
CHP2_CSF1R_1.1,1836
CHP2_NPM1_1.1,2936
CHP2_EGFR_1.1,4273
CHP2_EGFR_2.1,2785
CHP2_EGFR_3.1,9983
CHP2_EGFR_4.1,1717
CHP2_EGFR_5.1,3444
CHP2_EGFR_6.1,2138
CHP2_EGFR_7.1,3213
CHP2_EGFR_8.1,2809
CHP2_MET_1.1,4480
CHP2_MET_2.1,2717
CHP2_MET_3.1,2549
CHP2_MET_4.1,3919
CHP2_MET_5.1,3318
CHP2_MET_6.1,2652
CHP2_SMO_1.1,2798
CHP2_SMO_2.1,1305
CHP2_SMO_3.1,1734
CHP2_SMO_4.1,1377
CHP2_SMO_5.1,1709
CHP2_BRAF_2.1,4180
CHP2_BRAF_1.1,5407
CHP2_EZH2_1.1,5189
CHP2_FGFR1_2.1,1991
CHP2_FGFR1_1.1,947
CHP2_JAK2_1.1,2160
CHP2_CDKN2A_2.1,510
CHP2_CDKN2A_1.1,696
CHP2_GNAQ_1.1,2584
CHP2_ABL1_1.1,5191
CHP2_ABL1_2.1,3753
CHP2_ABL1_3.1,1548
CHP2_ABL1_4.1,1519
CHP2_NOTCH1_3.1,929
CHP2_NOTCH1_2.1,2217
CHP2_NOTCH1_1.1,545
CHP2_RET_1.1,1798
CHP2_RET_2.1,627
CHP2_RET_3.1,1585
CHP2_RET_4.1,984
CHP2_RET_5.1,2254
CHP2_PTEN_1.1,954
CHP2_PTEN_2.1,3567
CHP2_PTEN_3.1,2467
CHP2_PTEN_4.1,1807
CHP2_PTEN_5.1,2297
CHP2_PTEN_6.1,2489
CHP2_PTEN_7.1,9167
CHP2_PTEN_8.1,2621
CHP2_FGFR2_4.1,3499
CHP2_FGFR2_3.1,1006
CHP2_FGFR2_2.1,2890
CHP2_FGFR2_1.1,2284
CHP2_HRAS_2.1,601
CHP2_HRAS_1.1,654
CHP2_ATM_1.1,3117
CHP2_ATM_2.1,5952
CHP2_ATM_3.1,4718
CHP2_ATM_4.1,3639
CHP2_ATM_5.1,3485
CHP2_ATM_6.1,2804
CHP2_ATM_7.1,5907
CHP2_ATM_8.1,6670
CHP2_ATM_9.1,2839
CHP2_ATM_10.1,3916
CHP2_ATM_11.1,5925
CHP2_ATM_12.1,5438
CHP2_ATM_13.1,4413
CHP2_ATM_14.1,2421
CHP2_ATM_15.1,3327
CHP2_ATM_16.1,2400
CHP2_ATM_17.1,1328
CHP2_KRAS_3.1,4198
CHP2_KRAS_2.1,3783
CHP2_KRAS_1.1,2811
CHP2_PTPN11_1.1,3758
CHP2_PTPN11_2.1,2870
CHP2_HNF1A_1.1,2377
CHP2_HNF1A_2.1,3521
CHP2_FLT3_4.1,5345
CHP2_FLT3_3.1,5687
CHP2_FLT3_2.1,4358
CHP2_FLT3_1.1,7680
CHP2_RB1_1.1,6468
CHP2_RB1_2.1,4733
CHP2_RB1_3.1,4537
CHP2_RB1_4.1,2763
CHP2_RB1_5.1,4396
CHP2_RB1_6.1,8479
CHP2_RB1_7.1,5615
CHP2_RB1_8.1,4733
CHP2_RB1_9.1,6542
CHP2_RB1_10.1,5099
CHP2_AKT1_2.1,2377
CHP2_AKT1_1.1,1046
CHP2_IDH2_1.1,2285
CHP2_CDH1_1.1,3596
CHP2_CDH1_2.1,2240
CHP2_CDH1_3.1,3751
CHP2_TP53_8.1,1447
CHP2_TP53_7.1,913
CHP2_TP53_6.1,2381
CHP2_TP53_5.1,1369
CHP2_TP53_4.1,1952
CHP2_TP53_3.1,1894
CHP2_TP53_2.1,694
CHP2_TP53_1.1,1912
CHP2_ERBB2_1.1,2522
CHP2_ERBB2_2.1,1903
CHP2_ERBB2_3.1,1755
CHP2_SMAD4_1.1,2320
CHP2_SMAD4_2.1,1261
CHP2_SMAD4_3.1,1880
CHP2_SMAD4_4.1,2149
CHP2_SMAD4_5.1,2491
CHP2_SMAD4_6.1,2519
CHP2_SMAD4_7.1,1474
CHP2_SMAD4_8.1,3207
CHP2_SMAD4_9.1,1291
CHP2_STK11_1.1,2621
CHP2_STK11_2.1,426
CHP2_STK11_3.1,1186
CHP2_STK11_4.1,2254
CHP2_STK11_5.1,1562
CHP2_GNA11_1.1,1362
CHP2_JAK3_3.1,2219
CHP2_JAK3_2.1,2028
CHP2_JAK3_1.1,1993
CHP2_SRC_1.1,2834
CHP2_GNAS_1.1,1344
CHP2_GNAS_2.1,3122
CHP2_SMARCB1_1.1,2064
CHP2_SMARCB1_2.1,423
