Region,Coverage
CHP2_MPL_1.1,729
CHP2_NRAS_3.1,2731
CHP2_NRAS_2.1,1490
CHP2_NRAS_1.1,2763
CHP2_ALK_2.1,402
CHP2_ALK_1.1,1050
CHP2_IDH1_1.1,2491
CHP2_ERBB4_8.1,2213
CHP2_ERBB4_7.1,350
CHP2_ERBB4_6.1,4757
CHP2_ERBB4_5.1,2808
CHP2_ERBB4_4.1,2024
CHP2_ERBB4_3.1,332
CHP2_ERBB4_2.1,2773
CHP2_ERBB4_1.1,2473
CHP2_VHL_1.1,333
CHP2_VHL_2.1,2130
CHP2_VHL_3.1,3331
CHP2_MLH1_1.1,3496
CHP2_CTNNB1_1.1,691
CHP2_PIK3CA_1.1,2272
CHP2_PIK3CA_2.1,1172
CHP2_PIK3CA_3.1,2558
CHP2_PIK3CA_4.1,1153
CHP2_PIK3CA_5.1,1853
CHP2_PIK3CA_6.1,1099
CHP2_PIK3CA_7.1,3373
CHP2_PIK3CA_8.1,1470
CHP2_PIK3CA_9.1,5169
CHP2_PIK3CA_10.1,2233
CHP2_PIK3CA_11.1,2366
CHP2_FGFR3_1.1,687
CHP2_FGFR3_2.1,243
CHP2_FGFR3_3.1,1173
CHP2_FGFR3_4.1,2268
CHP2_FGFR3_5.1,1838
CHP2_PDGFRA_1.1,1289
CHP2_PDGFRA_2.1,3797
CHP2_PDGFRA_3.1,1710
CHP2_PDGFRA_4.1,2036
CHP2_KIT_1.1,2881
CHP2_KIT_2.1,2628
CHP2_KIT_3.1,1751
CHP2_KIT_4.1,3535
CHP2_KIT_5.1,1375
CHP2_KIT_6.1,4175
CHP2_KIT_7.1,1887
CHP2_KIT_8.1,3440
CHP2_KIT_9.1,4116
CHP2_KDR_9.1,734
CHP2_KDR_8.1,4165
CHP2_KDR_7.1,2765
CHP2_KDR_6.1,4329
CHP2_KDR_5.1,5109
CHP2_KDR_4.1,2042
CHP2_KDR_3.1,1392
CHP2_KDR_2.1,771
CHP2_KDR_1.1,1821
CHP2_FBXW7_5.1,2835
CHP2_FBXW7_4.1,2696
CHP2_FBXW7_3.1,2589
CHP2_FBXW7_2.1,2978
CHP2_FBXW7_1.1,1711
CHP2_APC_1.1,2095
CHP2_APC_2.1,2033
CHP2_APC_3.1,1982
CHP2_APC_4.1,2204
CHP2_APC_5.1,945
CHP2_APC_6.1,3227
CHP2_APC_7.1,1098
CHP2_CSF1R_2.1,458
CHP2_CSF1R_1.1,1410
CHP2_NPM1_1.1,1951
CHP2_EGFR_1.1,1718
CHP2_EGFR_2.1,1546
CHP2_EGFR_3.1,5599
CHP2_EGFR_4.1,654
CHP2_EGFR_5.1,1657
CHP2_EGFR_6.1,1048
CHP2_EGFR_7.1,1434
CHP2_EGFR_8.1,2404
CHP2_MET_1.1,3043
CHP2_MET_2.1,1794
CHP2_MET_3.1,1316
CHP2_MET_4.1,2649
CHP2_MET_5.1,2681
CHP2_MET_6.1,1305
CHP2_SMO_1.1,2580
CHP2_SMO_2.1,851
CHP2_SMO_3.1,1131
CHP2_SMO_4.1,1093
CHP2_SMO_5.1,1824
CHP2_BRAF_2.1,2413
CHP2_BRAF_1.1,2513
CHP2_EZH2_1.1,2467
CHP2_FGFR1_2.1,1646
CHP2_FGFR1_1.1,857
CHP2_JAK2_1.1,1464
CHP2_CDKN2A_2.1,549
CHP2_CDKN2A_1.1,1009
CHP2_GNAQ_1.1,1681
CHP2_ABL1_1.1,5725
CHP2_ABL1_2.1,3411
CHP2_ABL1_3.1,2347
CHP2_ABL1_4.1,1422
CHP2_NOTCH1_3.1,621
CHP2_NOTCH1_2.1,2278
CHP2_NOTCH1_1.1,308
CHP2_RET_1.1,1887
CHP2_RET_2.1,448
CHP2_RET_3.1,1469
CHP2_RET_4.1,822
CHP2_RET_5.1,1959
CHP2_PTEN_1.1,939
CHP2_PTEN_2.1,3250
CHP2_PTEN_3.1,1706
CHP2_PTEN_4.1,1761
CHP2_PTEN_5.1,2416
CHP2_PTEN_6.1,2067
CHP2_PTEN_7.1,8280
CHP2_PTEN_8.1,2619
CHP2_FGFR2_4.1,2395
CHP2_FGFR2_3.1,1093
CHP2_FGFR2_2.1,2479
CHP2_FGFR2_1.1,1706
CHP2_HRAS_2.1,456
CHP2_HRAS_1.1,519
CHP2_ATM_1.1,2866
CHP2_ATM_2.1,3981
CHP2_ATM_3.1,4132
CHP2_ATM_4.1,2678
CHP2_ATM_5.1,2468
CHP2_ATM_6.1,2286
CHP2_ATM_7.1,4782
CHP2_ATM_8.1,5859
CHP2_ATM_9.1,1777
CHP2_ATM_10.1,2759
CHP2_ATM_11.1,4575
CHP2_ATM_12.1,5176
CHP2_ATM_13.1,4244
CHP2_ATM_14.1,1934
CHP2_ATM_15.1,2441
CHP2_ATM_16.1,1363
CHP2_ATM_17.1,642
CHP2_KRAS_3.1,3313
CHP2_KRAS_2.1,2814
CHP2_KRAS_1.1,2226
CHP2_PTPN11_1.1,2881
CHP2_PTPN11_2.1,2494
CHP2_HNF1A_1.1,1724
CHP2_HNF1A_2.1,3505
CHP2_FLT3_4.1,2524
CHP2_FLT3_3.1,3392
CHP2_FLT3_2.1,2182
CHP2_FLT3_1.1,4448
CHP2_RB1_1.1,2905
CHP2_RB1_2.1,2158
CHP2_RB1_3.1,1582
CHP2_RB1_4.1,1041
CHP2_RB1_5.1,2278
CHP2_RB1_6.1,4187
CHP2_RB1_7.1,2360
CHP2_RB1_8.1,2810
CHP2_RB1_9.1,3016
CHP2_RB1_10.1,2203
CHP2_AKT1_2.1,1543
CHP2_AKT1_1.1,697
CHP2_IDH2_1.1,2105
CHP2_CDH1_1.1,2878
CHP2_CDH1_2.1,1835
CHP2_CDH1_3.1,3523
CHP2_TP53_8.1,1796
CHP2_TP53_7.1,1525
CHP2_TP53_6.1,3790
CHP2_TP53_5.1,1728
CHP2_TP53_4.1,2926
CHP2_TP53_3.1,2137
CHP2_TP53_2.1,993
CHP2_TP53_1.1,3588
CHP2_ERBB2_1.1,3412
CHP2_ERBB2_2.1,1989
