Region,Coverage
CHP2_MPL_1.1,1728
CHP2_NRAS_3.1,8385
CHP2_NRAS_2.1,2444
CHP2_NRAS_1.1,5004
CHP2_ALK_2.1,790
CHP2_ALK_1.1,1424
CHP2_IDH1_1.1,3362
CHP2_ERBB4_8.1,4192
CHP2_ERBB4_7.1,516
CHP2_ERBB4_6.1,3139
CHP2_ERBB4_5.1,1580
CHP2_ERBB4_4.1,2578
CHP2_ERBB4_3.1,777
CHP2_ERBB4_2.1,4307
CHP2_ERBB4_1.1,1607
CHP2_VHL_1.1,1206
CHP2_VHL_2.1,3055
CHP2_VHL_3.1,5276
CHP2_MLH1_1.1,1915
CHP2_CTNNB1_1.1,938
CHP2_PIK3CA_1.1,2567
CHP2_PIK3CA_2.1,1463
CHP2_PIK3CA_3.1,2973
CHP2_PIK3CA_4.1,1260
CHP2_PIK3CA_5.1,3365
CHP2_PIK3CA_6.1,2475
CHP2_PIK3CA_7.1,6827
CHP2_PIK3CA_8.1,1394
CHP2_PIK3CA_9.1,12615
CHP2_PIK3CA_10.1,3431
CHP2_PIK3CA_11.1,4420
CHP2_FGFR3_1.1,3036
CHP2_FGFR3_2.1,942
CHP2_FGFR3_3.1,4933
CHP2_FGFR3_4.1,8143
CHP2_FGFR3_5.1,4709
CHP2_PDGFRA_1.1,1054
CHP2_PDGFRA_2.1,6647
CHP2_PDGFRA_3.1,1543
CHP2_PDGFRA_4.1,2680
CHP2_KIT_1.1,2117
CHP2_KIT_2.1,4972
CHP2_KIT_3.1,3002
CHP2_KIT_4.1,2442
CHP2_KIT_5.1,2165
CHP2_KIT_6.1,8444
CHP2_KIT_7.1,3011
CHP2_KIT_8.1,5845
CHP2_KIT_9.1,6046
CHP2_KDR_9.1,697
CHP2_KDR_8.1,3128
CHP2_KDR_7.1,4243
CHP2_KDR_6.1,8437
CHP2_KDR_5.1,11480
CHP2_KDR_4.1,1728
CHP2_KDR_3.1,977
CHP2_KDR_2.1,2022
CHP2_KDR_1.1,1421
CHP2_FBXW7_5.1,8476
CHP2_FBXW7_4.1,5181
CHP2_FBXW7_3.1,1457
CHP2_FBXW7_2.1,7129
CHP2_FBXW7_1.1,1469
CHP2_APC_1.1,5662
CHP2_APC_2.1,2549
CHP2_APC_3.1,1883
CHP2_APC_4.1,1936
CHP2_APC_5.1,821
CHP2_APC_6.1,2675
CHP2_APC_7.1,1165
CHP2_CSF1R_2.1,1039
CHP2_CSF1R_1.1,2899
CHP2_NPM1_1.1,2368
CHP2_EGFR_1.1,2995
CHP2_EGFR_2.1,1487
CHP2_EGFR_3.1,11878
CHP2_EGFR_4.1,1575
CHP2_EGFR_5.1,1406
CHP2_EGFR_6.1,2085
CHP2_EGFR_7.1,1810
CHP2_EGFR_8.1,1855
CHP2_MET_1.1,7715
CHP2_MET_2.1,2615
CHP2_MET_3.1,1045
CHP2_MET_4.1,2669
CHP2_MET_5.1,2433
CHP2_MET_6.1,3321
