Region,Coverage
CHP2_MPL_1.1,1619
CHP2_NRAS_3.1,3924
CHP2_NRAS_2.1,2382
CHP2_NRAS_1.1,3913
CHP2_ALK_2.1,1097
CHP2_ALK_1.1,2150
CHP2_IDH1_1.1,4438
CHP2_ERBB4_8.1,3581
CHP2_ERBB4_7.1,881
CHP2_ERBB4_6.1,7174
CHP2_ERBB4_5.1,4443
CHP2_ERBB4_4.1,3186
CHP2_ERBB4_3.1,881
CHP2_ERBB4_2.1,5398
CHP2_ERBB4_1.1,4127
CHP2_VHL_1.1,809
CHP2_VHL_2.1,3907
CHP2_VHL_3.1,5146
CHP2_MLH1_1.1,5428
CHP2_CTNNB1_1.1,1453
CHP2_PIK3CA_1.1,3550
CHP2_PIK3CA_2.1,2369
CHP2_PIK3CA_3.1,4605
CHP2_PIK3CA_4.1,2703
CHP2_PIK3CA_5.1,3064
CHP2_PIK3CA_6.1,2446
CHP2_PIK3CA_7.1,5160
CHP2_PIK3CA_8.1,3145
CHP2_PIK3CA_9.1,7545
CHP2_PIK3CA_10.1,3735
CHP2_PIK3CA_11.1,3791
CHP2_FGFR3_1.1,1469
CHP2_FGFR3_2.1,601
CHP2_FGFR3_3.1,2142
CHP2_FGFR3_4.1,3699
CHP2_FGFR3_5.1,3567
CHP2_PDGFRA_1.1,2881
CHP2_PDGFRA_2.1,6276
CHP2_PDGFRA_3.1,3634
CHP2_PDGFRA_4.1,4889
CHP2_KIT_1.1,5072
CHP2_KIT_2.1,5444
CHP2_KIT_3.1,3986
CHP2_KIT_4.1,7042
CHP2_KIT_5.1,3107
CHP2_KIT_6.1,7011
CHP2_KIT_7.1,3897
CHP2_KIT_8.1,6079
CHP2_KIT_9.1,2883
CHP2_KDR_9.1,1866
CHP2_KDR_8.1,7255
CHP2_KDR_7.1,5789
CHP2_KDR_6.1,7470
CHP2_KDR_5.1,9070
CHP2_KDR_4.1,4406
CHP2_KDR_3.1,3138
CHP2_KDR_2.1,2018
CHP2_KDR_1.1,3871
CHP2_FBXW7_5.1,5088
CHP2_FBXW7_4.1,4645
CHP2_FBXW7_3.1,5149
CHP2_FBXW7_2.1,6255
CHP2_FBXW7_1.1,4055
CHP2_APC_1.1,3448
CHP2_APC_2.1,4067
CHP2_APC_3.1,3840
CHP2_APC_4.1,4300
CHP2_APC_5.1,1555
CHP2_APC_6.1,5224
CHP2_APC_7.1,2372
CHP2_CSF1R_2.1,813
CHP2_CSF1R_1.1,2280
CHP2_NPM1_1.1,3746
CHP2_EGFR_1.1,2999
CHP2_EGFR_2.1,3281
CHP2_EGFR_3.1,8148
CHP2_EGFR_4.1,1516
CHP2_EGFR_5.1,3389
CHP2_EGFR_6.1,2423
CHP2_EGFR_7.1,3360
CHP2_EGFR_8.1,3779
CHP2_MET_1.1,4675
CHP2_MET_2.1,2923
CHP2_MET_3.1,2364
CHP2_MET_4.1,4376
CHP2_MET_5.1,4056
CHP2_MET_6.1,2227
CHP2_SMO_1.1,3955
CHP2_SMO_2.1,1465
CHP2_SMO_3.1,1888
CHP2_SMO_4.1,1876
CHP2_SMO_5.1,3225
CHP2_BRAF_2.1,3901
CHP2_BRAF_1.1,4005
CHP2_EZH2_1.1,3586
CHP2_FGFR1_2.1,2923
CHP2_FGFR1_1.1,1929
CHP2_JAK2_1.1,2721
CHP2_CDKN2A_2.1,1092
CHP2_CDKN2A_1.1,1737
CHP2_GNAQ_1.1,3537
CHP2_ABL1_1.1,7656
CHP2_ABL1_2.1,5363
CHP2_ABL1_3.1,4015
CHP2_ABL1_4.1,2511
CHP2_NOTCH1_3.1,1352
CHP2_NOTCH1_2.1,4064
CHP2_NOTCH1_1.1,803
CHP2_RET_1.1,3170
CHP2_RET_2.1,1168
CHP2_RET_3.1,2312
CHP2_RET_4.1,1759
CHP2_RET_5.1,3436
CHP2_PTEN_1.1,1600
CHP2_PTEN_2.1,4924
CHP2_PTEN_3.1,2855
CHP2_PTEN_4.1,2784
CHP2_PTEN_5.1,3833
CHP2_PTEN_6.1,3526
CHP2_PTEN_7.1,8761
CHP2_PTEN_8.1,3695
CHP2_FGFR2_4.1,3969
CHP2_FGFR2_3.1,1608
CHP2_FGFR2_2.1,4112
CHP2_FGFR2_1.1,2746
CHP2_HRAS_2.1,1090
CHP2_HRAS_1.1,1131
CHP2_ATM_1.1,4503
CHP2_ATM_2.1,6280
CHP2_ATM_3.1,6232
CHP2_ATM_4.1,3872
CHP2_ATM_5.1,4009
CHP2_ATM_6.1,3443
CHP2_ATM_7.1,6896
CHP2_ATM_8.1,7262
CHP2_ATM_9.1,2659
CHP2_ATM_10.1,4241
CHP2_ATM_11.1,6019
CHP2_ATM_12.1,6308
CHP2_ATM_13.1,5551
CHP2_ATM_14.1,3486
CHP2_ATM_15.1,3585
CHP2_ATM_16.1,2642
CHP2_ATM_17.1,1467
CHP2_KRAS_3.1,4769
CHP2_KRAS_2.1,4200
CHP2_KRAS_1.1,3730
CHP2_PTPN11_1.1,5101
CHP2_PTPN11_2.1,4273
CHP2_HNF1A_1.1,3044
CHP2_HNF1A_2.1,4793
CHP2_FLT3_4.1,3886
CHP2_FLT3_3.1,4830
CHP2_FLT3_2.1,4098
CHP2_FLT3_1.1,5878
CHP2_RB1_1.1,4303
CHP2_RB1_2.1,3684
CHP2_RB1_3.1,2910
CHP2_RB1_4.1,2125
CHP2_RB1_5.1,3308
CHP2_RB1_6.1,5396
CHP2_RB1_7.1,3802
CHP2_RB1_8.1,3621
CHP2_RB1_9.1,5384
CHP2_RB1_10.1,3345
CHP2_AKT1_2.1,2565
CHP2_AKT1_1.1,1580
CHP2_IDH2_1.1,3964
CHP2_CDH1_1.1,3675
CHP2_CDH1_2.1,3200
CHP2_CDH1_3.1,4992
CHP2_TP53_8.1,2832
CHP2_TP53_7.1,2373
CHP2_TP53_6.1,5332
CHP2_TP53_5.1,2907
CHP2_TP53_4.1,4468
CHP2_TP53_3.1,2971
CHP2_TP53_2.1,2000
CHP2_TP53_1.1,5293
CHP2_ERBB2_1.1,4861
CHP2_ERBB2_2.1,2535
CHP2_ERBB2_3.1,2272
CHP2_SMAD4_1.1,3381
CHP2_SMAD4_2.1,2205
CHP2_SMAD4_3.1,2601
CHP2_SMAD4_4.1,3504
CHP2_SMAD4_5.1,3061
CHP2_SMAD4_6.1,3951
CHP2_SMAD4_7.1,2038
CHP2_SMAD4_8.1,5025
CHP2_SMAD4_9.1,1840
CHP2_STK11_1.1,4461
CHP2_STK11_2.1,795
CHP2_STK11_3.1,1896
CHP2_STK11_4.1,3144
CHP2_STK11_5.1,2749
CHP2_GNA11_1.1,2296
CHP2_JAK3_3.1,3863
CHP2_JAK3_2.1,2791
CHP2_JAK3_1.1,3896
CHP2_SRC_1.1,4963
CHP2_GNAS_1.1,1588
CHP2_GNAS_2.1,4737
CHP2_SMARCB1_1.1,3630
CHP2_SMARCB1_2.1,803
CHP2_SMARCB1_3.1,5084
CHP2_SMARCB1_4.1,1694
