Region,Coverage
CHP2_MPL_1.1,1381
CHP2_NRAS_3.1,3580
CHP2_NRAS_2.1,2962
CHP2_NRAS_1.1,3917
CHP2_ALK_2.1,946
CHP2_ALK_1.1,1788
CHP2_IDH1_1.1,4383
CHP2_ERBB4_8.1,4075
CHP2_ERBB4_7.1,1188
CHP2_ERBB4_6.1,6419
CHP2_ERBB4_5.1,5004
CHP2_ERBB4_4.1,3418
CHP2_ERBB4_3.1,1153
CHP2_ERBB4_2.1,5440
CHP2_ERBB4_1.1,4266
CHP2_VHL_1.1,546
CHP2_VHL_2.1,3024
CHP2_VHL_3.1,4267
CHP2_MLH1_1.1,4787
CHP2_CTNNB1_1.1,2158
CHP2_PIK3CA_1.1,4283
CHP2_PIK3CA_2.1,2740
CHP2_PIK3CA_3.1,4188
CHP2_PIK3CA_4.1,2729
CHP2_PIK3CA_5.1,1385
CHP2_PIK3CA_6.1,2508
CHP2_PIK3CA_7.1,5433
CHP2_PIK3CA_8.1,3009
CHP2_PIK3CA_9.1,6487
CHP2_PIK3CA_10.1,3890
CHP2_PIK3CA_11.1,4477
CHP2_FGFR3_1.1,619
CHP2_FGFR3_2.1,334
CHP2_FGFR3_3.1,1167
CHP2_FGFR3_4.1,1953
CHP2_FGFR3_5.1,1949
CHP2_PDGFRA_1.1,2608
CHP2_PDGFRA_2.1,5320
CHP2_PDGFRA_3.1,3548
CHP2_PDGFRA_4.1,3473
CHP2_KIT_1.1,4883
CHP2_KIT_2.1,5040
CHP2_KIT_3.1,4257
CHP2_KIT_4.1,6180
CHP2_KIT_5.1,3079
CHP2_KIT_6.1,6336
CHP2_KIT_7.1,4027
CHP2_KIT_8.1,5249
CHP2_KIT_9.1,6396
CHP2_KDR_9.1,2020
CHP2_KDR_8.1,4567
CHP2_KDR_7.1,4960
CHP2_KDR_6.1,6619
CHP2_KDR_5.1,7181
CHP2_KDR_4.1,4540
CHP2_KDR_3.1,1772
CHP2_KDR_2.1,1998
CHP2_KDR_1.1,3999
CHP2_FBXW7_5.1,4947
CHP2_FBXW7_4.1,4693
CHP2_FBXW7_3.1,4257
CHP2_FBXW7_2.1,4507
CHP2_FBXW7_1.1,4011
CHP2_APC_1.1,3579
CHP2_APC_2.1,4340
CHP2_APC_3.1,4015
CHP2_APC_4.1,4470
CHP2_APC_5.1,1746
CHP2_APC_6.1,5392
CHP2_APC_7.1,1464
CHP2_CSF1R_2.1,715
CHP2_CSF1R_1.1,2339
CHP2_NPM1_1.1,4005
CHP2_EGFR_1.1,3466
CHP2_EGFR_2.1,2547
CHP2_EGFR_3.1,6120
CHP2_EGFR_4.1,1240
CHP2_EGFR_5.1,2907
CHP2_EGFR_6.1,1492
CHP2_EGFR_7.1,2657
CHP2_EGFR_8.1,2578
CHP2_MET_1.1,5306
CHP2_MET_2.1,3139
CHP2_MET_3.1,3257
CHP2_MET_4.1,5038
CHP2_MET_5.1,4442
CHP2_MET_6.1,3041
CHP2_SMO_1.1,2752
CHP2_SMO_2.1,1279
CHP2_SMO_3.1,1525
CHP2_SMO_4.1,1329
CHP2_SMO_5.1,2056
CHP2_BRAF_2.1,4490
CHP2_BRAF_1.1,4419
CHP2_EZH2_1.1,3984
CHP2_FGFR1_2.1,2527
CHP2_FGFR1_1.1,1481
CHP2_JAK2_1.1,3766
CHP2_CDKN2A_2.1,973
CHP2_CDKN2A_1.1,1207
CHP2_GNAQ_1.1,3494
CHP2_ABL1_1.1,5484
CHP2_ABL1_2.1,3973
CHP2_ABL1_3.1,2731
CHP2_ABL1_4.1,1884
CHP2_NOTCH1_3.1,782
CHP2_NOTCH1_2.1,1940
CHP2_NOTCH1_1.1,455
CHP2_RET_1.1,1770
CHP2_RET_2.1,733
CHP2_RET_3.1,1589
CHP2_RET_4.1,1160
CHP2_RET_5.1,2432
CHP2_PTEN_1.1,1497
CHP2_PTEN_2.1,5597
CHP2_PTEN_3.1,3564
CHP2_PTEN_4.1,3186
CHP2_PTEN_5.1,4118
CHP2_PTEN_6.1,4069
CHP2_PTEN_7.1,13166
CHP2_PTEN_8.1,4364
CHP2_FGFR2_4.1,4411
CHP2_FGFR2_3.1,1506
CHP2_FGFR2_2.1,3849
CHP2_FGFR2_1.1,2536
CHP2_HRAS_2.1,610
CHP2_HRAS_1.1,555
CHP2_ATM_1.1,3996
CHP2_ATM_2.1,6081
CHP2_ATM_3.1,6114
