Region,Coverage
CHP2_MPL_1.1,864
CHP2_NRAS_3.1,2835
CHP2_NRAS_2.1,1996
CHP2_NRAS_1.1,3192
CHP2_ALK_2.1,612
CHP2_ALK_1.1,1173
CHP2_IDH1_1.1,3725
CHP2_ERBB4_8.1,3027
CHP2_ERBB4_7.1,748
CHP2_ERBB4_6.1,6448
CHP2_ERBB4_5.1,4497
CHP2_ERBB4_4.1,2585
CHP2_ERBB4_3.1,562
CHP2_ERBB4_2.1,4476
CHP2_ERBB4_1.1,3707
CHP2_VHL_1.1,304
CHP2_VHL_2.1,2365
CHP2_VHL_3.1,3503
CHP2_MLH1_1.1,4522
CHP2_CTNNB1_1.1,1350
CHP2_PIK3CA_1.1,3343
CHP2_PIK3CA_2.1,1943
CHP2_PIK3CA_3.1,3656
CHP2_PIK3CA_4.1,2001
CHP2_PIK3CA_5.1,1357
CHP2_PIK3CA_6.1,1712
CHP2_PIK3CA_7.1,4341
CHP2_PIK3CA_8.1,2437
CHP2_PIK3CA_9.1,5863
CHP2_PIK3CA_10.1,3154
CHP2_PIK3CA_11.1,3230
CHP2_FGFR3_1.1,469
CHP2_FGFR3_2.1,244
CHP2_FGFR3_3.1,869
CHP2_FGFR3_4.1,1631
CHP2_FGFR3_5.1,1472
CHP2_PDGFRA_1.1,1964
CHP2_PDGFRA_2.1,4473
CHP2_PDGFRA_3.1,2820
CHP2_PDGFRA_4.1,2768
CHP2_KIT_1.1,4325
CHP2_KIT_2.1,3812
CHP2_KIT_3.1,3046
CHP2_KIT_4.1,5431
CHP2_KIT_5.1,2288
CHP2_KIT_6.1,5300
CHP2_KIT_7.1,2753
CHP2_KIT_8.1,4163
CHP2_KIT_9.1,5248
CHP2_KDR_9.1,1248
CHP2_KDR_8.1,4519
CHP2_KDR_7.1,3850
CHP2_KDR_6.1,6134
CHP2_KDR_5.1,6161
CHP2_KDR_4.1,3660
CHP2_KDR_3.1,1379
CHP2_KDR_2.1,1349
CHP2_KDR_1.1,2965
CHP2_FBXW7_5.1,3932
CHP2_FBXW7_4.1,3854
CHP2_FBXW7_3.1,4185
CHP2_FBXW7_2.1,3799
CHP2_FBXW7_1.1,3129
CHP2_APC_1.1,2857
CHP2_APC_2.1,3381
CHP2_APC_3.1,3174
CHP2_APC_4.1,3778
CHP2_APC_5.1,1304
CHP2_APC_6.1,4912
CHP2_APC_7.1,1212
CHP2_CSF1R_2.1,402
CHP2_CSF1R_1.1,1736
CHP2_NPM1_1.1,3028
CHP2_EGFR_1.1,2668
CHP2_EGFR_2.1,1842
CHP2_EGFR_3.1,5289
CHP2_EGFR_4.1,791
CHP2_EGFR_5.1,2190
CHP2_EGFR_6.1,1124
CHP2_EGFR_7.1,1862
CHP2_EGFR_8.1,2326
CHP2_MET_1.1,4293
CHP2_MET_2.1,2838
CHP2_MET_3.1,2661
CHP2_MET_4.1,4551
CHP2_MET_5.1,4033
CHP2_MET_6.1,1911
CHP2_SMO_1.1,2205
CHP2_SMO_2.1,769
