Region,Coverage
CHP2_MPL_1.1,834
CHP2_NRAS_3.1,3852
CHP2_NRAS_2.1,1821
CHP2_NRAS_1.1,3358
CHP2_ALK_2.1,558
CHP2_ALK_1.1,1061
CHP2_IDH1_1.1,3275
CHP2_ERBB4_8.1,3325
CHP2_ERBB4_7.1,654
CHP2_ERBB4_6.1,4893
CHP2_ERBB4_5.1,3020
CHP2_ERBB4_4.1,2615
CHP2_ERBB4_3.1,810
CHP2_ERBB4_2.1,4552
CHP2_ERBB4_1.1,2995
CHP2_VHL_1.1,486
CHP2_VHL_2.1,2553
CHP2_VHL_3.1,3701
CHP2_MLH1_1.1,3141
CHP2_CTNNB1_1.1,942
CHP2_PIK3CA_1.1,3243
CHP2_PIK3CA_2.1,2260
CHP2_PIK3CA_3.1,3873
CHP2_PIK3CA_4.1,2020
CHP2_PIK3CA_5.1,1861
CHP2_PIK3CA_6.1,2067
CHP2_PIK3CA_7.1,5342
CHP2_PIK3CA_8.1,2118
CHP2_PIK3CA_9.1,7996
CHP2_PIK3CA_10.1,3178
CHP2_PIK3CA_11.1,3627
CHP2_FGFR3_1.1,702
CHP2_FGFR3_2.1,405
CHP2_FGFR3_3.1,1276
CHP2_FGFR3_4.1,2265
CHP2_FGFR3_5.1,1617
CHP2_PDGFRA_1.1,1291
CHP2_PDGFRA_2.1,3939
CHP2_PDGFRA_3.1,1924
CHP2_PDGFRA_4.1,2093
CHP2_KIT_1.1,2179
CHP2_KIT_2.1,3656
CHP2_KIT_3.1,2319
CHP2_KIT_4.1,3207
CHP2_KIT_5.1,1586
CHP2_KIT_6.1,5151
CHP2_KIT_7.1,2342
CHP2_KIT_8.1,4031
CHP2_KIT_9.1,5287
CHP2_KDR_9.1,994
CHP2_KDR_8.1,2634
CHP2_KDR_7.1,2890
CHP2_KDR_6.1,4842
CHP2_KDR_5.1,5765
CHP2_KDR_4.1,1692
CHP2_KDR_3.1,1482
CHP2_KDR_2.1,1482
CHP2_KDR_1.1,1858
CHP2_FBXW7_5.1,3879
CHP2_FBXW7_4.1,3399
CHP2_FBXW7_3.1,2394
CHP2_FBXW7_2.1,4121
CHP2_FBXW7_1.1,2197
CHP2_APC_1.1,3057
CHP2_APC_2.1,2541
CHP2_APC_3.1,2241
CHP2_APC_4.1,2701
CHP2_APC_5.1,897
CHP2_APC_6.1,3426
CHP2_APC_7.1,1143
CHP2_CSF1R_2.1,650
CHP2_CSF1R_1.1,1566
CHP2_NPM1_1.1,2540
CHP2_EGFR_1.1,3174
CHP2_EGFR_2.1,1990
CHP2_EGFR_3.1,8099
CHP2_EGFR_4.1,1424
CHP2_EGFR_5.1,2354
CHP2_EGFR_6.1,1606
CHP2_EGFR_7.1,2505
