Region,Coverage
CHP2_MPL_1.1,997
CHP2_NRAS_3.1,4586
CHP2_NRAS_2.1,2446
CHP2_NRAS_1.1,3901
CHP2_ALK_2.1,805
CHP2_ALK_1.1,1425
CHP2_IDH1_1.1,4181
CHP2_ERBB4_8.1,3979
CHP2_ERBB4_7.1,883
CHP2_ERBB4_6.1,5627
CHP2_ERBB4_5.1,3583
CHP2_ERBB4_4.1,3550
CHP2_ERBB4_3.1,1035
CHP2_ERBB4_2.1,5820
CHP2_ERBB4_1.1,3588
CHP2_VHL_1.1,635
CHP2_VHL_2.1,3005
CHP2_VHL_3.1,4386
CHP2_MLH1_1.1,3657
CHP2_CTNNB1_1.1,1380
CHP2_PIK3CA_1.1,4217
CHP2_PIK3CA_2.1,2682
CHP2_PIK3CA_3.1,4961
CHP2_PIK3CA_4.1,2472
CHP2_PIK3CA_5.1,2379
CHP2_PIK3CA_6.1,2859
CHP2_PIK3CA_7.1,6703
CHP2_PIK3CA_8.1,2605
CHP2_PIK3CA_9.1,9496
CHP2_PIK3CA_10.1,3972
CHP2_PIK3CA_11.1,4786
CHP2_FGFR3_1.1,885
CHP2_FGFR3_2.1,471
CHP2_FGFR3_3.1,1563
CHP2_FGFR3_4.1,2719
CHP2_FGFR3_5.1,2219
CHP2_PDGFRA_1.1,1623
CHP2_PDGFRA_2.1,4447
CHP2_PDGFRA_3.1,2393
CHP2_PDGFRA_4.1,2717
CHP2_KIT_1.1,2679
CHP2_KIT_2.1,4395
CHP2_KIT_3.1,2987
CHP2_KIT_4.1,3843
CHP2_KIT_5.1,2385
CHP2_KIT_6.1,6408
CHP2_KIT_7.1,2919
CHP2_KIT_8.1,4658
CHP2_KIT_9.1,6562
CHP2_KDR_9.1,1155
CHP2_KDR_8.1,3266
CHP2_KDR_7.1,3456
CHP2_KDR_6.1,6014
CHP2_KDR_5.1,7090
CHP2_KDR_4.1,2261
CHP2_KDR_3.1,1969
CHP2_KDR_2.1,1809
CHP2_KDR_1.1,2420
CHP2_FBXW7_5.1,5002
CHP2_FBXW7_4.1,3834
CHP2_FBXW7_3.1,2708
CHP2_FBXW7_2.1,5122
CHP2_FBXW7_1.1,2890
CHP2_APC_1.1,3673
CHP2_APC_2.1,3393
CHP2_APC_3.1,2835
CHP2_APC_4.1,3227
CHP2_APC_5.1,1308
CHP2_APC_6.1,4129
CHP2_APC_7.1,1595
CHP2_CSF1R_2.1,865
CHP2_CSF1R_1.1,2049
CHP2_NPM1_1.1,3372
CHP2_EGFR_1.1,3929
CHP2_EGFR_2.1,2526
CHP2_EGFR_3.1,9403
CHP2_EGFR_4.1,1900
CHP2_EGFR_5.1,3003
CHP2_EGFR_6.1,2078
CHP2_EGFR_7.1,3113
CHP2_EGFR_8.1,3130
CHP2_MET_1.1,5828
CHP2_MET_2.1,3565
CHP2_MET_3.1,2546
CHP2_MET_4.1,4512
CHP2_MET_5.1,4413
CHP2_MET_6.1,3824
CHP2_SMO_1.1,3650
CHP2_SMO_2.1,1612
CHP2_SMO_3.1,2220
CHP2_SMO_4.1,1939
CHP2_SMO_5.1,2442
CHP2_BRAF_2.1,4123
CHP2_BRAF_1.1,4448
CHP2_EZH2_1.1,4605
CHP2_FGFR1_2.1,1933
CHP2_FGFR1_1.1,1019
CHP2_JAK2_1.1,2351
CHP2_CDKN2A_2.1,924
CHP2_CDKN2A_1.1,1064
CHP2_GNAQ_1.1,2436
CHP2_ABL1_1.1,6736
CHP2_ABL1_2.1,4567
CHP2_ABL1_3.1,2157
CHP2_ABL1_4.1,1764
CHP2_NOTCH1_3.1,1039
CHP2_NOTCH1_2.1,2627
CHP2_NOTCH1_1.1,609
CHP2_RET_1.1,2029
CHP2_RET_2.1,770
CHP2_RET_3.1,2111
CHP2_RET_4.1,1325
CHP2_RET_5.1,2379
CHP2_PTEN_1.1,1424
CHP2_PTEN_2.1,4826
CHP2_PTEN_3.1,2333
CHP2_PTEN_4.1,2232
CHP2_PTEN_5.1,3642
CHP2_PTEN_6.1,3208
CHP2_PTEN_7.1,9780
CHP2_PTEN_8.1,4007
CHP2_FGFR2_4.1,4001
CHP2_FGFR2_3.1,1093
CHP2_FGFR2_2.1,3043
CHP2_FGFR2_1.1,2423
CHP2_HRAS_2.1,755
CHP2_HRAS_1.1,735
CHP2_ATM_1.1,3718
CHP2_ATM_2.1,6817
CHP2_ATM_3.1,5666
CHP2_ATM_4.1,3727
CHP2_ATM_5.1,3896
CHP2_ATM_6.1,3019
CHP2_ATM_7.1,5757
CHP2_ATM_8.1,7800
CHP2_ATM_9.1,4008
CHP2_ATM_10.1,4484
CHP2_ATM_11.1,7627
