Region,Coverage
CHP2_MPL_1.1,528
CHP2_NRAS_3.1,3777
CHP2_NRAS_2.1,2698
CHP2_NRAS_1.1,3819
CHP2_ALK_2.1,629
CHP2_ALK_1.1,956
CHP2_IDH1_1.1,4445
CHP2_ERBB4_8.1,4212
CHP2_ERBB4_7.1,999
CHP2_ERBB4_6.1,5978
CHP2_ERBB4_5.1,4477
CHP2_ERBB4_4.1,3227
CHP2_ERBB4_3.1,1049
CHP2_ERBB4_2.1,5810
CHP2_ERBB4_1.1,3628
CHP2_VHL_1.1,203
CHP2_VHL_2.1,2083
CHP2_VHL_3.1,3206
CHP2_MLH1_1.1,2966
CHP2_CTNNB1_1.1,1537
CHP2_PIK3CA_1.1,3538
CHP2_PIK3CA_2.1,2369
CHP2_PIK3CA_3.1,3481
CHP2_PIK3CA_4.1,2089
CHP2_PIK3CA_5.1,1677
CHP2_PIK3CA_6.1,2326
CHP2_PIK3CA_7.1,5133
CHP2_PIK3CA_8.1,2359
CHP2_PIK3CA_9.1,6929
CHP2_PIK3CA_10.1,3328
CHP2_PIK3CA_11.1,3852
CHP2_FGFR3_1.1,224
CHP2_FGFR3_2.1,103
CHP2_FGFR3_3.1,381
CHP2_FGFR3_4.1,638
CHP2_FGFR3_5.1,576
CHP2_PDGFRA_1.1,2151
CHP2_PDGFRA_2.1,5146
CHP2_PDGFRA_3.1,2969
CHP2_PDGFRA_4.1,2482
CHP2_KIT_1.1,3932
CHP2_KIT_2.1,4753
CHP2_KIT_3.1,3688
CHP2_KIT_4.1,4663
CHP2_KIT_5.1,2770
CHP2_KIT_6.1,6471
CHP2_KIT_7.1,3905
CHP2_KIT_8.1,4876
CHP2_KIT_9.1,6287
CHP2_KDR_9.1,1031
CHP2_KDR_8.1,3216
CHP2_KDR_7.1,4075
CHP2_KDR_6.1,6460
CHP2_KDR_5.1,6342
CHP2_KDR_4.1,3223
CHP2_KDR_3.1,2438
CHP2_KDR_2.1,2089
CHP2_KDR_1.1,3004
CHP2_FBXW7_5.1,5372
CHP2_FBXW7_4.1,4518
CHP2_FBXW7_3.1,3677
CHP2_FBXW7_2.1,5119
CHP2_FBXW7_1.1,3316
CHP2_APC_1.1,3850
CHP2_APC_2.1,4031
CHP2_APC_3.1,3281
CHP2_APC_4.1,3778
CHP2_APC_5.1,1893
CHP2_APC_6.1,4743
CHP2_APC_7.1,1643
CHP2_CSF1R_2.1,393
CHP2_CSF1R_1.1,1491
CHP2_NPM1_1.1,3337
CHP2_EGFR_1.1,2785
CHP2_EGFR_2.1,1049
CHP2_EGFR_3.1,3570
CHP2_EGFR_4.1,777
CHP2_EGFR_5.1,1526
CHP2_EGFR_6.1,675
CHP2_EGFR_7.1,1274
CHP2_EGFR_8.1,1120
CHP2_MET_1.1,4414
CHP2_MET_2.1,2648
CHP2_MET_3.1,2353
CHP2_MET_4.1,4127
CHP2_MET_5.1,3603
CHP2_MET_6.1,2782
CHP2_SMO_1.1,974
CHP2_SMO_2.1,598
CHP2_SMO_3.1,752
CHP2_SMO_4.1,612
CHP2_SMO_5.1,741
CHP2_BRAF_2.1,3344
CHP2_BRAF_1.1,4060
CHP2_EZH2_1.1,3390
CHP2_FGFR1_2.1,1101
CHP2_FGFR1_1.1,922
CHP2_JAK2_1.1,2681
CHP2_CDKN2A_2.1,393
CHP2_CDKN2A_1.1,449
CHP2_GNAQ_1.1,2903
CHP2_ABL1_1.1,2955
CHP2_ABL1_2.1,2675
CHP2_ABL1_3.1,1073
CHP2_ABL1_4.1,928
CHP2_NOTCH1_3.1,291
CHP2_NOTCH1_2.1,584
CHP2_NOTCH1_1.1,132
CHP2_RET_1.1,675
CHP2_RET_2.1,304
CHP2_RET_3.1,701
CHP2_RET_4.1,467
CHP2_RET_5.1,1276
CHP2_PTEN_1.1,1003
CHP2_PTEN_2.1,4637
CHP2_PTEN_3.1,2657
CHP2_PTEN_4.1,2264
CHP2_PTEN_5.1,3635
CHP2_PTEN_6.1,3260
CHP2_PTEN_7.1,10055
CHP2_PTEN_8.1,3623
CHP2_FGFR2_4.1,3652
CHP2_FGFR2_3.1,735
CHP2_FGFR2_2.1,2069
CHP2_FGFR2_1.1,1517
CHP2_HRAS_2.1,222
CHP2_HRAS_1.1,226
CHP2_ATM_1.1,3440
CHP2_ATM_2.1,5786
CHP2_ATM_3.1,5412
CHP2_ATM_4.1,3500
CHP2_ATM_5.1,4099
CHP2_ATM_6.1,3140
CHP2_ATM_7.1,5997
CHP2_ATM_8.1,6698
CHP2_ATM_9.1,3471
CHP2_ATM_10.1,4282
CHP2_ATM_11.1,7390
CHP2_ATM_12.1,6542
CHP2_ATM_13.1,4742
CHP2_ATM_14.1,3170
CHP2_ATM_15.1,3988
CHP2_ATM_16.1,2599
CHP2_ATM_17.1,1512
CHP2_KRAS_3.1,4148
CHP2_KRAS_2.1,4124
CHP2_KRAS_1.1,3334
CHP2_PTPN11_1.1,3936
CHP2_PTPN11_2.1,3471
CHP2_HNF1A_1.1,1341
CHP2_HNF1A_2.1,1689
CHP2_FLT3_4.1,3280
CHP2_FLT3_3.1,3011
CHP2_FLT3_2.1,2895
CHP2_FLT3_1.1,4069
CHP2_RB1_1.1,4025
CHP2_RB1_2.1,3461
CHP2_RB1_3.1,3105
CHP2_RB1_4.1,2074
CHP2_RB1_5.1,2143
CHP2_RB1_6.1,5611
CHP2_RB1_7.1,4929
CHP2_RB1_8.1,2951
CHP2_RB1_9.1,5147
CHP2_RB1_10.1,3838
CHP2_AKT1_2.1,663
CHP2_AKT1_1.1,272
CHP2_IDH2_1.1,1142
CHP2_CDH1_1.1,2856
CHP2_CDH1_2.1,2107
CHP2_CDH1_3.1,2808
CHP2_TP53_8.1,1140
CHP2_TP53_7.1,872
CHP2_TP53_6.1,1787
CHP2_TP53_5.1,999
CHP2_TP53_4.1,1274
CHP2_TP53_3.1,1218
CHP2_TP53_2.1,578
CHP2_TP53_1.1,1285
CHP2_ERBB2_1.1,1339
CHP2_ERBB2_2.1,727
CHP2_ERBB2_3.1,686
CHP2_SMAD4_1.1,3626
CHP2_SMAD4_2.1,2093
CHP2_SMAD4_3.1,2732
CHP2_SMAD4_4.1,3241
CHP2_SMAD4_5.1,3533
CHP2_SMAD4_6.1,3178
CHP2_SMAD4_7.1,1841
CHP2_SMAD4_8.1,2991
CHP2_SMAD4_9.1,1966
CHP2_STK11_1.1,867
CHP2_STK11_2.1,124
CHP2_STK11_3.1,316
CHP2_STK11_4.1,537
CHP2_STK11_5.1,423
CHP2_GNA11_1.1,345
CHP2_JAK3_3.1,624
CHP2_JAK3_2.1,943
CHP2_JAK3_1.1,833
CHP2_SRC_1.1,1107
CHP2_GNAS_1.1,1178
CHP2_GNAS_2.1,2249
CHP2_SMARCB1_1.1,1691
CHP2_SMARCB1_2.1,237
CHP2_SMARCB1_3.1,1304
CHP2_SMARCB1_4.1,387
