Region,Coverage
CHP2_MPL_1.1,633
CHP2_NRAS_3.1,3419
CHP2_NRAS_2.1,1046
CHP2_NRAS_1.1,1840
CHP2_ALK_2.1,376
CHP2_ALK_1.1,643
CHP2_IDH1_1.1,1257
CHP2_ERBB4_8.1,1766
CHP2_ERBB4_7.1,217
CHP2_ERBB4_6.1,1343
CHP2_ERBB4_5.1,860
CHP2_ERBB4_4.1,1098
CHP2_ERBB4_3.1,421
CHP2_ERBB4_2.1,1755
CHP2_ERBB4_1.1,652
CHP2_VHL_1.1,535
CHP2_VHL_2.1,1194
CHP2_VHL_3.1,2082
CHP2_MLH1_1.1,870
CHP2_CTNNB1_1.1,425
CHP2_PIK3CA_1.1,1264
CHP2_PIK3CA_2.1,736
CHP2_PIK3CA_3.1,1126
CHP2_PIK3CA_4.1,603
CHP2_PIK3CA_5.1,925
CHP2_PIK3CA_6.1,1036
CHP2_PIK3CA_7.1,2979
CHP2_PIK3CA_8.1,620
CHP2_PIK3CA_9.1,5163
CHP2_PIK3CA_10.1,1366
CHP2_PIK3CA_11.1,1870
CHP2_FGFR3_1.1,1187
CHP2_FGFR3_2.1,408
CHP2_FGFR3_3.1,2199
CHP2_FGFR3_4.1,3040
CHP2_FGFR3_5.1,1926
CHP2_PDGFRA_1.1,456
CHP2_PDGFRA_2.1,2355
CHP2_PDGFRA_3.1,583
CHP2_PDGFRA_4.1,1073
CHP2_KIT_1.1,989
CHP2_KIT_2.1,2203
CHP2_KIT_3.1,1314
CHP2_KIT_4.1,991
CHP2_KIT_5.1,753
CHP2_KIT_6.1,3350
CHP2_KIT_7.1,1367
CHP2_KIT_8.1,2137
CHP2_KIT_9.1,2766
CHP2_KDR_9.1,354
CHP2_KDR_8.1,1262
CHP2_KDR_7.1,1738
CHP2_KDR_6.1,3479
CHP2_KDR_5.1,4429
CHP2_KDR_4.1,605
CHP2_KDR_3.1,372
CHP2_KDR_2.1,944
CHP2_KDR_1.1,639
CHP2_FBXW7_5.1,3538
CHP2_FBXW7_4.1,2302
CHP2_FBXW7_3.1,622
CHP2_FBXW7_2.1,2692
CHP2_FBXW7_1.1,544
CHP2_APC_1.1,2485
CHP2_APC_2.1,1083
CHP2_APC_3.1,773
CHP2_APC_4.1,763
CHP2_APC_5.1,448
CHP2_APC_6.1,907
CHP2_APC_7.1,367
CHP2_CSF1R_2.1,453
CHP2_CSF1R_1.1,1096
CHP2_NPM1_1.1,1314
CHP2_EGFR_1.1,1275
CHP2_EGFR_2.1,601
CHP2_EGFR_3.1,4167
CHP2_EGFR_4.1,928
CHP2_EGFR_5.1,541
CHP2_EGFR_6.1,966
CHP2_EGFR_7.1,870
CHP2_EGFR_8.1,926
CHP2_MET_1.1,2990
CHP2_MET_2.1,826
CHP2_MET_3.1,530
CHP2_MET_4.1,942
CHP2_MET_5.1,936
CHP2_MET_6.1,1633
CHP2_SMO_1.1,1766
CHP2_SMO_2.1,676
CHP2_SMO_3.1,1499
CHP2_SMO_4.1,969
CHP2_SMO_5.1,820
CHP2_BRAF_2.1,807
CHP2_BRAF_1.1,1187
CHP2_EZH2_1.1,2081
CHP2_FGFR1_2.1,980
CHP2_FGFR1_1.1,305
CHP2_JAK2_1.1,549
CHP2_CDKN2A_2.1,685
CHP2_CDKN2A_1.1,545
CHP2_GNAQ_1.1,597
CHP2_ABL1_1.1,5853
CHP2_ABL1_2.1,2377
CHP2_ABL1_3.1,620
CHP2_ABL1_4.1,732
CHP2_NOTCH1_3.1,919
CHP2_NOTCH1_2.1,1759
CHP2_NOTCH1_1.1,709
CHP2_RET_1.1,1483
CHP2_RET_2.1,910
CHP2_RET_3.1,1609
CHP2_RET_4.1,545
CHP2_RET_5.1,644
CHP2_PTEN_1.1,635
CHP2_PTEN_2.1,945
CHP2_PTEN_3.1,815
CHP2_PTEN_4.1,465
CHP2_PTEN_5.1,910
CHP2_PTEN_6.1,857
CHP2_PTEN_7.1,6890
CHP2_PTEN_8.1,1238
CHP2_FGFR2_4.1,1680
CHP2_FGFR2_3.1,296
CHP2_FGFR2_2.1,949
CHP2_FGFR2_1.1,1502
CHP2_HRAS_2.1,402
CHP2_HRAS_1.1,659
CHP2_ATM_1.1,823
CHP2_ATM_2.1,2924
CHP2_ATM_3.1,2178
CHP2_ATM_4.1,1151
CHP2_ATM_5.1,1176
CHP2_ATM_6.1,1082
CHP2_ATM_7.1,1976
CHP2_ATM_8.1,4398
CHP2_ATM_9.1,3302
CHP2_ATM_10.1,2367
CHP2_ATM_11.1,4681
CHP2_ATM_12.1,3113
CHP2_ATM_13.1,1323
CHP2_ATM_14.1,351
CHP2_ATM_15.1,1768
CHP2_ATM_16.1,1344
CHP2_ATM_17.1,736
CHP2_KRAS_3.1,944
CHP2_KRAS_2.1,1341
CHP2_KRAS_1.1,671
CHP2_PTPN11_1.1,1022
CHP2_PTPN11_2.1,1029
CHP2_HNF1A_1.1,1572
CHP2_HNF1A_2.1,4306
CHP2_FLT3_4.1,1891
CHP2_FLT3_3.1,1914
CHP2_FLT3_2.1,654
CHP2_FLT3_1.1,3105
CHP2_RB1_1.1,1333
CHP2_RB1_2.1,601
CHP2_RB1_3.1,658
CHP2_RB1_4.1,615
CHP2_RB1_5.1,1135
CHP2_RB1_6.1,2730
CHP2_RB1_7.1,1684
CHP2_RB1_8.1,993
CHP2_RB1_9.1,1366
CHP2_RB1_10.1,2198
CHP2_AKT1_2.1,2100
CHP2_AKT1_1.1,466
CHP2_IDH2_1.1,933
CHP2_CDH1_1.1,2354
CHP2_CDH1_2.1,661
CHP2_CDH1_3.1,1872
CHP2_TP53_8.1,1381
CHP2_TP53_7.1,494
CHP2_TP53_6.1,1409
CHP2_TP53_5.1,666
CHP2_TP53_4.1,1596
CHP2_TP53_3.1,2246
CHP2_TP53_2.1,756
CHP2_TP53_1.1,1711
CHP2_ERBB2_1.1,878
CHP2_ERBB2_2.1,1189
CHP2_ERBB2_3.1,731
CHP2_SMAD4_1.1,1067
CHP2_SMAD4_2.1,435
CHP2_SMAD4_3.1,813
CHP2_SMAD4_4.1,667
CHP2_SMAD4_5.1,890
CHP2_SMAD4_6.1,993
CHP2_SMAD4_7.1,681
CHP2_SMAD4_8.1,3757
CHP2_SMAD4_9.1,770
CHP2_STK11_1.1,1146
CHP2_STK11_2.1,291
CHP2_STK11_3.1,1497
CHP2_STK11_4.1,2492
CHP2_STK11_5.1,1287
CHP2_GNA11_1.1,1546
CHP2_JAK3_3.1,1299
CHP2_JAK3_2.1,1897
CHP2_JAK3_1.1,2356
CHP2_SRC_1.1,3502
CHP2_GNAS_1.1,509
CHP2_GNAS_2.1,2196
