Region,Coverage
CHP2_MPL_1.1,885
CHP2_NRAS_3.1,5360
CHP2_NRAS_2.1,1954
CHP2_NRAS_1.1,3094
CHP2_ALK_2.1,624
CHP2_ALK_1.1,881
CHP2_IDH1_1.1,1845
CHP2_ERBB4_8.1,2625
CHP2_ERBB4_7.1,298
CHP2_ERBB4_6.1,2279
CHP2_ERBB4_5.1,1171
CHP2_ERBB4_4.1,1611
CHP2_ERBB4_3.1,555
CHP2_ERBB4_2.1,2564
CHP2_ERBB4_1.1,1014
CHP2_VHL_1.1,889
CHP2_VHL_2.1,1830
CHP2_VHL_3.1,3225
CHP2_MLH1_1.1,1285
CHP2_CTNNB1_1.1,707
CHP2_PIK3CA_1.1,1991
CHP2_PIK3CA_2.1,997
CHP2_PIK3CA_3.1,1973
CHP2_PIK3CA_4.1,782
CHP2_PIK3CA_5.1,2480
CHP2_PIK3CA_6.1,1418
CHP2_PIK3CA_7.1,4702
CHP2_PIK3CA_8.1,973
CHP2_PIK3CA_9.1,7853
CHP2_PIK3CA_10.1,2153
CHP2_PIK3CA_11.1,2891
CHP2_FGFR3_1.1,1713
CHP2_FGFR3_2.1,646
CHP2_FGFR3_3.1,3267
CHP2_FGFR3_4.1,4919
CHP2_FGFR3_5.1,2677
CHP2_PDGFRA_1.1,612
CHP2_PDGFRA_2.1,4334
CHP2_PDGFRA_3.1,1024
CHP2_PDGFRA_4.1,1830
CHP2_KIT_1.1,1547
CHP2_KIT_2.1,2886
CHP2_KIT_3.1,1925
CHP2_KIT_4.1,1558
CHP2_KIT_5.1,1294
CHP2_KIT_6.1,5231
CHP2_KIT_7.1,2011
CHP2_KIT_8.1,3392
CHP2_KIT_9.1,4041
CHP2_KDR_9.1,360
CHP2_KDR_8.1,1966
CHP2_KDR_7.1,2635
CHP2_KDR_6.1,5400
CHP2_KDR_5.1,7514
CHP2_KDR_4.1,1037
CHP2_KDR_3.1,577
CHP2_KDR_2.1,1323
CHP2_KDR_1.1,960
CHP2_FBXW7_5.1,4694
CHP2_FBXW7_4.1,3232
CHP2_FBXW7_3.1,1149
CHP2_FBXW7_2.1,4310
CHP2_FBXW7_1.1,863
CHP2_APC_1.1,3494
CHP2_APC_2.1,1646
CHP2_APC_3.1,1186
CHP2_APC_4.1,1346
CHP2_APC_5.1,542
CHP2_APC_6.1,1754
CHP2_APC_7.1,779
CHP2_CSF1R_2.1,621
CHP2_CSF1R_1.1,1648
CHP2_NPM1_1.1,1749
CHP2_EGFR_1.1,1989
CHP2_EGFR_2.1,900
CHP2_EGFR_3.1,7225
CHP2_EGFR_4.1,1000
CHP2_EGFR_5.1,899
