Region,Coverage
CHP2_MPL_1.1,1012
CHP2_NRAS_3.1,3030
CHP2_NRAS_2.1,1824
CHP2_NRAS_1.1,2926
CHP2_ALK_2.1,966
CHP2_ALK_1.1,1725
CHP2_IDH1_1.1,3645
CHP2_ERBB4_8.1,2877
CHP2_ERBB4_7.1,725
CHP2_ERBB4_6.1,5303
CHP2_ERBB4_5.1,3590
CHP2_ERBB4_4.1,2555
CHP2_ERBB4_3.1,691
CHP2_ERBB4_2.1,4041
CHP2_ERBB4_1.1,2981
CHP2_VHL_1.1,589
CHP2_VHL_2.1,3129
CHP2_VHL_3.1,3988
CHP2_MLH1_1.1,4010
CHP2_CTNNB1_1.1,1104
CHP2_PIK3CA_1.1,2685
CHP2_PIK3CA_2.1,1989
CHP2_PIK3CA_3.1,3459
CHP2_PIK3CA_4.1,1954
CHP2_PIK3CA_5.1,1567
CHP2_PIK3CA_6.1,1717
CHP2_PIK3CA_7.1,3875
CHP2_PIK3CA_8.1,2534
CHP2_PIK3CA_9.1,5705
CHP2_PIK3CA_10.1,2871
CHP2_PIK3CA_11.1,2929
CHP2_FGFR3_1.1,974
CHP2_FGFR3_2.1,427
CHP2_FGFR3_3.1,1544
CHP2_FGFR3_4.1,2695
CHP2_FGFR3_5.1,2806
CHP2_PDGFRA_1.1,2277
CHP2_PDGFRA_2.1,4840
CHP2_PDGFRA_3.1,2700
CHP2_PDGFRA_4.1,3620
CHP2_KIT_1.1,3918
CHP2_KIT_2.1,4088
CHP2_KIT_3.1,3228
CHP2_KIT_4.1,5332
CHP2_KIT_5.1,2599
CHP2_KIT_6.1,5317
CHP2_KIT_7.1,2917
CHP2_KIT_8.1,4344
CHP2_KIT_9.1,2150
CHP2_KDR_9.1,1546
CHP2_KDR_8.1,4545
CHP2_KDR_7.1,4410
CHP2_KDR_6.1,5914
CHP2_KDR_5.1,6566
CHP2_KDR_4.1,3172
CHP2_KDR_3.1,2402
CHP2_KDR_2.1,1594
CHP2_KDR_1.1,3161
CHP2_FBXW7_5.1,3952
CHP2_FBXW7_4.1,3642
CHP2_FBXW7_3.1,3852
CHP2_FBXW7_2.1,4312
CHP2_FBXW7_1.1,3181
CHP2_APC_1.1,2651
CHP2_APC_2.1,3129
CHP2_APC_3.1,2912
CHP2_APC_4.1,3533
CHP2_APC_5.1,1096
CHP2_APC_6.1,4005
CHP2_APC_7.1,1549
CHP2_CSF1R_2.1,647
CHP2_CSF1R_1.1,1783
CHP2_NPM1_1.1,3254
CHP2_EGFR_1.1,2307
CHP2_EGFR_2.1,2488
CHP2_EGFR_3.1,6011
CHP2_EGFR_4.1,1147
CHP2_EGFR_5.1,2633
CHP2_EGFR_6.1,1842
CHP2_EGFR_7.1,2809
CHP2_EGFR_8.1,3027
CHP2_MET_1.1,3542
CHP2_MET_2.1,2089
CHP2_MET_3.1,1907
CHP2_MET_4.1,3084
CHP2_MET_5.1,2996
CHP2_MET_6.1,1834
CHP2_SMO_1.1,3175
CHP2_SMO_2.1,1253
CHP2_SMO_3.1,1696
CHP2_SMO_4.1,1421
CHP2_SMO_5.1,2370
CHP2_BRAF_2.1,3015
CHP2_BRAF_1.1,3242
CHP2_EZH2_1.1,3039
CHP2_FGFR1_2.1,2254
CHP2_FGFR1_1.1,1518
CHP2_JAK2_1.1,1978
CHP2_CDKN2A_2.1,775
CHP2_CDKN2A_1.1,1206
CHP2_GNAQ_1.1,2505
CHP2_ABL1_1.1,5759
CHP2_ABL1_2.1,4261
CHP2_ABL1_3.1,3320
CHP2_ABL1_4.1,1753
CHP2_NOTCH1_3.1,1004
CHP2_NOTCH1_2.1,3122
CHP2_NOTCH1_1.1,578
CHP2_RET_1.1,2389
CHP2_RET_2.1,796
CHP2_RET_3.1,2184
CHP2_RET_4.1,1433
CHP2_RET_5.1,2677
CHP2_PTEN_1.1,1235
CHP2_PTEN_2.1,3780
CHP2_PTEN_3.1,2428
CHP2_PTEN_4.1,2272
CHP2_PTEN_5.1,2882
CHP2_PTEN_6.1,2676
CHP2_PTEN_7.1,6692
CHP2_PTEN_8.1,2900
CHP2_FGFR2_4.1,3059
CHP2_FGFR2_3.1,1168
CHP2_FGFR2_2.1,3152
CHP2_FGFR2_1.1,1972
CHP2_HRAS_2.1,940
CHP2_HRAS_1.1,901
CHP2_ATM_1.1,3445
CHP2_ATM_2.1,4661
CHP2_ATM_3.1,4676
CHP2_ATM_4.1,3059
CHP2_ATM_5.1,3392
CHP2_ATM_6.1,2932
CHP2_ATM_7.1,4908
CHP2_ATM_8.1,5448
CHP2_ATM_9.1,2041
CHP2_ATM_10.1,3084
CHP2_ATM_11.1,4739
CHP2_ATM_12.1,4965
