Region,Coverage
CHP2_MPL_1.1,975
CHP2_NRAS_3.1,2904
CHP2_NRAS_2.1,1878
CHP2_NRAS_1.1,2774
CHP2_ALK_2.1,904
CHP2_ALK_1.1,1807
CHP2_IDH1_1.1,3486
CHP2_ERBB4_8.1,2670
CHP2_ERBB4_7.1,705
CHP2_ERBB4_6.1,5241
CHP2_ERBB4_5.1,3293
CHP2_ERBB4_4.1,2636
CHP2_ERBB4_3.1,675
CHP2_ERBB4_2.1,3913
CHP2_ERBB4_1.1,2945
CHP2_VHL_1.1,690
CHP2_VHL_2.1,3073
CHP2_VHL_3.1,3872
CHP2_MLH1_1.1,3791
CHP2_CTNNB1_1.1,1125
CHP2_PIK3CA_1.1,2371
CHP2_PIK3CA_2.1,1908
CHP2_PIK3CA_3.1,3393
CHP2_PIK3CA_4.1,2010
CHP2_PIK3CA_5.1,2996
CHP2_PIK3CA_6.1,1535
CHP2_PIK3CA_7.1,4012
CHP2_PIK3CA_8.1,2252
CHP2_PIK3CA_9.1,5636
CHP2_PIK3CA_10.1,2737
CHP2_PIK3CA_11.1,2832
CHP2_FGFR3_1.1,973
CHP2_FGFR3_2.1,459
CHP2_FGFR3_3.1,1669
CHP2_FGFR3_4.1,3012
CHP2_FGFR3_5.1,2645
CHP2_PDGFRA_1.1,2141
CHP2_PDGFRA_2.1,4737
CHP2_PDGFRA_3.1,2946
CHP2_PDGFRA_4.1,3684
CHP2_KIT_1.1,3838
CHP2_KIT_2.1,4013
CHP2_KIT_3.1,3156
CHP2_KIT_4.1,5265
CHP2_KIT_5.1,2416
CHP2_KIT_6.1,5423
CHP2_KIT_7.1,2984
CHP2_KIT_8.1,4720
CHP2_KIT_9.1,2045
CHP2_KDR_9.1,1285
CHP2_KDR_8.1,5663
CHP2_KDR_7.1,4531
CHP2_KDR_6.1,5785
CHP2_KDR_5.1,6696
CHP2_KDR_4.1,3176
CHP2_KDR_3.1,2352
CHP2_KDR_2.1,1433
CHP2_KDR_1.1,2951
CHP2_FBXW7_5.1,3813
CHP2_FBXW7_4.1,3498
CHP2_FBXW7_3.1,3806
CHP2_FBXW7_2.1,4698
CHP2_FBXW7_1.1,3160
CHP2_APC_1.1,2611
CHP2_APC_2.1,3052
CHP2_APC_3.1,2973
CHP2_APC_4.1,3216
CHP2_APC_5.1,1542
CHP2_APC_6.1,4018
CHP2_APC_7.1,2081
CHP2_CSF1R_2.1,637
CHP2_CSF1R_1.1,1664
CHP2_NPM1_1.1,3134
CHP2_EGFR_1.1,2272
CHP2_EGFR_2.1,2392
CHP2_EGFR_3.1,5630
CHP2_EGFR_4.1,1037
CHP2_EGFR_5.1,2582
CHP2_EGFR_6.1,1827
CHP2_EGFR_7.1,2639
CHP2_EGFR_8.1,2981
CHP2_MET_1.1,3564
CHP2_MET_2.1,2068
CHP2_MET_3.1,1788
CHP2_MET_4.1,3128
CHP2_MET_5.1,3164
CHP2_MET_6.1,1605
CHP2_SMO_1.1,2876
CHP2_SMO_2.1,1310
CHP2_SMO_3.1,1452
CHP2_SMO_4.1,1494
CHP2_SMO_5.1,2410
CHP2_BRAF_2.1,2874
CHP2_BRAF_1.1,3142
CHP2_EZH2_1.1,2757
CHP2_FGFR1_2.1,2440
CHP2_FGFR1_1.1,1502
CHP2_JAK2_1.1,2048
CHP2_CDKN2A_2.1,807
CHP2_CDKN2A_1.1,1152
CHP2_GNAQ_1.1,2407
CHP2_ABL1_1.1,5520
CHP2_ABL1_2.1,4187
CHP2_ABL1_3.1,3113
CHP2_ABL1_4.1,1887
CHP2_NOTCH1_3.1,1083
CHP2_NOTCH1_2.1,2939
CHP2_NOTCH1_1.1,532
CHP2_RET_1.1,2601
CHP2_RET_2.1,725
CHP2_RET_3.1,2142
CHP2_RET_4.1,1355
CHP2_RET_5.1,2536
CHP2_PTEN_1.1,1147
CHP2_PTEN_2.1,3552
CHP2_PTEN_3.1,2165
CHP2_PTEN_4.1,2079
CHP2_PTEN_5.1,2836
CHP2_PTEN_6.1,2605
CHP2_PTEN_7.1,5061
