Region,Coverage
CHP2_MPL_1.1,419
CHP2_NRAS_3.1,2042
CHP2_NRAS_2.1,1262
CHP2_NRAS_1.1,1624
CHP2_ALK_2.1,366
CHP2_ALK_1.1,621
CHP2_IDH1_1.1,1830
CHP2_ERBB4_8.1,2111
CHP2_ERBB4_7.1,500
CHP2_ERBB4_6.1,2872
CHP2_ERBB4_5.1,2457
CHP2_ERBB4_4.1,1881
CHP2_ERBB4_3.1,537
CHP2_ERBB4_2.1,2779
CHP2_ERBB4_1.1,1642
CHP2_VHL_1.1,173
CHP2_VHL_2.1,1028
CHP2_VHL_3.1,1320
CHP2_MLH1_1.1,929
CHP2_CTNNB1_1.1,568
CHP2_PIK3CA_1.1,1961
CHP2_PIK3CA_2.1,1298
CHP2_PIK3CA_3.1,2199
CHP2_PIK3CA_4.1,1211
CHP2_PIK3CA_5.1,1041
CHP2_PIK3CA_6.1,1354
CHP2_PIK3CA_7.1,2997
CHP2_PIK3CA_8.1,1288
CHP2_PIK3CA_9.1,4689
CHP2_PIK3CA_10.1,1917
CHP2_PIK3CA_11.1,2458
CHP2_FGFR3_1.1,452
CHP2_FGFR3_2.1,176
CHP2_FGFR3_3.1,821
CHP2_FGFR3_4.1,1132
CHP2_FGFR3_5.1,970
CHP2_PDGFRA_1.1,915
CHP2_PDGFRA_2.1,2340
CHP2_PDGFRA_3.1,1210
CHP2_PDGFRA_4.1,1296
CHP2_KIT_1.1,1509
CHP2_KIT_2.1,2180
CHP2_KIT_3.1,1766
CHP2_KIT_4.1,2133
CHP2_KIT_5.1,1104
CHP2_KIT_6.1,2956
CHP2_KIT_7.1,1562
CHP2_KIT_8.1,2318
CHP2_KIT_9.1,3092
CHP2_KDR_9.1,572
CHP2_KDR_8.1,1782
CHP2_KDR_7.1,1995
CHP2_KDR_6.1,2954
CHP2_KDR_5.1,3465
CHP2_KDR_4.1,1107
CHP2_KDR_3.1,1027
CHP2_KDR_2.1,1188
CHP2_KDR_1.1,1400
CHP2_FBXW7_5.1,1835
CHP2_FBXW7_4.1,1923
CHP2_FBXW7_3.1,1320
CHP2_FBXW7_2.1,1801
CHP2_FBXW7_1.1,1217
CHP2_APC_1.1,987
CHP2_APC_2.1,1773
CHP2_APC_3.1,1376
CHP2_APC_4.1,1313
CHP2_APC_5.1,778
CHP2_APC_6.1,1727
CHP2_APC_7.1,659
CHP2_CSF1R_2.1,314
CHP2_CSF1R_1.1,955
CHP2_NPM1_1.1,1996
CHP2_EGFR_1.1,2155
CHP2_EGFR_2.1,1465
CHP2_EGFR_3.1,4792
CHP2_EGFR_4.1,1017
CHP2_EGFR_5.1,1711
CHP2_EGFR_6.1,1168
CHP2_EGFR_7.1,1597
CHP2_EGFR_8.1,1937
CHP2_MET_1.1,2271
CHP2_MET_2.1,1242
CHP2_MET_3.1,1282
CHP2_MET_4.1,1807
CHP2_MET_5.1,1720
CHP2_MET_6.1,1350
CHP2_SMO_1.1,1314
CHP2_SMO_2.1,641
CHP2_SMO_3.1,989
CHP2_SMO_4.1,714
CHP2_SMO_5.1,772
CHP2_BRAF_2.1,1934
CHP2_BRAF_1.1,2958
CHP2_EZH2_1.1,2576
CHP2_FGFR1_2.1,986
CHP2_FGFR1_1.1,571
CHP2_JAK2_1.1,1273
CHP2_CDKN2A_2.1,208
CHP2_CDKN2A_1.1,259
CHP2_GNAQ_1.1,1430
CHP2_ABL1_1.1,2434
CHP2_ABL1_2.1,1774
CHP2_ABL1_3.1,787
CHP2_ABL1_4.1,776
CHP2_NOTCH1_3.1,374
CHP2_NOTCH1_2.1,1078
CHP2_NOTCH1_1.1,232
CHP2_RET_1.1,839
CHP2_RET_2.1,340
CHP2_RET_3.1,830
CHP2_RET_4.1,539
CHP2_RET_5.1,975
CHP2_PTEN_1.1,407
CHP2_PTEN_2.1,1547
CHP2_PTEN_3.1,1418
CHP2_PTEN_4.1,1105
CHP2_PTEN_5.1,1281
CHP2_PTEN_6.1,1127
CHP2_PTEN_7.1,4595
CHP2_PTEN_8.1,1237
CHP2_FGFR2_4.1,1762
CHP2_FGFR2_3.1,429
CHP2_FGFR2_2.1,1277
CHP2_FGFR2_1.1,1014
CHP2_HRAS_2.1,353
CHP2_HRAS_1.1,345
CHP2_ATM_1.1,1495
CHP2_ATM_2.1,2734
CHP2_ATM_3.1,2312
CHP2_ATM_4.1,1770
CHP2_ATM_5.1,1610
CHP2_ATM_6.1,1403
CHP2_ATM_7.1,2468
CHP2_ATM_8.1,3275
CHP2_ATM_9.1,1661
CHP2_ATM_10.1,2043
CHP2_ATM_11.1,3072
CHP2_ATM_12.1,3075
CHP2_ATM_13.1,2293
CHP2_ATM_14.1,1215
CHP2_ATM_15.1,1766
CHP2_ATM_16.1,1260
CHP2_ATM_17.1,796
CHP2_KRAS_3.1,1944
CHP2_KRAS_2.1,1864
CHP2_KRAS_1.1,1526
CHP2_PTPN11_1.1,2031
CHP2_PTPN11_2.1,1273
CHP2_HNF1A_1.1,1113
CHP2_HNF1A_2.1,1744
CHP2_FLT3_4.1,2697
CHP2_FLT3_3.1,2648
CHP2_FLT3_2.1,2189
CHP2_FLT3_1.1,3120
CHP2_RB1_1.1,3021
CHP2_RB1_2.1,2256
CHP2_RB1_3.1,2211
CHP2_RB1_4.1,1681
CHP2_RB1_5.1,2090
CHP2_RB1_6.1,4260
CHP2_RB1_7.1,3133
CHP2_RB1_8.1,2555
CHP2_RB1_9.1,3239
CHP2_RB1_10.1,2833
CHP2_AKT1_2.1,1194
CHP2_AKT1_1.1,549
CHP2_IDH2_1.1,1020
CHP2_CDH1_1.1,1714
CHP2_CDH1_2.1,1253
CHP2_CDH1_3.1,1967
CHP2_TP53_8.1,671
CHP2_TP53_7.1,396
CHP2_TP53_6.1,1216
CHP2_TP53_5.1,633
CHP2_TP53_4.1,972
CHP2_TP53_3.1,904
CHP2_TP53_2.1,460
CHP2_TP53_1.1,864
CHP2_ERBB2_1.1,1370
CHP2_ERBB2_2.1,956
CHP2_ERBB2_3.1,949
CHP2_SMAD4_1.1,1303
CHP2_SMAD4_2.1,830
CHP2_SMAD4_3.1,995
CHP2_SMAD4_4.1,1080
CHP2_SMAD4_5.1,1328
CHP2_SMAD4_6.1,1294
CHP2_SMAD4_7.1,749
CHP2_SMAD4_8.1,1432
CHP2_SMAD4_9.1,675
CHP2_STK11_1.1,1438
CHP2_STK11_2.1,199
CHP2_STK11_3.1,489
CHP2_STK11_4.1,1089
CHP2_STK11_5.1,823
CHP2_GNA11_1.1,684
CHP2_JAK3_3.1,787
CHP2_JAK3_2.1,1090
CHP2_JAK3_1.1,993
CHP2_SRC_1.1,1345
CHP2_GNAS_1.1,716
CHP2_GNAS_2.1,1370
CHP2_SMARCB1_1.1,1151
CHP2_SMARCB1_2.1,223
CHP2_SMARCB1_3.1,1146
CHP2_SMARCB1_4.1,407
