Region,Coverage
CHP2_MPL_1.1,695
CHP2_NRAS_3.1,3220
CHP2_NRAS_2.1,1719
CHP2_NRAS_1.1,2615
CHP2_ALK_2.1,520
CHP2_ALK_1.1,943
CHP2_IDH1_1.1,3374
CHP2_ERBB4_8.1,3213
CHP2_ERBB4_7.1,723
CHP2_ERBB4_6.1,5473
CHP2_ERBB4_5.1,3488
CHP2_ERBB4_4.1,3077
CHP2_ERBB4_3.1,662
CHP2_ERBB4_2.1,4191
CHP2_ERBB4_1.1,2559
CHP2_VHL_1.1,237
CHP2_VHL_2.1,1691
CHP2_VHL_3.1,2068
CHP2_MLH1_1.1,1731
CHP2_CTNNB1_1.1,645
CHP2_PIK3CA_1.1,3078
CHP2_PIK3CA_2.1,1850
CHP2_PIK3CA_3.1,3126
CHP2_PIK3CA_4.1,1696
CHP2_PIK3CA_5.1,1859
CHP2_PIK3CA_6.1,1644
CHP2_PIK3CA_7.1,5005
CHP2_PIK3CA_8.1,2074
CHP2_PIK3CA_9.1,7253
CHP2_PIK3CA_10.1,3072
CHP2_PIK3CA_11.1,3265
CHP2_FGFR3_1.1,697
CHP2_FGFR3_2.1,290
CHP2_FGFR3_3.1,1034
CHP2_FGFR3_4.1,1742
CHP2_FGFR3_5.1,1398
CHP2_PDGFRA_1.1,1214
CHP2_PDGFRA_2.1,3964
CHP2_PDGFRA_3.1,1897
CHP2_PDGFRA_4.1,1798
CHP2_KIT_1.1,2500
CHP2_KIT_2.1,3269
CHP2_KIT_3.1,2696
CHP2_KIT_4.1,3810
CHP2_KIT_5.1,1625
CHP2_KIT_6.1,4418
CHP2_KIT_7.1,2068
CHP2_KIT_8.1,3503
CHP2_KIT_9.1,4664
CHP2_KDR_9.1,768
CHP2_KDR_8.1,2594
CHP2_KDR_7.1,3208
CHP2_KDR_6.1,4886
CHP2_KDR_5.1,5239
CHP2_KDR_4.1,1960
CHP2_KDR_3.1,1452
CHP2_KDR_2.1,1263
CHP2_KDR_1.1,2012
CHP2_FBXW7_5.1,3091
CHP2_FBXW7_4.1,2907
CHP2_FBXW7_3.1,2119
CHP2_FBXW7_2.1,3036
CHP2_FBXW7_1.1,1829
CHP2_APC_1.1,1603
CHP2_APC_2.1,2655
CHP2_APC_3.1,2022
CHP2_APC_4.1,2192
CHP2_APC_5.1,857
CHP2_APC_6.1,2558
CHP2_APC_7.1,951
CHP2_CSF1R_2.1,387
CHP2_CSF1R_1.1,1331
CHP2_NPM1_1.1,2106
CHP2_EGFR_1.1,3327
CHP2_EGFR_2.1,2278
CHP2_EGFR_3.1,8403
CHP2_EGFR_4.1,1266
CHP2_EGFR_5.1,2483
CHP2_EGFR_6.1,1477
CHP2_EGFR_7.1,2520
CHP2_EGFR_8.1,2361
CHP2_MET_1.1,3561
CHP2_MET_2.1,2081
CHP2_MET_3.1,1684
CHP2_MET_4.1,3293
CHP2_MET_5.1,2983
CHP2_MET_6.1,1755
CHP2_SMO_1.1,2286
CHP2_SMO_2.1,912
CHP2_SMO_3.1,1228
CHP2_SMO_4.1,1061
CHP2_SMO_5.1,1565
CHP2_BRAF_2.1,3599
CHP2_BRAF_1.1,4603
CHP2_EZH2_1.1,3915
CHP2_FGFR1_2.1,1461
CHP2_FGFR1_1.1,810
CHP2_JAK2_1.1,1496
CHP2_CDKN2A_2.1,202
CHP2_CDKN2A_1.1,403
CHP2_GNAQ_1.1,2066
CHP2_ABL1_1.1,3813
CHP2_ABL1_2.1,3178
CHP2_ABL1_3.1,1477
CHP2_ABL1_4.1,1091
CHP2_NOTCH1_3.1,501
CHP2_NOTCH1_2.1,1702
CHP2_NOTCH1_1.1,279
CHP2_RET_1.1,1252
CHP2_RET_2.1,473
CHP2_RET_3.1,1203
CHP2_RET_4.1,707
CHP2_RET_5.1,1790
CHP2_PTEN_1.1,583
CHP2_PTEN_2.1,2598
CHP2_PTEN_3.1,2140
CHP2_PTEN_4.1,1464
CHP2_PTEN_5.1,1885
CHP2_PTEN_6.1,1792
CHP2_PTEN_7.1,6687
CHP2_PTEN_8.1,2063
CHP2_FGFR2_4.1,2713
CHP2_FGFR2_3.1,855
CHP2_FGFR2_2.1,2289
CHP2_FGFR2_1.1,1421
CHP2_HRAS_2.1,482
CHP2_HRAS_1.1,461
CHP2_ATM_1.1,2746
CHP2_ATM_2.1,4256
