Region,Coverage
CHP2_MPL_1.1,781
CHP2_NRAS_3.1,3214
CHP2_NRAS_2.1,1729
CHP2_NRAS_1.1,2587
CHP2_ALK_2.1,637
CHP2_ALK_1.1,1102
CHP2_IDH1_1.1,2917
CHP2_ERBB4_8.1,2851
CHP2_ERBB4_7.1,902
CHP2_ERBB4_6.1,4042
CHP2_ERBB4_5.1,3254
CHP2_ERBB4_4.1,3148
CHP2_ERBB4_3.1,744
CHP2_ERBB4_2.1,4121
CHP2_ERBB4_1.1,2243
CHP2_VHL_1.1,329
CHP2_VHL_2.1,1753
CHP2_VHL_3.1,1918
CHP2_MLH1_1.1,1434
CHP2_CTNNB1_1.1,801
CHP2_PIK3CA_1.1,2976
CHP2_PIK3CA_2.1,2076
CHP2_PIK3CA_3.1,3326
CHP2_PIK3CA_4.1,1796
CHP2_PIK3CA_5.1,1973
CHP2_PIK3CA_6.1,1931
CHP2_PIK3CA_7.1,4593
CHP2_PIK3CA_8.1,1966
CHP2_PIK3CA_9.1,6382
CHP2_PIK3CA_10.1,2693
CHP2_PIK3CA_11.1,3604
CHP2_FGFR3_1.1,674
CHP2_FGFR3_2.1,385
CHP2_FGFR3_3.1,1134
CHP2_FGFR3_4.1,1839
CHP2_FGFR3_5.1,1489
CHP2_PDGFRA_1.1,1368
CHP2_PDGFRA_2.1,3493
CHP2_PDGFRA_3.1,1797
CHP2_PDGFRA_4.1,1684
CHP2_KIT_1.1,2549
CHP2_KIT_2.1,3467
CHP2_KIT_3.1,2590
CHP2_KIT_4.1,3299
CHP2_KIT_5.1,1813
CHP2_KIT_6.1,4384
CHP2_KIT_7.1,2393
CHP2_KIT_8.1,3567
CHP2_KIT_9.1,4339
CHP2_KDR_9.1,839
CHP2_KDR_8.1,2447
CHP2_KDR_7.1,3013
CHP2_KDR_6.1,4121
CHP2_KDR_5.1,4771
CHP2_KDR_4.1,1623
CHP2_KDR_3.1,1512
CHP2_KDR_2.1,1531
CHP2_KDR_1.1,2140
CHP2_FBXW7_5.1,3225
CHP2_FBXW7_4.1,2831
CHP2_FBXW7_3.1,1976
CHP2_FBXW7_2.1,3126
CHP2_FBXW7_1.1,1883
CHP2_APC_1.1,1592
CHP2_APC_2.1,2411
CHP2_APC_3.1,2043
CHP2_APC_4.1,2487
CHP2_APC_5.1,876
CHP2_APC_6.1,2651
CHP2_APC_7.1,1141
CHP2_CSF1R_2.1,547
CHP2_CSF1R_1.1,1415
CHP2_NPM1_1.1,2525
CHP2_EGFR_1.1,3423
CHP2_EGFR_2.1,2273
CHP2_EGFR_3.1,7499
CHP2_EGFR_4.1,1391
CHP2_EGFR_5.1,2632
CHP2_EGFR_6.1,1722
CHP2_EGFR_7.1,2721
CHP2_EGFR_8.1,2268
CHP2_MET_1.1,3554
CHP2_MET_2.1,1914
CHP2_MET_3.1,1983
CHP2_MET_4.1,2722
CHP2_MET_5.1,2452
CHP2_MET_6.1,2107
CHP2_SMO_1.1,2256
CHP2_SMO_2.1,1076
CHP2_SMO_3.1,1416
CHP2_SMO_4.1,1098
CHP2_SMO_5.1,1353
CHP2_BRAF_2.1,3123
CHP2_BRAF_1.1,4391
CHP2_EZH2_1.1,3942
CHP2_FGFR1_2.1,1351
CHP2_FGFR1_1.1,918
CHP2_JAK2_1.1,1661
CHP2_CDKN2A_2.1,356
CHP2_CDKN2A_1.1,385
CHP2_GNAQ_1.1,1837
CHP2_ABL1_1.1,3509
CHP2_ABL1_2.1,2648
CHP2_ABL1_3.1,1252
CHP2_ABL1_4.1,1160
CHP2_NOTCH1_3.1,670
CHP2_NOTCH1_2.1,1384
CHP2_NOTCH1_1.1,407
CHP2_RET_1.1,1458
CHP2_RET_2.1,554
CHP2_RET_3.1,1196
CHP2_RET_4.1,813
CHP2_RET_5.1,1510
CHP2_PTEN_1.1,692
CHP2_PTEN_2.1,2248
CHP2_PTEN_3.1,2096
CHP2_PTEN_4.1,1612
CHP2_PTEN_5.1,1847
CHP2_PTEN_6.1,1844
CHP2_PTEN_7.1,6149
CHP2_PTEN_8.1,1956
CHP2_FGFR2_4.1,2526
CHP2_FGFR2_3.1,719
CHP2_FGFR2_2.1,2137
CHP2_FGFR2_1.1,1409
CHP2_HRAS_2.1,521
CHP2_HRAS_1.1,487
CHP2_ATM_1.1,2272
CHP2_ATM_2.1,4214
CHP2_ATM_3.1,3254
CHP2_ATM_4.1,2677
CHP2_ATM_5.1,2744
CHP2_ATM_6.1,2073
CHP2_ATM_7.1,4050
CHP2_ATM_8.1,4750
CHP2_ATM_9.1,2323
CHP2_ATM_10.1,3109
CHP2_ATM_11.1,4463
CHP2_ATM_12.1,3885
CHP2_ATM_13.1,3078
CHP2_ATM_14.1,1990
CHP2_ATM_15.1,2528
CHP2_ATM_16.1,2152
CHP2_ATM_17.1,1256
CHP2_KRAS_3.1,2900
CHP2_KRAS_2.1,2992
CHP2_KRAS_1.1,2133
CHP2_PTPN11_1.1,2952
CHP2_PTPN11_2.1,1900
CHP2_HNF1A_1.1,1642
CHP2_HNF1A_2.1,2614
CHP2_FLT3_4.1,3948
CHP2_FLT3_3.1,4236
CHP2_FLT3_2.1,3119
CHP2_FLT3_1.1,5162
CHP2_RB1_1.1,4706
CHP2_RB1_2.1,3594
CHP2_RB1_3.1,3441
CHP2_RB1_4.1,2430
CHP2_RB1_5.1,3252
CHP2_RB1_6.1,6380
CHP2_RB1_7.1,4751
CHP2_RB1_8.1,3679
CHP2_RB1_9.1,5007
CHP2_RB1_10.1,4215
CHP2_AKT1_2.1,1819
CHP2_AKT1_1.1,701
CHP2_IDH2_1.1,1654
CHP2_CDH1_1.1,2477
CHP2_CDH1_2.1,1692
CHP2_CDH1_3.1,2726
CHP2_TP53_8.1,954
CHP2_TP53_7.1,668
CHP2_TP53_6.1,1905
CHP2_TP53_5.1,1069
CHP2_TP53_4.1,1365
CHP2_TP53_3.1,1278
CHP2_TP53_2.1,642
CHP2_TP53_1.1,1354
CHP2_ERBB2_1.1,2132
CHP2_ERBB2_2.1,1673
CHP2_ERBB2_3.1,1257
CHP2_SMAD4_1.1,1874
CHP2_SMAD4_2.1,1139
CHP2_SMAD4_3.1,1174
CHP2_SMAD4_4.1,1682
CHP2_SMAD4_5.1,1863
CHP2_SMAD4_6.1,1803
CHP2_SMAD4_7.1,986
CHP2_SMAD4_8.1,2102
CHP2_SMAD4_9.1,975
CHP2_STK11_1.1,1784
CHP2_STK11_2.1,392
CHP2_STK11_3.1,727
CHP2_STK11_4.1,1686
CHP2_STK11_5.1,1222
CHP2_GNA11_1.1,1074
CHP2_JAK3_3.1,1253
CHP2_JAK3_2.1,1544
CHP2_JAK3_1.1,1515
CHP2_SRC_1.1,2061
CHP2_GNAS_1.1,1077
CHP2_GNAS_2.1,2260
CHP2_SMARCB1_1.1,1447
CHP2_SMARCB1_2.1,383
CHP2_SMARCB1_3.1,1624
CHP2_SMARCB1_4.1,540
