Region,Coverage
CHP2_MPL_1.1,899
CHP2_NRAS_3.1,3064
CHP2_NRAS_2.1,1663
CHP2_NRAS_1.1,2887
CHP2_ALK_2.1,652
CHP2_ALK_1.1,1202
CHP2_IDH1_1.1,2803
CHP2_ERBB4_8.1,2402
CHP2_ERBB4_7.1,587
CHP2_ERBB4_6.1,4091
CHP2_ERBB4_5.1,2640
CHP2_ERBB4_4.1,2106
CHP2_ERBB4_3.1,653
CHP2_ERBB4_2.1,3400
CHP2_ERBB4_1.1,2575
CHP2_VHL_1.1,411
CHP2_VHL_2.1,2111
CHP2_VHL_3.1,3032
CHP2_MLH1_1.1,2878
CHP2_CTNNB1_1.1,935
CHP2_PIK3CA_1.1,2457
CHP2_PIK3CA_2.1,1487
CHP2_PIK3CA_3.1,2746
CHP2_PIK3CA_4.1,1373
CHP2_PIK3CA_5.1,1170
CHP2_PIK3CA_6.1,1387
CHP2_PIK3CA_7.1,3608
CHP2_PIK3CA_8.1,1669
CHP2_PIK3CA_9.1,5207
CHP2_PIK3CA_10.1,2336
CHP2_PIK3CA_11.1,2615
CHP2_FGFR3_1.1,768
CHP2_FGFR3_2.1,389
CHP2_FGFR3_3.1,1219
CHP2_FGFR3_4.1,2168
CHP2_FGFR3_5.1,1898
CHP2_PDGFRA_1.1,1295
CHP2_PDGFRA_2.1,3290
CHP2_PDGFRA_3.1,1888
CHP2_PDGFRA_4.1,2130
CHP2_KIT_1.1,2317
CHP2_KIT_2.1,3034
CHP2_KIT_3.1,2400
CHP2_KIT_4.1,3189
CHP2_KIT_5.1,1535
CHP2_KIT_6.1,4021
CHP2_KIT_7.1,2065
CHP2_KIT_8.1,3052
CHP2_KIT_9.1,4102
CHP2_KDR_9.1,969
CHP2_KDR_8.1,3048
CHP2_KDR_7.1,2903
CHP2_KDR_6.1,4436
CHP2_KDR_5.1,5023
CHP2_KDR_4.1,1835
CHP2_KDR_3.1,1613
CHP2_KDR_2.1,1178
CHP2_KDR_1.1,2089
CHP2_FBXW7_5.1,2987
CHP2_FBXW7_4.1,3092
CHP2_FBXW7_3.1,2204
CHP2_FBXW7_2.1,2910
CHP2_FBXW7_1.1,1849
CHP2_APC_1.1,2388
CHP2_APC_2.1,2421
CHP2_APC_3.1,2039
CHP2_APC_4.1,2361
CHP2_APC_5.1,812
CHP2_APC_6.1,2889
