Region,Coverage
CHP2_MPL_1.1,627
CHP2_NRAS_3.1,2403
CHP2_NRAS_2.1,1508
CHP2_NRAS_1.1,2472
CHP2_ALK_2.1,565
CHP2_ALK_1.1,1172
CHP2_IDH1_1.1,3260
CHP2_ERBB4_8.1,2882
CHP2_ERBB4_7.1,520
CHP2_ERBB4_6.1,6044
CHP2_ERBB4_5.1,3834
CHP2_ERBB4_4.1,2390
CHP2_ERBB4_3.1,451
CHP2_ERBB4_2.1,3862
CHP2_ERBB4_1.1,3253
CHP2_VHL_1.1,237
CHP2_VHL_2.1,2202
CHP2_VHL_3.1,3119
CHP2_MLH1_1.1,3697
CHP2_CTNNB1_1.1,828
CHP2_PIK3CA_1.1,2968
CHP2_PIK3CA_2.1,1688
CHP2_PIK3CA_3.1,3242
CHP2_PIK3CA_4.1,1861
CHP2_PIK3CA_5.1,1332
CHP2_PIK3CA_6.1,1378
CHP2_PIK3CA_7.1,4146
CHP2_PIK3CA_8.1,2215
CHP2_PIK3CA_9.1,6314
CHP2_PIK3CA_10.1,2940
CHP2_PIK3CA_11.1,3002
CHP2_FGFR3_1.1,589
CHP2_FGFR3_2.1,253
CHP2_FGFR3_3.1,1218
CHP2_FGFR3_4.1,2012
CHP2_FGFR3_5.1,1908
CHP2_PDGFRA_1.1,1605
CHP2_PDGFRA_2.1,4131
CHP2_PDGFRA_3.1,2290
CHP2_PDGFRA_4.1,2579
CHP2_KIT_1.1,3420
CHP2_KIT_2.1,3124
CHP2_KIT_3.1,2419
CHP2_KIT_4.1,4388
CHP2_KIT_5.1,1813
CHP2_KIT_6.1,4586
CHP2_KIT_7.1,2107
CHP2_KIT_8.1,2548
CHP2_KIT_9.1,2047
CHP2_KDR_9.1,1045
CHP2_KDR_8.1,4064
CHP2_KDR_7.1,3244
CHP2_KDR_6.1,4778
CHP2_KDR_5.1,5348
CHP2_KDR_4.1,2922
CHP2_KDR_3.1,1896
CHP2_KDR_2.1,1002
CHP2_KDR_1.1,2471
CHP2_FBXW7_5.1,2489
CHP2_FBXW7_4.1,2785
CHP2_FBXW7_3.1,3103
CHP2_FBXW7_2.1,2376
CHP2_FBXW7_1.1,1896
CHP2_APC_1.1,2031
CHP2_APC_2.1,2410
CHP2_APC_3.1,2324
CHP2_APC_4.1,2689
CHP2_APC_5.1,777
CHP2_APC_6.1,3642
CHP2_APC_7.1,760
CHP2_CSF1R_2.1,339
CHP2_CSF1R_1.1,1250
CHP2_NPM1_1.1,2018
CHP2_EGFR_1.1,1861
CHP2_EGFR_2.1,1692
CHP2_EGFR_3.1,4905
CHP2_EGFR_4.1,533
CHP2_EGFR_5.1,1874
CHP2_EGFR_6.1,965
CHP2_EGFR_7.1,1518
CHP2_EGFR_8.1,1826
CHP2_MET_1.1,3365
CHP2_MET_2.1,2086
