Region,Coverage
CHP2_MPL_1.1,480
CHP2_NRAS_3.1,1870
CHP2_NRAS_2.1,1133
CHP2_NRAS_1.1,2292
CHP2_ALK_2.1,290
CHP2_ALK_1.1,633
CHP2_IDH1_1.1,1881
CHP2_ERBB4_8.1,1686
CHP2_ERBB4_7.1,206
CHP2_ERBB4_6.1,5709
CHP2_ERBB4_5.1,3473
CHP2_ERBB4_4.1,1575
CHP2_ERBB4_3.1,178
CHP2_ERBB4_2.1,1931
CHP2_ERBB4_1.1,2155
CHP2_VHL_1.1,125
CHP2_VHL_2.1,1654
CHP2_VHL_3.1,2750
CHP2_MLH1_1.1,3897
CHP2_CTNNB1_1.1,435
CHP2_PIK3CA_1.1,1895
CHP2_PIK3CA_2.1,943
CHP2_PIK3CA_3.1,2496
CHP2_PIK3CA_4.1,1229
CHP2_PIK3CA_5.1,1382
CHP2_PIK3CA_6.1,535
CHP2_PIK3CA_7.1,3122
CHP2_PIK3CA_8.1,1670
CHP2_PIK3CA_9.1,4991
CHP2_PIK3CA_10.1,2113
CHP2_PIK3CA_11.1,1848
CHP2_FGFR3_1.1,239
CHP2_FGFR3_2.1,108
CHP2_FGFR3_3.1,670
CHP2_FGFR3_4.1,1212
CHP2_FGFR3_5.1,1156
CHP2_PDGFRA_1.1,1038
CHP2_PDGFRA_2.1,3565
CHP2_PDGFRA_3.1,1521
CHP2_PDGFRA_4.1,1537
CHP2_KIT_1.1,2980
CHP2_KIT_2.1,1844
CHP2_KIT_3.1,1215
CHP2_KIT_4.1,3462
CHP2_KIT_5.1,1053
CHP2_KIT_6.1,3474
CHP2_KIT_7.1,1103
CHP2_KIT_8.1,2639
CHP2_KIT_9.1,3195
CHP2_KDR_9.1,493
CHP2_KDR_8.1,4569
CHP2_KDR_7.1,1947
CHP2_KDR_6.1,3455
CHP2_KDR_5.1,4780
CHP2_KDR_4.1,2583
CHP2_KDR_3.1,527
CHP2_KDR_2.1,423
CHP2_KDR_1.1,1367
CHP2_FBXW7_5.1,1928
CHP2_FBXW7_4.1,1723
CHP2_FBXW7_3.1,3976
CHP2_FBXW7_2.1,2010
CHP2_FBXW7_1.1,1417
CHP2_APC_1.1,1558
CHP2_APC_2.1,1614
CHP2_APC_3.1,1775
CHP2_APC_4.1,2215
CHP2_APC_5.1,622
CHP2_APC_6.1,2941
CHP2_APC_7.1,599
CHP2_CSF1R_2.1,200
CHP2_CSF1R_1.1,876
CHP2_NPM1_1.1,1592
CHP2_EGFR_1.1,1419
CHP2_EGFR_2.1,1136
CHP2_EGFR_3.1,5043
CHP2_EGFR_4.1,324
CHP2_EGFR_5.1,1253
CHP2_EGFR_6.1,569
CHP2_EGFR_7.1,924
CHP2_EGFR_8.1,1872
CHP2_MET_1.1,2584
CHP2_MET_2.1,1904
CHP2_MET_3.1,1231
CHP2_MET_4.1,3029
CHP2_MET_5.1,3355
CHP2_MET_6.1,871
CHP2_SMO_1.1,1537
CHP2_SMO_2.1,360
CHP2_SMO_3.1,552
CHP2_SMO_4.1,477
CHP2_SMO_5.1,1213
CHP2_BRAF_2.1,2889
CHP2_BRAF_1.1,2452
CHP2_EZH2_1.1,1927
CHP2_FGFR1_2.1,1054
CHP2_FGFR1_1.1,541
CHP2_JAK2_1.1,1289
CHP2_CDKN2A_2.1,222
CHP2_CDKN2A_1.1,626
CHP2_GNAQ_1.1,1267
CHP2_ABL1_1.1,3459
CHP2_ABL1_2.1,2514
CHP2_ABL1_3.1,2194
CHP2_ABL1_4.1,821
CHP2_NOTCH1_3.1,221
CHP2_NOTCH1_2.1,1254
CHP2_NOTCH1_1.1,112
CHP2_RET_1.1,941
