Region,Coverage
CHP2_MPL_1.1,1715
CHP2_NRAS_3.1,3553
CHP2_NRAS_2.1,2206
CHP2_NRAS_1.1,3311
CHP2_ALK_2.1,1656
CHP2_ALK_1.1,3210
CHP2_IDH1_1.1,3865
CHP2_ERBB4_8.1,4113
CHP2_ERBB4_7.1,1203
CHP2_ERBB4_6.1,6472
CHP2_ERBB4_5.1,4145
CHP2_ERBB4_4.1,3735
CHP2_ERBB4_3.1,1405
CHP2_ERBB4_2.1,5692
CHP2_ERBB4_1.1,4152
CHP2_VHL_1.1,1470
CHP2_VHL_2.1,7105
CHP2_VHL_3.1,9154
CHP2_MLH1_1.1,5485
CHP2_CTNNB1_1.1,1677
CHP2_PIK3CA_1.1,3854
CHP2_PIK3CA_2.1,3004
CHP2_PIK3CA_3.1,5097
CHP2_PIK3CA_4.1,2642
CHP2_PIK3CA_5.1,2034
CHP2_PIK3CA_6.1,2520
CHP2_PIK3CA_7.1,5617
CHP2_PIK3CA_8.1,3202
CHP2_PIK3CA_9.1,7913
CHP2_PIK3CA_10.1,3864
CHP2_PIK3CA_11.1,4516
CHP2_FGFR3_1.1,973
CHP2_FGFR3_2.1,655
CHP2_FGFR3_3.1,1911
CHP2_FGFR3_4.1,3213
CHP2_FGFR3_5.1,2878
CHP2_PDGFRA_1.1,2322
CHP2_PDGFRA_2.1,4856
CHP2_PDGFRA_3.1,2992
CHP2_PDGFRA_4.1,4402
CHP2_KIT_1.1,3534
CHP2_KIT_2.1,4401
CHP2_KIT_3.1,3399
CHP2_KIT_4.1,4802
CHP2_KIT_5.1,2699
CHP2_KIT_6.1,5470
CHP2_KIT_7.1,3473
CHP2_KIT_8.1,4552
CHP2_KIT_9.1,5770
CHP2_KDR_9.1,2000
CHP2_KDR_8.1,5296
CHP2_KDR_7.1,4774
CHP2_KDR_6.1,5744
CHP2_KDR_5.1,7394
CHP2_KDR_4.1,4211
CHP2_KDR_3.1,1630
CHP2_KDR_2.1,1058
CHP2_KDR_1.1,3293
CHP2_FBXW7_5.1,4314
CHP2_FBXW7_4.1,4181
CHP2_FBXW7_3.1,3334
CHP2_FBXW7_2.1,4536
CHP2_FBXW7_1.1,3135
CHP2_APC_1.1,3332
CHP2_APC_2.1,3891
CHP2_APC_3.1,3411
CHP2_APC_4.1,3814
CHP2_APC_5.1,1619
CHP2_APC_6.1,4667
CHP2_APC_7.1,1818
CHP2_CSF1R_2.1,1138
CHP2_CSF1R_1.1,2791
CHP2_NPM1_1.1,2980
CHP2_EGFR_1.1,3454
CHP2_EGFR_2.1,3975
CHP2_EGFR_3.1,7673
CHP2_EGFR_4.1,2040
CHP2_EGFR_5.1,4081
CHP2_EGFR_6.1,2637
CHP2_EGFR_7.1,4142
CHP2_EGFR_8.1,4199
CHP2_MET_1.1,4619
CHP2_MET_2.1,2409
CHP2_MET_3.1,2272
CHP2_MET_4.1,3365
CHP2_MET_5.1,2984
CHP2_MET_6.1,2363
CHP2_SMO_1.1,3549
CHP2_SMO_2.1,1692
CHP2_SMO_3.1,2161
CHP2_SMO_4.1,2108
CHP2_SMO_5.1,2670
CHP2_BRAF_2.1,3209
CHP2_BRAF_1.1,3249
CHP2_EZH2_1.1,2847
CHP2_FGFR1_2.1,4364
CHP2_FGFR1_1.1,2953
CHP2_JAK2_1.1,2336
CHP2_CDKN2A_2.1,1086
CHP2_CDKN2A_1.1,1402
CHP2_GNAQ_1.1,2470
CHP2_ABL1_1.1,7082
CHP2_ABL1_2.1,5347
CHP2_ABL1_3.1,3880
CHP2_ABL1_4.1,2536
CHP2_NOTCH1_3.1,1430
CHP2_NOTCH1_2.1,3641
CHP2_NOTCH1_1.1,726
CHP2_RET_1.1,3551
CHP2_RET_2.1,1432
CHP2_RET_3.1,3200
CHP2_RET_4.1,2402
CHP2_RET_5.1,3522
CHP2_PTEN_1.1,1981
CHP2_PTEN_2.1,5098
CHP2_PTEN_3.1,3371
CHP2_PTEN_4.1,2827
CHP2_PTEN_5.1,4223
CHP2_PTEN_6.1,4060
