Region,Coverage
CHP2_MPL_1.1,724
CHP2_NRAS_3.1,2031
CHP2_NRAS_2.1,1337
CHP2_NRAS_1.1,1808
CHP2_ALK_2.1,598
CHP2_ALK_1.1,1131
CHP2_IDH1_1.1,2130
CHP2_ERBB4_8.1,2092
CHP2_ERBB4_7.1,451
CHP2_ERBB4_6.1,3439
CHP2_ERBB4_5.1,2805
CHP2_ERBB4_4.1,1919
CHP2_ERBB4_3.1,441
CHP2_ERBB4_2.1,2961
CHP2_ERBB4_1.1,2091
CHP2_VHL_1.1,343
CHP2_VHL_2.1,2040
CHP2_VHL_3.1,2680
CHP2_MLH1_1.1,2766
CHP2_CTNNB1_1.1,610
CHP2_PIK3CA_1.1,2643
CHP2_PIK3CA_2.1,1653
CHP2_PIK3CA_3.1,3017
CHP2_PIK3CA_4.1,1511
CHP2_PIK3CA_5.1,1274
CHP2_PIK3CA_6.1,1284
CHP2_PIK3CA_7.1,3568
CHP2_PIK3CA_8.1,1886
CHP2_PIK3CA_9.1,5031
CHP2_PIK3CA_10.1,2331
CHP2_PIK3CA_11.1,2472
CHP2_FGFR3_1.1,710
CHP2_FGFR3_2.1,351
CHP2_FGFR3_3.1,1498
CHP2_FGFR3_4.1,2257
CHP2_FGFR3_5.1,2227
CHP2_PDGFRA_1.1,1286
CHP2_PDGFRA_2.1,2818
CHP2_PDGFRA_3.1,1656
CHP2_PDGFRA_4.1,2308
CHP2_KIT_1.1,2421
CHP2_KIT_2.1,2618
CHP2_KIT_3.1,1702
CHP2_KIT_4.1,3113
CHP2_KIT_5.1,1525
CHP2_KIT_6.1,3493
CHP2_KIT_7.1,1795
CHP2_KIT_8.1,2716
CHP2_KIT_9.1,1840
CHP2_KDR_9.1,964
CHP2_KDR_8.1,3954
CHP2_KDR_7.1,2660
CHP2_KDR_6.1,3414
CHP2_KDR_5.1,4461
CHP2_KDR_4.1,2127
CHP2_KDR_3.1,1412
CHP2_KDR_2.1,687
CHP2_KDR_1.1,1571
CHP2_FBXW7_5.1,2322
CHP2_FBXW7_4.1,2167
CHP2_FBXW7_3.1,2193
CHP2_FBXW7_2.1,2513
CHP2_FBXW7_1.1,1935
CHP2_APC_1.1,1835
CHP2_APC_2.1,1979
CHP2_APC_3.1,2118
CHP2_APC_4.1,2323
CHP2_APC_5.1,1085
CHP2_APC_6.1,2694
CHP2_APC_7.1,932
CHP2_CSF1R_2.1,495
CHP2_CSF1R_1.1,1436
CHP2_NPM1_1.1,2262
CHP2_EGFR_1.1,1617
CHP2_EGFR_2.1,1913
CHP2_EGFR_3.1,4400
CHP2_EGFR_4.1,797
CHP2_EGFR_5.1,2030
CHP2_EGFR_6.1,1276
CHP2_EGFR_7.1,2123
CHP2_EGFR_8.1,2750
CHP2_MET_1.1,2659
CHP2_MET_2.1,1600
CHP2_MET_3.1,1262
CHP2_MET_4.1,2278
CHP2_MET_5.1,2150
CHP2_MET_6.1,1292
CHP2_SMO_1.1,2368
CHP2_SMO_2.1,879
CHP2_SMO_3.1,1220
CHP2_SMO_4.1,1118
CHP2_SMO_5.1,1690
CHP2_BRAF_2.1,2053
CHP2_BRAF_1.1,2158
CHP2_EZH2_1.1,1975
CHP2_FGFR1_2.1,1735
CHP2_FGFR1_1.1,1173
CHP2_JAK2_1.1,1328
CHP2_CDKN2A_2.1,495
CHP2_CDKN2A_1.1,745
CHP2_GNAQ_1.1,1412
CHP2_ABL1_1.1,3551
CHP2_ABL1_2.1,2817
CHP2_ABL1_3.1,2102
CHP2_ABL1_4.1,1157
CHP2_NOTCH1_3.1,654
CHP2_NOTCH1_2.1,2048
CHP2_NOTCH1_1.1,404
CHP2_RET_1.1,1704
CHP2_RET_2.1,645
CHP2_RET_3.1,1396
CHP2_RET_4.1,1067
CHP2_RET_5.1,1834
CHP2_PTEN_1.1,896
CHP2_PTEN_2.1,2695
CHP2_PTEN_3.1,1389
CHP2_PTEN_4.1,1591
CHP2_PTEN_5.1,2056
CHP2_PTEN_6.1,1870
CHP2_PTEN_7.1,4603
