Region,Coverage
CHP2_MPL_1.1,725
CHP2_NRAS_3.1,2349
CHP2_NRAS_2.1,1191
CHP2_NRAS_1.1,2379
CHP2_ALK_2.1,462
CHP2_ALK_1.1,1037
CHP2_IDH1_1.1,2468
CHP2_ERBB4_8.1,2312
CHP2_ERBB4_7.1,539
CHP2_ERBB4_6.1,4234
CHP2_ERBB4_5.1,2958
CHP2_ERBB4_4.1,1982
CHP2_ERBB4_3.1,468
CHP2_ERBB4_2.1,3093
CHP2_ERBB4_1.1,2494
CHP2_VHL_1.1,338
CHP2_VHL_2.1,2299
CHP2_VHL_3.1,2889
CHP2_MLH1_1.1,3412
CHP2_CTNNB1_1.1,968
CHP2_PIK3CA_1.1,2125
CHP2_PIK3CA_2.1,1345
CHP2_PIK3CA_3.1,2753
CHP2_PIK3CA_4.1,1535
CHP2_PIK3CA_5.1,1492
CHP2_PIK3CA_6.1,1110
CHP2_PIK3CA_7.1,3279
CHP2_PIK3CA_8.1,1851
CHP2_PIK3CA_9.1,4676
CHP2_PIK3CA_10.1,2285
CHP2_PIK3CA_11.1,2295
CHP2_FGFR3_1.1,499
CHP2_FGFR3_2.1,287
CHP2_FGFR3_3.1,1176
CHP2_FGFR3_4.1,1607
CHP2_FGFR3_5.1,1451
CHP2_PDGFRA_1.1,1590
CHP2_PDGFRA_2.1,3467
CHP2_PDGFRA_3.1,2231
CHP2_PDGFRA_4.1,2199
CHP2_KIT_1.1,2863
CHP2_KIT_2.1,2772
CHP2_KIT_3.1,2288
CHP2_KIT_4.1,3754
CHP2_KIT_5.1,1867
CHP2_KIT_6.1,3784
CHP2_KIT_7.1,1992
CHP2_KIT_8.1,2977
CHP2_KIT_9.1,3777
CHP2_KDR_9.1,774
CHP2_KDR_8.1,3486
CHP2_KDR_7.1,2880
CHP2_KDR_6.1,4447
CHP2_KDR_5.1,4689
CHP2_KDR_4.1,2611
CHP2_KDR_3.1,1613
CHP2_KDR_2.1,1033
CHP2_KDR_1.1,2173
CHP2_FBXW7_5.1,2771
CHP2_FBXW7_4.1,2873
CHP2_FBXW7_3.1,2952
CHP2_FBXW7_2.1,2964
CHP2_FBXW7_1.1,2228
CHP2_APC_1.1,2193
CHP2_APC_2.1,2495
CHP2_APC_3.1,2403
CHP2_APC_4.1,2703
CHP2_APC_5.1,1252
CHP2_APC_6.1,3509
CHP2_APC_7.1,1262
CHP2_CSF1R_2.1,421
CHP2_CSF1R_1.1,1413
CHP2_NPM1_1.1,2275
CHP2_EGFR_1.1,2306
CHP2_EGFR_2.1,1973
CHP2_EGFR_3.1,5255
CHP2_EGFR_4.1,846
CHP2_EGFR_5.1,2126
CHP2_EGFR_6.1,1305
CHP2_EGFR_7.1,2087
CHP2_EGFR_8.1,2588
CHP2_MET_1.1,4154
CHP2_MET_2.1,2687
CHP2_MET_3.1,2298
CHP2_MET_4.1,3948
CHP2_MET_5.1,3802
CHP2_MET_6.1,1986
CHP2_SMO_1.1,2764
CHP2_SMO_2.1,1023
CHP2_SMO_3.1,1315
CHP2_SMO_4.1,1263
CHP2_SMO_5.1,1792
CHP2_BRAF_2.1,3355
CHP2_BRAF_1.1,3623
CHP2_EZH2_1.1,3055
CHP2_FGFR1_2.1,1836
CHP2_FGFR1_1.1,1126
CHP2_JAK2_1.1,2435
CHP2_CDKN2A_2.1,765
CHP2_CDKN2A_1.1,1226
CHP2_GNAQ_1.1,2485
CHP2_ABL1_1.1,5162
CHP2_ABL1_2.1,3453
CHP2_ABL1_3.1,2565
CHP2_ABL1_4.1,1603
CHP2_NOTCH1_3.1,664
CHP2_NOTCH1_2.1,2311
CHP2_NOTCH1_1.1,388
CHP2_RET_1.1,1294
CHP2_RET_2.1,447
CHP2_RET_3.1,1168
CHP2_RET_4.1,744
CHP2_RET_5.1,1551
CHP2_PTEN_1.1,808
CHP2_PTEN_2.1,3395
CHP2_PTEN_3.1,1856
CHP2_PTEN_4.1,1831
CHP2_PTEN_5.1,2347
CHP2_PTEN_6.1,2108
CHP2_PTEN_7.1,6023
CHP2_PTEN_8.1,2619
CHP2_FGFR2_4.1,2441
CHP2_FGFR2_3.1,813
CHP2_FGFR2_2.1,2493
CHP2_FGFR2_1.1,1528
CHP2_HRAS_2.1,430
CHP2_HRAS_1.1,450
CHP2_ATM_1.1,2466
CHP2_ATM_2.1,3697
CHP2_ATM_3.1,3500
CHP2_ATM_4.1,2389
CHP2_ATM_5.1,2741
CHP2_ATM_6.1,2303
CHP2_ATM_7.1,4222
CHP2_ATM_8.1,4514
CHP2_ATM_9.1,1498
CHP2_ATM_10.1,2395
CHP2_ATM_11.1,4055
CHP2_ATM_12.1,4383
CHP2_ATM_13.1,3529
CHP2_ATM_14.1,2178
CHP2_ATM_15.1,2291
CHP2_ATM_16.1,1421
CHP2_ATM_17.1,754
CHP2_KRAS_3.1,4214
CHP2_KRAS_2.1,3430
CHP2_KRAS_1.1,2927
CHP2_PTPN11_1.1,3982
CHP2_PTPN11_2.1,3456
CHP2_HNF1A_1.1,2231
CHP2_HNF1A_2.1,3763
CHP2_FLT3_4.1,3250
CHP2_FLT3_3.1,3760
CHP2_FLT3_2.1,3207
