Region,Coverage
CHP2_MPL_1.1,1091
CHP2_NRAS_3.1,3146
CHP2_NRAS_2.1,2125
CHP2_NRAS_1.1,3402
CHP2_ALK_2.1,671
CHP2_ALK_1.1,1183
CHP2_IDH1_1.1,3116
CHP2_ERBB4_8.1,2939
CHP2_ERBB4_7.1,578
CHP2_ERBB4_6.1,5780
CHP2_ERBB4_5.1,3575
CHP2_ERBB4_4.1,2493
CHP2_ERBB4_3.1,555
CHP2_ERBB4_2.1,4161
CHP2_ERBB4_1.1,3285
CHP2_VHL_1.1,382
CHP2_VHL_2.1,2545
CHP2_VHL_3.1,3211
CHP2_MLH1_1.1,4063
CHP2_CTNNB1_1.1,1087
CHP2_PIK3CA_1.1,2833
CHP2_PIK3CA_2.1,1689
CHP2_PIK3CA_3.1,3312
CHP2_PIK3CA_4.1,2087
CHP2_PIK3CA_5.1,2486
CHP2_PIK3CA_6.1,1395
CHP2_PIK3CA_7.1,4202
CHP2_PIK3CA_8.1,2321
CHP2_PIK3CA_9.1,5471
CHP2_PIK3CA_10.1,2779
CHP2_PIK3CA_11.1,2871
CHP2_FGFR3_1.1,588
CHP2_FGFR3_2.1,266
CHP2_FGFR3_3.1,1103
CHP2_FGFR3_4.1,1904
CHP2_FGFR3_5.1,1832
CHP2_PDGFRA_1.1,1922
CHP2_PDGFRA_2.1,4532
CHP2_PDGFRA_3.1,2723
CHP2_PDGFRA_4.1,3160
CHP2_KIT_1.1,3606
CHP2_KIT_2.1,3686
CHP2_KIT_3.1,2757
CHP2_KIT_4.1,5054
CHP2_KIT_5.1,2407
CHP2_KIT_6.1,5408
CHP2_KIT_7.1,2641
CHP2_KIT_8.1,4190
CHP2_KIT_9.1,2778
CHP2_KDR_9.1,984
CHP2_KDR_8.1,4878
CHP2_KDR_7.1,3981
CHP2_KDR_6.1,5556
CHP2_KDR_5.1,6625
CHP2_KDR_4.1,3191
CHP2_KDR_3.1,2036
CHP2_KDR_2.1,1222
CHP2_KDR_1.1,2711
CHP2_FBXW7_5.1,3417
CHP2_FBXW7_4.1,3150
CHP2_FBXW7_3.1,3797
CHP2_FBXW7_2.1,3893
CHP2_FBXW7_1.1,2725
CHP2_APC_1.1,2243
CHP2_APC_2.1,2568
CHP2_APC_3.1,2587
CHP2_APC_4.1,2952
CHP2_APC_5.1,1053
CHP2_APC_6.1,4127
CHP2_APC_7.1,1602
CHP2_CSF1R_2.1,469
CHP2_CSF1R_1.1,1711
CHP2_NPM1_1.1,2550
CHP2_EGFR_1.1,2696
CHP2_EGFR_2.1,2435
CHP2_EGFR_3.1,6412
CHP2_EGFR_4.1,1048
CHP2_EGFR_5.1,2594
CHP2_EGFR_6.1,1565
CHP2_EGFR_7.1,2495
CHP2_EGFR_8.1,2950
CHP2_MET_1.1,4619
CHP2_MET_2.1,2885
CHP2_MET_3.1,2478
CHP2_MET_4.1,4449
CHP2_MET_5.1,4360
CHP2_MET_6.1,2064
CHP2_SMO_1.1,3226
CHP2_SMO_2.1,1094
CHP2_SMO_3.1,1394
CHP2_SMO_4.1,1192
CHP2_SMO_5.1,2008
CHP2_BRAF_2.1,3913
CHP2_BRAF_1.1,3826
CHP2_EZH2_1.1,3353
CHP2_FGFR1_2.1,2158
CHP2_FGFR1_1.1,1294
CHP2_JAK2_1.1,2261
CHP2_CDKN2A_2.1,564
CHP2_CDKN2A_1.1,990
CHP2_GNAQ_1.1,2203
CHP2_ABL1_1.1,5642
CHP2_ABL1_2.1,4005
CHP2_ABL1_3.1,2964
CHP2_ABL1_4.1,1586
CHP2_NOTCH1_3.1,714
CHP2_NOTCH1_2.1,2313
CHP2_NOTCH1_1.1,317
CHP2_RET_1.1,1712
CHP2_RET_2.1,492
CHP2_RET_3.1,1278
CHP2_RET_4.1,942
CHP2_RET_5.1,2222
CHP2_PTEN_1.1,880
CHP2_PTEN_2.1,4324
CHP2_PTEN_3.1,2514
CHP2_PTEN_4.1,2211
CHP2_PTEN_5.1,3055
CHP2_PTEN_6.1,2649
CHP2_PTEN_7.1,6031
CHP2_PTEN_8.1,3060
CHP2_FGFR2_4.1,3102
CHP2_FGFR2_3.1,1060
CHP2_FGFR2_2.1,2921
CHP2_FGFR2_1.1,1651
CHP2_HRAS_2.1,516
CHP2_HRAS_1.1,456
CHP2_ATM_1.1,3527
CHP2_ATM_2.1,4912
CHP2_ATM_3.1,5379
CHP2_ATM_4.1,3023
CHP2_ATM_5.1,3432
CHP2_ATM_6.1,2826
CHP2_ATM_7.1,5998
CHP2_ATM_8.1,6677
