Region,Coverage
CHP2_MPL_1.1,994
CHP2_NRAS_3.1,2798
CHP2_NRAS_2.1,1860
CHP2_NRAS_1.1,3058
CHP2_ALK_2.1,569
CHP2_ALK_1.1,1145
CHP2_IDH1_1.1,2822
CHP2_ERBB4_8.1,2574
CHP2_ERBB4_7.1,522
CHP2_ERBB4_6.1,5470
CHP2_ERBB4_5.1,3477
CHP2_ERBB4_4.1,2291
CHP2_ERBB4_3.1,451
CHP2_ERBB4_2.1,3518
CHP2_ERBB4_1.1,2854
CHP2_VHL_1.1,308
CHP2_VHL_2.1,2212
CHP2_VHL_3.1,3018
CHP2_MLH1_1.1,3782
CHP2_CTNNB1_1.1,873
CHP2_PIK3CA_1.1,2513
CHP2_PIK3CA_2.1,1515
CHP2_PIK3CA_3.1,3045
CHP2_PIK3CA_4.1,1758
CHP2_PIK3CA_5.1,2009
CHP2_PIK3CA_6.1,1283
CHP2_PIK3CA_7.1,3779
CHP2_PIK3CA_8.1,1968
CHP2_PIK3CA_9.1,5073
CHP2_PIK3CA_10.1,2560
CHP2_PIK3CA_11.1,2663
CHP2_FGFR3_1.1,507
CHP2_FGFR3_2.1,223
CHP2_FGFR3_3.1,1006
CHP2_FGFR3_4.1,1596
CHP2_FGFR3_5.1,1606
CHP2_PDGFRA_1.1,1603
CHP2_PDGFRA_2.1,4219
CHP2_PDGFRA_3.1,2619
CHP2_PDGFRA_4.1,2777
CHP2_KIT_1.1,3201
CHP2_KIT_2.1,3412
CHP2_KIT_3.1,2508
CHP2_KIT_4.1,4760
CHP2_KIT_5.1,2182
CHP2_KIT_6.1,4658
CHP2_KIT_7.1,2488
CHP2_KIT_8.1,3894
CHP2_KIT_9.1,2548
CHP2_KDR_9.1,1014
CHP2_KDR_8.1,4564
CHP2_KDR_7.1,3510
CHP2_KDR_6.1,5370
CHP2_KDR_5.1,6105
CHP2_KDR_4.1,2770
CHP2_KDR_3.1,2017
CHP2_KDR_2.1,1061
CHP2_KDR_1.1,2533
CHP2_FBXW7_5.1,2886
CHP2_FBXW7_4.1,2984
CHP2_FBXW7_3.1,3560
CHP2_FBXW7_2.1,3728
CHP2_FBXW7_1.1,2515
CHP2_APC_1.1,2212
CHP2_APC_2.1,2394
CHP2_APC_3.1,2302
CHP2_APC_4.1,2730
CHP2_APC_5.1,1065
CHP2_APC_6.1,3557
CHP2_APC_7.1,1379
CHP2_CSF1R_2.1,336
CHP2_CSF1R_1.1,1397
CHP2_NPM1_1.1,2369
CHP2_EGFR_1.1,2279
CHP2_EGFR_2.1,2142
CHP2_EGFR_3.1,6029
CHP2_EGFR_4.1,883
CHP2_EGFR_5.1,2327
CHP2_EGFR_6.1,1402
CHP2_EGFR_7.1,2143
CHP2_EGFR_8.1,2804
CHP2_MET_1.1,4237
CHP2_MET_2.1,2722
CHP2_MET_3.1,2379
CHP2_MET_4.1,4141
CHP2_MET_5.1,4184
CHP2_MET_6.1,1849
CHP2_SMO_1.1,2810
CHP2_SMO_2.1,971
CHP2_SMO_3.1,1220
CHP2_SMO_4.1,1157
CHP2_SMO_5.1,2032
CHP2_BRAF_2.1,3660
CHP2_BRAF_1.1,3379
