Region,Coverage
CHP2_MPL_1.1,1011
CHP2_NRAS_3.1,3258
CHP2_NRAS_2.1,2092
CHP2_NRAS_1.1,3477
CHP2_ALK_2.1,752
CHP2_ALK_1.1,1592
CHP2_IDH1_1.1,4099
CHP2_ERBB4_8.1,3652
CHP2_ERBB4_7.1,664
CHP2_ERBB4_6.1,7330
CHP2_ERBB4_5.1,4630
CHP2_ERBB4_4.1,3253
CHP2_ERBB4_3.1,661
CHP2_ERBB4_2.1,5033
CHP2_ERBB4_1.1,4176
CHP2_VHL_1.1,437
CHP2_VHL_2.1,3009
CHP2_VHL_3.1,3900
CHP2_MLH1_1.1,4758
CHP2_CTNNB1_1.1,1248
CHP2_PIK3CA_1.1,3224
CHP2_PIK3CA_2.1,1954
CHP2_PIK3CA_3.1,3633
CHP2_PIK3CA_4.1,2172
CHP2_PIK3CA_5.1,2085
CHP2_PIK3CA_6.1,1369
CHP2_PIK3CA_7.1,4686
CHP2_PIK3CA_8.1,2351
CHP2_PIK3CA_9.1,6464
CHP2_PIK3CA_10.1,3170
CHP2_PIK3CA_11.1,3359
CHP2_FGFR3_1.1,760
CHP2_FGFR3_2.1,357
CHP2_FGFR3_3.1,1557
CHP2_FGFR3_4.1,2401
CHP2_FGFR3_5.1,2252
CHP2_PDGFRA_1.1,2074
CHP2_PDGFRA_2.1,4802
CHP2_PDGFRA_3.1,2742
CHP2_PDGFRA_4.1,3157
CHP2_KIT_1.1,3912
CHP2_KIT_2.1,3589
CHP2_KIT_3.1,2954
CHP2_KIT_4.1,5490
CHP2_KIT_5.1,2339
CHP2_KIT_6.1,5503
CHP2_KIT_7.1,2594
CHP2_KIT_8.1,4457
CHP2_KIT_9.1,5299
CHP2_KDR_9.1,1114
CHP2_KDR_8.1,4174
CHP2_KDR_7.1,4172
CHP2_KDR_6.1,5781
CHP2_KDR_5.1,5871
CHP2_KDR_4.1,3912
CHP2_KDR_3.1,2202
CHP2_KDR_2.1,1180
CHP2_KDR_1.1,2811
CHP2_FBXW7_5.1,3548
CHP2_FBXW7_4.1,3824
CHP2_FBXW7_3.1,4099
CHP2_FBXW7_2.1,3808
CHP2_FBXW7_1.1,3046
CHP2_APC_1.1,2935
CHP2_APC_2.1,3412
CHP2_APC_3.1,3330
CHP2_APC_4.1,3657
CHP2_APC_5.1,1303
CHP2_APC_6.1,4823
CHP2_APC_7.1,1596
CHP2_CSF1R_2.1,532
CHP2_CSF1R_1.1,1688
CHP2_NPM1_1.1,2697
CHP2_EGFR_1.1,2956
CHP2_EGFR_2.1,2718
CHP2_EGFR_3.1,7467
CHP2_EGFR_4.1,978
CHP2_EGFR_5.1,2979
CHP2_EGFR_6.1,1752
CHP2_EGFR_7.1,2673
CHP2_EGFR_8.1,2849
CHP2_MET_1.1,4945
CHP2_MET_2.1,3373
CHP2_MET_3.1,2888
CHP2_MET_4.1,5036
CHP2_MET_5.1,4959
CHP2_MET_6.1,2264
CHP2_SMO_1.1,3609
CHP2_SMO_2.1,1347
CHP2_SMO_3.1,1702
CHP2_SMO_4.1,1626
CHP2_SMO_5.1,2607
CHP2_BRAF_2.1,4529
CHP2_BRAF_1.1,4505
CHP2_EZH2_1.1,3872
CHP2_FGFR1_2.1,3459
CHP2_FGFR1_1.1,2179
CHP2_JAK2_1.1,2560
CHP2_CDKN2A_2.1,716
CHP2_CDKN2A_1.1,1300
CHP2_GNAQ_1.1,2353
CHP2_ABL1_1.1,5523
CHP2_ABL1_2.1,4366
CHP2_ABL1_3.1,3090
CHP2_ABL1_4.1,1600
CHP2_NOTCH1_3.1,719
CHP2_NOTCH1_2.1,2785
CHP2_NOTCH1_1.1,421
CHP2_RET_1.1,2551
CHP2_RET_2.1,798
CHP2_RET_3.1,2092
CHP2_RET_4.1,1431
CHP2_RET_5.1,3229
CHP2_PTEN_1.1,1424
CHP2_PTEN_2.1,5714
