Region,Coverage
CHP2_MPL_1.1,746
CHP2_NRAS_3.1,2590
CHP2_NRAS_2.1,1698
CHP2_NRAS_1.1,2394
CHP2_ALK_2.1,661
CHP2_ALK_1.1,1363
CHP2_IDH1_1.1,3034
CHP2_ERBB4_8.1,2844
CHP2_ERBB4_7.1,681
CHP2_ERBB4_6.1,4634
CHP2_ERBB4_5.1,3281
CHP2_ERBB4_4.1,2384
CHP2_ERBB4_3.1,675
CHP2_ERBB4_2.1,3619
CHP2_ERBB4_1.1,2852
CHP2_VHL_1.1,328
CHP2_VHL_2.1,2178
CHP2_VHL_3.1,2709
CHP2_MLH1_1.1,2795
CHP2_CTNNB1_1.1,889
CHP2_PIK3CA_1.1,2065
CHP2_PIK3CA_2.1,1470
CHP2_PIK3CA_3.1,2540
CHP2_PIK3CA_4.1,1477
CHP2_PIK3CA_5.1,1152
CHP2_PIK3CA_6.1,1238
CHP2_PIK3CA_7.1,3078
CHP2_PIK3CA_8.1,1659
CHP2_PIK3CA_9.1,4105
CHP2_PIK3CA_10.1,2002
CHP2_PIK3CA_11.1,2495
CHP2_FGFR3_1.1,795
CHP2_FGFR3_2.1,397
CHP2_FGFR3_3.1,1444
CHP2_FGFR3_4.1,2440
CHP2_FGFR3_5.1,2073
CHP2_PDGFRA_1.1,1875
CHP2_PDGFRA_2.1,3936
CHP2_PDGFRA_3.1,2458
CHP2_PDGFRA_4.1,2392
CHP2_KIT_1.1,2908
CHP2_KIT_2.1,3351
CHP2_KIT_3.1,2680
CHP2_KIT_4.1,4046
CHP2_KIT_5.1,2055
CHP2_KIT_6.1,4524
CHP2_KIT_7.1,2542
CHP2_KIT_8.1,3663
CHP2_KIT_9.1,4651
CHP2_KDR_9.1,1029
CHP2_KDR_8.1,3302
CHP2_KDR_7.1,3440
CHP2_KDR_6.1,5077
CHP2_KDR_5.1,5149
CHP2_KDR_4.1,3098
CHP2_KDR_3.1,1896
CHP2_KDR_2.1,777
CHP2_KDR_1.1,2476
CHP2_FBXW7_5.1,3229
CHP2_FBXW7_4.1,3523
CHP2_FBXW7_3.1,2784
CHP2_FBXW7_2.1,3381
CHP2_FBXW7_1.1,2482
CHP2_APC_1.1,3174
CHP2_APC_2.1,3420
CHP2_APC_3.1,3085
CHP2_APC_4.1,3769
CHP2_APC_5.1,1460
CHP2_APC_6.1,4713
CHP2_APC_7.1,1632
CHP2_CSF1R_2.1,758
CHP2_CSF1R_1.1,2032
CHP2_NPM1_1.1,3137
CHP2_EGFR_1.1,2192
CHP2_EGFR_2.1,1864
CHP2_EGFR_3.1,4954
CHP2_EGFR_4.1,956
CHP2_EGFR_5.1,1933
CHP2_EGFR_6.1,1159
CHP2_EGFR_7.1,1936
CHP2_EGFR_8.1,2144
CHP2_MET_1.1,3319
CHP2_MET_2.1,1928
CHP2_MET_3.1,1894
CHP2_MET_4.1,2627
CHP2_MET_5.1,2569
CHP2_MET_6.1,1934
CHP2_SMO_1.1,2733
CHP2_SMO_2.1,1219
CHP2_SMO_3.1,1498
CHP2_SMO_4.1,1472
CHP2_SMO_5.1,2174
CHP2_BRAF_2.1,2906
