Region,Coverage
CHP2_MPL_1.1,790
CHP2_NRAS_3.1,2668
CHP2_NRAS_2.1,1505
CHP2_NRAS_1.1,2433
CHP2_ALK_2.1,643
CHP2_ALK_1.1,1414
CHP2_IDH1_1.1,3029
CHP2_ERBB4_8.1,2760
CHP2_ERBB4_7.1,767
CHP2_ERBB4_6.1,4820
CHP2_ERBB4_5.1,3363
CHP2_ERBB4_4.1,2524
CHP2_ERBB4_3.1,717
CHP2_ERBB4_2.1,3894
CHP2_ERBB4_1.1,2963
CHP2_VHL_1.1,439
CHP2_VHL_2.1,2234
CHP2_VHL_3.1,2849
CHP2_MLH1_1.1,2850
CHP2_CTNNB1_1.1,1027
CHP2_PIK3CA_1.1,2105
CHP2_PIK3CA_2.1,1527
CHP2_PIK3CA_3.1,2487
CHP2_PIK3CA_4.1,1531
CHP2_PIK3CA_5.1,1478
CHP2_PIK3CA_6.1,1420
CHP2_PIK3CA_7.1,3243
CHP2_PIK3CA_8.1,1660
CHP2_PIK3CA_9.1,4206
CHP2_PIK3CA_10.1,2151
CHP2_PIK3CA_11.1,2591
CHP2_FGFR3_1.1,869
CHP2_FGFR3_2.1,444
CHP2_FGFR3_3.1,1456
CHP2_FGFR3_4.1,2679
CHP2_FGFR3_5.1,2111
CHP2_PDGFRA_1.1,1897
CHP2_PDGFRA_2.1,4216
CHP2_PDGFRA_3.1,2612
CHP2_PDGFRA_4.1,2634
CHP2_KIT_1.1,3022
CHP2_KIT_2.1,3527
CHP2_KIT_3.1,2888
CHP2_KIT_4.1,4127
CHP2_KIT_5.1,2253
CHP2_KIT_6.1,4604
CHP2_KIT_7.1,2834
CHP2_KIT_8.1,3830
CHP2_KIT_9.1,4595
CHP2_KDR_9.1,1220
CHP2_KDR_8.1,3619
CHP2_KDR_7.1,3677
CHP2_KDR_6.1,5100
CHP2_KDR_5.1,5423
CHP2_KDR_4.1,3216
CHP2_KDR_3.1,2225
CHP2_KDR_2.1,901
CHP2_KDR_1.1,2724
CHP2_FBXW7_5.1,3504
CHP2_FBXW7_4.1,3455
CHP2_FBXW7_3.1,3157
CHP2_FBXW7_2.1,3949
CHP2_FBXW7_1.1,2834
CHP2_APC_1.1,3465
CHP2_APC_2.1,3806
CHP2_APC_3.1,3376
CHP2_APC_4.1,3822
CHP2_APC_5.1,1571
CHP2_APC_6.1,4766
CHP2_APC_7.1,2109
CHP2_CSF1R_2.1,792
CHP2_CSF1R_1.1,2072
CHP2_NPM1_1.1,3231
CHP2_EGFR_1.1,2409
CHP2_EGFR_2.1,2049
CHP2_EGFR_3.1,4732
CHP2_EGFR_4.1,988
CHP2_EGFR_5.1,2077
CHP2_EGFR_6.1,1303
CHP2_EGFR_7.1,2082
CHP2_EGFR_8.1,2252
CHP2_MET_1.1,3339
CHP2_MET_2.1,2114
CHP2_MET_3.1,1940
CHP2_MET_4.1,2736
CHP2_MET_5.1,2798
CHP2_MET_6.1,2120
CHP2_SMO_1.1,2810
CHP2_SMO_2.1,1286
CHP2_SMO_3.1,1581
CHP2_SMO_4.1,1517
CHP2_SMO_5.1,2089
CHP2_BRAF_2.1,3012
CHP2_BRAF_1.1,3464
CHP2_EZH2_1.1,2995
CHP2_FGFR1_2.1,2081
CHP2_FGFR1_1.1,1461
CHP2_JAK2_1.1,2491
CHP2_CDKN2A_2.1,782
CHP2_CDKN2A_1.1,1087
CHP2_GNAQ_1.1,2164
CHP2_ABL1_1.1,4680
CHP2_ABL1_2.1,3786
CHP2_ABL1_3.1,2128
CHP2_ABL1_4.1,1596
CHP2_NOTCH1_3.1,811
CHP2_NOTCH1_2.1,2412
CHP2_NOTCH1_1.1,415
CHP2_RET_1.1,2596
CHP2_RET_2.1,946
CHP2_RET_3.1,2358
CHP2_RET_4.1,1358
CHP2_RET_5.1,2935
CHP2_PTEN_1.1,1546
CHP2_PTEN_2.1,4864
CHP2_PTEN_3.1,2933
CHP2_PTEN_4.1,2561
CHP2_PTEN_5.1,3681
CHP2_PTEN_6.1,3473
CHP2_PTEN_7.1,7596
CHP2_PTEN_8.1,3708
CHP2_FGFR2_4.1,4040
CHP2_FGFR2_3.1,1183
CHP2_FGFR2_2.1,3390
CHP2_FGFR2_1.1,2390
CHP2_HRAS_2.1,605
CHP2_HRAS_1.1,698
CHP2_ATM_1.1,2470
CHP2_ATM_2.1,3971
CHP2_ATM_3.1,3352
CHP2_ATM_4.1,2439
CHP2_ATM_5.1,2753
CHP2_ATM_6.1,2102
CHP2_ATM_7.1,3883
CHP2_ATM_8.1,4166
CHP2_ATM_9.1,1896
CHP2_ATM_10.1,2481
CHP2_ATM_11.1,3935
CHP2_ATM_12.1,3918
CHP2_ATM_13.1,3446
CHP2_ATM_14.1,2144
CHP2_ATM_15.1,2423
CHP2_ATM_16.1,1739
CHP2_ATM_17.1,1069
CHP2_KRAS_3.1,3584
CHP2_KRAS_2.1,3315
CHP2_KRAS_1.1,2718
CHP2_PTPN11_1.1,3688
CHP2_PTPN11_2.1,3110
CHP2_HNF1A_1.1,1966
CHP2_HNF1A_2.1,3611
CHP2_FLT3_4.1,4900
CHP2_FLT3_3.1,5415
CHP2_FLT3_2.1,4829
CHP2_FLT3_1.1,7188
CHP2_RB1_1.1,5660
CHP2_RB1_2.1,4789
CHP2_RB1_3.1,4207
CHP2_RB1_4.1,2991
CHP2_RB1_5.1,4497
CHP2_RB1_6.1,7232
