Region,Coverage
CHP2_MPL_1.1,444
CHP2_NRAS_3.1,1717
CHP2_NRAS_2.1,992
CHP2_NRAS_1.1,1453
CHP2_ALK_2.1,441
CHP2_ALK_1.1,807
CHP2_IDH1_1.1,1979
CHP2_ERBB4_8.1,1644
CHP2_ERBB4_7.1,414
CHP2_ERBB4_6.1,2742
CHP2_ERBB4_5.1,2191
CHP2_ERBB4_4.1,1600
CHP2_ERBB4_3.1,462
CHP2_ERBB4_2.1,2183
CHP2_ERBB4_1.1,1680
CHP2_VHL_1.1,243
CHP2_VHL_2.1,1341
CHP2_VHL_3.1,1632
CHP2_MLH1_1.1,1723
CHP2_CTNNB1_1.1,620
CHP2_PIK3CA_1.1,1303
CHP2_PIK3CA_2.1,895
CHP2_PIK3CA_3.1,1716
CHP2_PIK3CA_4.1,904
CHP2_PIK3CA_5.1,1040
CHP2_PIK3CA_6.1,714
CHP2_PIK3CA_7.1,1887
CHP2_PIK3CA_8.1,966
CHP2_PIK3CA_9.1,2617
CHP2_PIK3CA_10.1,1326
CHP2_PIK3CA_11.1,1549
CHP2_FGFR3_1.1,569
CHP2_FGFR3_2.1,272
CHP2_FGFR3_3.1,968
CHP2_FGFR3_4.1,1544
CHP2_FGFR3_5.1,1261
CHP2_PDGFRA_1.1,1147
CHP2_PDGFRA_2.1,2501
CHP2_PDGFRA_3.1,1442
CHP2_PDGFRA_4.1,1561
CHP2_KIT_1.1,2270
CHP2_KIT_2.1,2207
CHP2_KIT_3.1,1861
CHP2_KIT_4.1,2526
CHP2_KIT_5.1,1368
CHP2_KIT_6.1,2757
CHP2_KIT_7.1,1785
CHP2_KIT_8.1,2139
CHP2_KIT_9.1,2879
CHP2_KDR_9.1,565
CHP2_KDR_8.1,2604
CHP2_KDR_7.1,2104
CHP2_KDR_6.1,3054
CHP2_KDR_5.1,3213
CHP2_KDR_4.1,1827
CHP2_KDR_3.1,1205
CHP2_KDR_2.1,495
CHP2_KDR_1.1,1459
CHP2_FBXW7_5.1,2102
CHP2_FBXW7_4.1,2362
CHP2_FBXW7_3.1,1752
CHP2_FBXW7_2.1,2365
CHP2_FBXW7_1.1,1578
CHP2_APC_1.1,2085
CHP2_APC_2.1,2291
CHP2_APC_3.1,1918
CHP2_APC_4.1,2170
CHP2_APC_5.1,1325
CHP2_APC_6.1,2998
CHP2_APC_7.1,1298
CHP2_CSF1R_2.1,532
CHP2_CSF1R_1.1,1254
CHP2_NPM1_1.1,2160
CHP2_EGFR_1.1,1311
CHP2_EGFR_2.1,1267
CHP2_EGFR_3.1,2745
CHP2_EGFR_4.1,633
CHP2_EGFR_5.1,1257
CHP2_EGFR_6.1,935
CHP2_EGFR_7.1,1316
CHP2_EGFR_8.1,1719
CHP2_MET_1.1,2144
CHP2_MET_2.1,1180
CHP2_MET_3.1,1135
CHP2_MET_4.1,1557
CHP2_MET_5.1,1741
CHP2_MET_6.1,1210
CHP2_SMO_1.1,1790
CHP2_SMO_2.1,736
CHP2_SMO_3.1,997
CHP2_SMO_4.1,852
CHP2_SMO_5.1,1260
CHP2_BRAF_2.1,1771
CHP2_BRAF_1.1,2043
CHP2_EZH2_1.1,1931
CHP2_FGFR1_2.1,1362
CHP2_FGFR1_1.1,1026
CHP2_JAK2_1.1,1553
CHP2_CDKN2A_2.1,488
CHP2_CDKN2A_1.1,712
CHP2_GNAQ_1.1,1388
CHP2_ABL1_1.1,3030
CHP2_ABL1_2.1,2266
CHP2_ABL1_3.1,1298
CHP2_ABL1_4.1,958
CHP2_NOTCH1_3.1,511
CHP2_NOTCH1_2.1,1446
CHP2_NOTCH1_1.1,313
CHP2_RET_1.1,1575
CHP2_RET_2.1,648
CHP2_RET_3.1,1510
CHP2_RET_4.1,934
CHP2_RET_5.1,1674
CHP2_PTEN_1.1,893
CHP2_PTEN_2.1,2770
CHP2_PTEN_3.1,1727
CHP2_PTEN_4.1,1566
CHP2_PTEN_5.1,2140
CHP2_PTEN_6.1,2005
CHP2_PTEN_7.1,4520
CHP2_PTEN_8.1,2150
CHP2_FGFR2_4.1,2386
CHP2_FGFR2_3.1,729
CHP2_FGFR2_2.1,2058
CHP2_FGFR2_1.1,1601
CHP2_HRAS_2.1,369
CHP2_HRAS_1.1,361
CHP2_ATM_1.1,1508
CHP2_ATM_2.1,2232
CHP2_ATM_3.1,2074
CHP2_ATM_4.1,1441
CHP2_ATM_5.1,1615
CHP2_ATM_6.1,1299
CHP2_ATM_7.1,2161
CHP2_ATM_8.1,2439
CHP2_ATM_9.1,1123
CHP2_ATM_10.1,1488
CHP2_ATM_11.1,2449
CHP2_ATM_12.1,2389
CHP2_ATM_13.1,2123
CHP2_ATM_14.1,1360
CHP2_ATM_15.1,1441
CHP2_ATM_16.1,1020
CHP2_ATM_17.1,604
CHP2_KRAS_3.1,2142
CHP2_KRAS_2.1,2141
CHP2_KRAS_1.1,1743
CHP2_PTPN11_1.1,2093
CHP2_PTPN11_2.1,1901
CHP2_HNF1A_1.1,1406
CHP2_HNF1A_2.1,2214
CHP2_FLT3_4.1,2917
