Region,Coverage
CHP2_MPL_1.1,757
CHP2_NRAS_3.1,2821
CHP2_NRAS_2.1,1427
CHP2_NRAS_1.1,2971
CHP2_ALK_2.1,768
CHP2_ALK_1.1,1521
CHP2_IDH1_1.1,2954
CHP2_ERBB4_8.1,2717
CHP2_ERBB4_7.1,413
CHP2_ERBB4_6.1,6341
CHP2_ERBB4_5.1,2962
CHP2_ERBB4_4.1,2739
CHP2_ERBB4_3.1,561
CHP2_ERBB4_2.1,4160
CHP2_ERBB4_1.1,3481
CHP2_VHL_1.1,276
CHP2_VHL_2.1,2959
CHP2_VHL_3.1,4187
CHP2_MLH1_1.1,4483
CHP2_CTNNB1_1.1,828
CHP2_PIK3CA_1.1,3168
CHP2_PIK3CA_2.1,1844
CHP2_PIK3CA_3.1,3892
CHP2_PIK3CA_4.1,1549
CHP2_PIK3CA_5.1,1528
CHP2_PIK3CA_6.1,1316
CHP2_PIK3CA_7.1,4746
CHP2_PIK3CA_8.1,2311
CHP2_PIK3CA_9.1,6969
CHP2_PIK3CA_10.1,2963
CHP2_PIK3CA_11.1,2964
CHP2_FGFR3_1.1,482
CHP2_FGFR3_2.1,252
CHP2_FGFR3_3.1,1061
CHP2_FGFR3_4.1,1969
CHP2_FGFR3_5.1,1771
CHP2_PDGFRA_1.1,1579
CHP2_PDGFRA_2.1,4012
CHP2_PDGFRA_3.1,1755
CHP2_PDGFRA_4.1,3234
CHP2_KIT_1.1,3548
CHP2_KIT_2.1,2661
CHP2_KIT_3.1,1870
CHP2_KIT_4.1,3832
CHP2_KIT_5.1,2005
CHP2_KIT_6.1,4670
CHP2_KIT_7.1,1707
CHP2_KIT_8.1,3689
CHP2_KIT_9.1,4080
CHP2_KDR_9.1,1115
CHP2_KDR_8.1,4121
CHP2_KDR_7.1,3423
CHP2_KDR_6.1,4797
CHP2_KDR_5.1,6002
CHP2_KDR_4.1,2467
CHP2_KDR_3.1,1494
CHP2_KDR_2.1,951
CHP2_KDR_1.1,1839
CHP2_FBXW7_5.1,3163
CHP2_FBXW7_4.1,2394
CHP2_FBXW7_3.1,2620
CHP2_FBXW7_2.1,3185
CHP2_FBXW7_1.1,2148
CHP2_APC_1.1,2505
CHP2_APC_2.1,2968
CHP2_APC_3.1,3181
CHP2_APC_4.1,4618
CHP2_APC_5.1,1251
CHP2_APC_6.1,4261
CHP2_APC_7.1,942
CHP2_CSF1R_2.1,557
CHP2_CSF1R_1.1,1966
CHP2_NPM1_1.1,2361
CHP2_EGFR_1.1,2648
CHP2_EGFR_2.1,2474
CHP2_EGFR_3.1,7956
CHP2_EGFR_4.1,980
CHP2_EGFR_5.1,2949
CHP2_EGFR_6.1,1536
CHP2_EGFR_7.1,2502
CHP2_EGFR_8.1,3226
CHP2_MET_1.1,5273
CHP2_MET_2.1,3493
CHP2_MET_3.1,1761
CHP2_MET_4.1,3753
CHP2_MET_5.1,3782
CHP2_MET_6.1,1904
CHP2_SMO_1.1,3285
CHP2_SMO_2.1,1123
CHP2_SMO_3.1,1558
CHP2_SMO_4.1,1471
CHP2_SMO_5.1,2375
CHP2_BRAF_2.1,3376
CHP2_BRAF_1.1,3176
CHP2_EZH2_1.1,3334
CHP2_FGFR1_2.1,2037
CHP2_FGFR1_1.1,1312
CHP2_JAK2_1.1,1557
CHP2_CDKN2A_2.1,364
CHP2_CDKN2A_1.1,822
CHP2_GNAQ_1.1,1546
CHP2_ABL1_1.1,5466
CHP2_ABL1_2.1,4232
CHP2_ABL1_3.1,2969
CHP2_ABL1_4.1,1453
CHP2_NOTCH1_3.1,576
CHP2_NOTCH1_2.1,2325
CHP2_NOTCH1_1.1,244
CHP2_RET_1.1,2368
CHP2_RET_2.1,501
CHP2_RET_3.1,1941
CHP2_RET_4.1,1130
CHP2_RET_5.1,2716
CHP2_PTEN_1.1,1223
CHP2_PTEN_2.1,4597
CHP2_PTEN_3.1,2411
CHP2_PTEN_4.1,2508
CHP2_PTEN_5.1,3672
CHP2_PTEN_6.1,3166
CHP2_PTEN_7.1,8092
CHP2_PTEN_8.1,3336
CHP2_FGFR2_4.1,2827
CHP2_FGFR2_3.1,1359
CHP2_FGFR2_2.1,3108
CHP2_FGFR2_1.1,1962
CHP2_HRAS_2.1,428
CHP2_HRAS_1.1,516
CHP2_ATM_1.1,5053
CHP2_ATM_2.1,6998
CHP2_ATM_3.1,7204
CHP2_ATM_4.1,4171
CHP2_ATM_5.1,4353
CHP2_ATM_6.1,3983
CHP2_ATM_7.1,7685
CHP2_ATM_8.1,8704
CHP2_ATM_9.1,2693
CHP2_ATM_10.1,4358
CHP2_ATM_11.1,7330
CHP2_ATM_12.1,7579
CHP2_ATM_13.1,6901
CHP2_ATM_14.1,3646
CHP2_ATM_15.1,3604
CHP2_ATM_16.1,2063
CHP2_ATM_17.1,1127
CHP2_KRAS_3.1,4180
CHP2_KRAS_2.1,3479
CHP2_KRAS_1.1,3207
CHP2_PTPN11_1.1,3806
CHP2_PTPN11_2.1,4741
CHP2_HNF1A_1.1,2357
CHP2_HNF1A_2.1,4445
CHP2_FLT3_4.1,2680
CHP2_FLT3_3.1,3705
CHP2_FLT3_2.1,2415
CHP2_FLT3_1.1,4752
CHP2_RB1_1.1,3602
CHP2_RB1_2.1,2399
CHP2_RB1_3.1,2086
CHP2_RB1_4.1,1391
CHP2_RB1_5.1,2601
CHP2_RB1_6.1,4606
CHP2_RB1_7.1,2549
CHP2_RB1_8.1,2825
CHP2_RB1_9.1,4209
CHP2_RB1_10.1,1918
CHP2_AKT1_2.1,1307
CHP2_AKT1_1.1,706
CHP2_IDH2_1.1,2539
CHP2_CDH1_1.1,3989
CHP2_CDH1_2.1,3256
CHP2_CDH1_3.1,5017
CHP2_TP53_8.1,1993
CHP2_TP53_7.1,1673
CHP2_TP53_6.1,3685
CHP2_TP53_5.1,1749
CHP2_TP53_4.1,2774
CHP2_TP53_3.1,2042
CHP2_TP53_2.1,1037
CHP2_TP53_1.1,3580
CHP2_ERBB2_1.1,4039
CHP2_ERBB2_2.1,2177
CHP2_ERBB2_3.1,1418
CHP2_SMAD4_1.1,2258
CHP2_SMAD4_2.1,1556
CHP2_SMAD4_3.1,1682
CHP2_SMAD4_4.1,2702
CHP2_SMAD4_5.1,2373
CHP2_SMAD4_6.1,2782
CHP2_SMAD4_7.1,1431
CHP2_SMAD4_8.1,4090
CHP2_SMAD4_9.1,1533
CHP2_STK11_1.1,2527
CHP2_STK11_2.1,352
