Region,Coverage
CHP2_MPL_1.1,833
CHP2_NRAS_3.1,2940
CHP2_NRAS_2.1,1503
CHP2_NRAS_1.1,2805
CHP2_ALK_2.1,860
CHP2_ALK_1.1,1850
CHP2_IDH1_1.1,3018
CHP2_ERBB4_8.1,2737
CHP2_ERBB4_7.1,517
CHP2_ERBB4_6.1,5370
CHP2_ERBB4_5.1,2965
CHP2_ERBB4_4.1,2667
CHP2_ERBB4_3.1,752
CHP2_ERBB4_2.1,4363
CHP2_ERBB4_1.1,3109
CHP2_VHL_1.1,355
CHP2_VHL_2.1,2938
CHP2_VHL_3.1,3889
CHP2_MLH1_1.1,3794
CHP2_CTNNB1_1.1,867
CHP2_PIK3CA_1.1,3063
CHP2_PIK3CA_2.1,1892
CHP2_PIK3CA_3.1,3922
CHP2_PIK3CA_4.1,1808
CHP2_PIK3CA_5.1,1494
CHP2_PIK3CA_6.1,1594
CHP2_PIK3CA_7.1,4330
CHP2_PIK3CA_8.1,2320
CHP2_PIK3CA_9.1,6735
CHP2_PIK3CA_10.1,3080
CHP2_PIK3CA_11.1,3012
CHP2_FGFR3_1.1,521
CHP2_FGFR3_2.1,273
CHP2_FGFR3_3.1,1124
CHP2_FGFR3_4.1,1981
CHP2_FGFR3_5.1,1724
CHP2_PDGFRA_1.1,1635
CHP2_PDGFRA_2.1,3780
CHP2_PDGFRA_3.1,1779
CHP2_PDGFRA_4.1,3014
CHP2_KIT_1.1,3329
CHP2_KIT_2.1,2887
CHP2_KIT_3.1,1977
CHP2_KIT_4.1,3588
CHP2_KIT_5.1,1932
CHP2_KIT_6.1,4322
CHP2_KIT_7.1,2085
CHP2_KIT_8.1,3723
CHP2_KIT_9.1,4130
CHP2_KDR_9.1,1118
CHP2_KDR_8.1,4209
CHP2_KDR_7.1,3368
CHP2_KDR_6.1,4272
CHP2_KDR_5.1,6056
CHP2_KDR_4.1,2334
CHP2_KDR_3.1,1465
CHP2_KDR_2.1,1039
CHP2_KDR_1.1,1712
CHP2_FBXW7_5.1,3161
CHP2_FBXW7_4.1,2576
CHP2_FBXW7_3.1,2328
CHP2_FBXW7_2.1,3266
CHP2_FBXW7_1.1,2182
CHP2_APC_1.1,2777
CHP2_APC_2.1,2912
CHP2_APC_3.1,3314
CHP2_APC_4.1,4376
CHP2_APC_5.1,1603
CHP2_APC_6.1,3914
CHP2_APC_7.1,1165
CHP2_CSF1R_2.1,610
CHP2_CSF1R_1.1,2313
CHP2_NPM1_1.1,2629
CHP2_EGFR_1.1,2691
CHP2_EGFR_2.1,2642
CHP2_EGFR_3.1,7257
CHP2_EGFR_4.1,1108
CHP2_EGFR_5.1,3089
CHP2_EGFR_6.1,1831
CHP2_EGFR_7.1,2798
CHP2_EGFR_8.1,3073
CHP2_MET_1.1,5089
CHP2_MET_2.1,3074
CHP2_MET_3.1,1836
CHP2_MET_4.1,3480
CHP2_MET_5.1,3344
CHP2_MET_6.1,2126
CHP2_SMO_1.1,3313
CHP2_SMO_2.1,1385
CHP2_SMO_3.1,1725
CHP2_SMO_4.1,1528
CHP2_SMO_5.1,2348
CHP2_BRAF_2.1,3044
CHP2_BRAF_1.1,3431
CHP2_EZH2_1.1,3172
CHP2_FGFR1_2.1,2137
CHP2_FGFR1_1.1,1342
CHP2_JAK2_1.1,1684
CHP2_CDKN2A_2.1,399
CHP2_CDKN2A_1.1,790
CHP2_GNAQ_1.1,1644
CHP2_ABL1_1.1,5052
CHP2_ABL1_2.1,3956
CHP2_ABL1_3.1,2704
CHP2_ABL1_4.1,1413
CHP2_NOTCH1_3.1,629
CHP2_NOTCH1_2.1,2154
CHP2_NOTCH1_1.1,394
CHP2_RET_1.1,2234
CHP2_RET_2.1,740
CHP2_RET_3.1,2127
CHP2_RET_4.1,1189
CHP2_RET_5.1,2937
CHP2_PTEN_1.1,1241
