Region,Coverage
CHP2_MPL_1.1,816
CHP2_NRAS_3.1,2716
CHP2_NRAS_2.1,1394
CHP2_NRAS_1.1,2867
CHP2_ALK_2.1,835
CHP2_ALK_1.1,1877
CHP2_IDH1_1.1,2950
CHP2_ERBB4_8.1,2808
CHP2_ERBB4_7.1,515
CHP2_ERBB4_6.1,5439
CHP2_ERBB4_5.1,2988
CHP2_ERBB4_4.1,2697
CHP2_ERBB4_3.1,600
CHP2_ERBB4_2.1,4233
CHP2_ERBB4_1.1,3372
CHP2_VHL_1.1,375
CHP2_VHL_2.1,3000
CHP2_VHL_3.1,3965
CHP2_MLH1_1.1,3950
CHP2_CTNNB1_1.1,853
CHP2_PIK3CA_1.1,3146
CHP2_PIK3CA_2.1,1888
CHP2_PIK3CA_3.1,4122
CHP2_PIK3CA_4.1,1902
CHP2_PIK3CA_5.1,1714
CHP2_PIK3CA_6.1,1603
CHP2_PIK3CA_7.1,4772
CHP2_PIK3CA_8.1,2323
CHP2_PIK3CA_9.1,6746
CHP2_PIK3CA_10.1,3011
CHP2_PIK3CA_11.1,2925
CHP2_FGFR3_1.1,521
CHP2_FGFR3_2.1,272
CHP2_FGFR3_3.1,1116
CHP2_FGFR3_4.1,1886
CHP2_FGFR3_5.1,1707
CHP2_PDGFRA_1.1,1767
CHP2_PDGFRA_2.1,3888
CHP2_PDGFRA_3.1,1837
CHP2_PDGFRA_4.1,3207
CHP2_KIT_1.1,3538
CHP2_KIT_2.1,2733
CHP2_KIT_3.1,1933
CHP2_KIT_4.1,3589
CHP2_KIT_5.1,2098
CHP2_KIT_6.1,4468
CHP2_KIT_7.1,1970
CHP2_KIT_8.1,3874
CHP2_KIT_9.1,4224
CHP2_KDR_9.1,1119
CHP2_KDR_8.1,3985
CHP2_KDR_7.1,3372
CHP2_KDR_6.1,4369
CHP2_KDR_5.1,6407
CHP2_KDR_4.1,2390
CHP2_KDR_3.1,1419
CHP2_KDR_2.1,939
CHP2_KDR_1.1,1855
CHP2_FBXW7_5.1,3139
CHP2_FBXW7_4.1,2499
CHP2_FBXW7_3.1,2418
CHP2_FBXW7_2.1,3306
CHP2_FBXW7_1.1,2179
CHP2_APC_1.1,2668
CHP2_APC_2.1,2839
CHP2_APC_3.1,3336
CHP2_APC_4.1,4526
CHP2_APC_5.1,1244
CHP2_APC_6.1,4375
CHP2_APC_7.1,1190
CHP2_CSF1R_2.1,620
CHP2_CSF1R_1.1,2112
CHP2_NPM1_1.1,2564
CHP2_EGFR_1.1,2714
CHP2_EGFR_2.1,2708
CHP2_EGFR_3.1,7668
CHP2_EGFR_4.1,1150
CHP2_EGFR_5.1,3083
CHP2_EGFR_6.1,1889
CHP2_EGFR_7.1,2595
CHP2_EGFR_8.1,3239
CHP2_MET_1.1,5263
CHP2_MET_2.1,3107
CHP2_MET_3.1,1992
CHP2_MET_4.1,3416
CHP2_MET_5.1,3423
CHP2_MET_6.1,1963
CHP2_SMO_1.1,3323
CHP2_SMO_2.1,1206
CHP2_SMO_3.1,1582
CHP2_SMO_4.1,1490
CHP2_SMO_5.1,2353
CHP2_BRAF_2.1,3258
CHP2_BRAF_1.1,3377
CHP2_EZH2_1.1,3393
CHP2_FGFR1_2.1,2252
CHP2_FGFR1_1.1,1278
CHP2_JAK2_1.1,1606
CHP2_CDKN2A_2.1,394
CHP2_CDKN2A_1.1,796
CHP2_GNAQ_1.1,1641
CHP2_ABL1_1.1,5733
CHP2_ABL1_2.1,4323
CHP2_ABL1_3.1,2628
CHP2_ABL1_4.1,1603
CHP2_NOTCH1_3.1,703
