Region,Coverage
CHP2_MPL_1.1,648
CHP2_NRAS_3.1,4841
CHP2_NRAS_2.1,1855
CHP2_NRAS_1.1,4170
CHP2_ALK_2.1,678
CHP2_ALK_1.1,1024
CHP2_IDH1_1.1,2612
CHP2_ERBB4_8.1,2857
CHP2_ERBB4_7.1,287
CHP2_ERBB4_6.1,2424
CHP2_ERBB4_5.1,594
CHP2_ERBB4_4.1,1811
CHP2_ERBB4_3.1,707
CHP2_ERBB4_2.1,3222
CHP2_ERBB4_1.1,1872
CHP2_VHL_1.1,673
CHP2_VHL_2.1,78
CHP2_VHL_3.1,2870
CHP2_MLH1_1.1,946
CHP2_CTNNB1_1.1,760
CHP2_PIK3CA_1.1,1574
CHP2_PIK3CA_2.1,1048
CHP2_PIK3CA_3.1,1898
CHP2_PIK3CA_4.1,477
CHP2_PIK3CA_5.1,787
CHP2_PIK3CA_6.1,1368
CHP2_PIK3CA_7.1,3823
CHP2_PIK3CA_8.1,457
CHP2_PIK3CA_9.1,7000
CHP2_PIK3CA_10.1,1733
CHP2_PIK3CA_11.1,2668
CHP2_FGFR3_1.1,901
CHP2_FGFR3_2.1,823
CHP2_FGFR3_3.1,2004
CHP2_FGFR3_4.1,131
CHP2_FGFR3_5.1,1754
CHP2_PDGFRA_1.1,923
CHP2_PDGFRA_2.1,4515
CHP2_PDGFRA_3.1,1324
CHP2_PDGFRA_4.1,1051
CHP2_KIT_1.1,59
CHP2_KIT_2.1,2421
CHP2_KIT_3.1,2628
CHP2_KIT_4.1,1535
CHP2_KIT_5.1,1368
CHP2_KIT_6.1,4647
CHP2_KIT_7.1,3090
CHP2_KIT_8.1,3723
CHP2_KIT_9.1,2851
CHP2_KDR_9.1,598
CHP2_KDR_8.1,1477
CHP2_KDR_7.1,4761
CHP2_KDR_6.1,5405
CHP2_KDR_5.1,8445
CHP2_KDR_4.1,2083
CHP2_KDR_3.1,738
CHP2_KDR_2.1,1344
CHP2_KDR_1.1,1059
CHP2_FBXW7_5.1,4268
CHP2_FBXW7_4.1,3564
CHP2_FBXW7_3.1,1059
CHP2_FBXW7_2.1,4073
CHP2_FBXW7_1.1,862
CHP2_APC_1.1,3974
CHP2_APC_2.1,1962
CHP2_APC_3.1,1052
CHP2_APC_4.1,820
CHP2_APC_5.1,389
CHP2_APC_6.1,1648
CHP2_APC_7.1,530
CHP2_CSF1R_2.1,1185
CHP2_CSF1R_1.1,2844
CHP2_NPM1_1.1,1211
CHP2_EGFR_1.1,2132
CHP2_EGFR_2.1,763
CHP2_EGFR_3.1,7200
CHP2_EGFR_4.1,1056
CHP2_EGFR_5.1,1082
CHP2_EGFR_6.1,799
CHP2_EGFR_7.1,1645
CHP2_EGFR_8.1,1085
CHP2_MET_1.1,468
CHP2_MET_2.1,3038
CHP2_MET_3.1,3516
CHP2_MET_4.1,7624
CHP2_MET_5.1,7162
CHP2_MET_6.1,7242
CHP2_SMO_1.1,62
CHP2_SMO_2.1,1149
CHP2_SMO_3.1,2763
CHP2_SMO_4.1,1895
CHP2_SMO_5.1,1957
CHP2_BRAF_2.1,987
CHP2_BRAF_1.1,1248
CHP2_EZH2_1.1,3945
CHP2_FGFR1_2.1,2203
CHP2_FGFR1_1.1,684
CHP2_JAK2_1.1,840
CHP2_CDKN2A_2.1,421
CHP2_CDKN2A_1.1,488
CHP2_GNAQ_1.1,1091
CHP2_ABL1_1.1,3397
CHP2_ABL1_2.1,3901
CHP2_ABL1_3.1,555
CHP2_ABL1_4.1,2055
CHP2_NOTCH1_3.1,516
CHP2_NOTCH1_2.1,2050
CHP2_NOTCH1_1.1,764
CHP2_RET_1.1,2448
CHP2_RET_2.1,514
CHP2_RET_3.1,2254
CHP2_RET_4.1,537
CHP2_RET_5.1,1168
CHP2_PTEN_1.1,1335
CHP2_PTEN_2.1,1255
CHP2_PTEN_3.1,1341
CHP2_PTEN_4.1,661
CHP2_PTEN_5.1,1271
CHP2_PTEN_6.1,1423
CHP2_PTEN_7.1,7509
CHP2_PTEN_8.1,1164
CHP2_FGFR2_4.1,3263
CHP2_FGFR2_3.1,477
CHP2_FGFR2_2.1,1259
CHP2_FGFR2_1.1,1994
CHP2_HRAS_2.1,727
CHP2_HRAS_1.1,862
CHP2_ATM_1.1,1965
CHP2_ATM_2.1,4669
CHP2_ATM_3.1,2700
CHP2_ATM_4.1,3291
CHP2_ATM_5.1,2084
CHP2_ATM_6.1,2152
CHP2_ATM_7.1,2594
CHP2_ATM_8.1,5437
CHP2_ATM_9.1,3362
CHP2_ATM_10.1,3344
CHP2_ATM_11.1,5228
CHP2_ATM_12.1,3703
CHP2_ATM_13.1,1887
CHP2_ATM_14.1,842
CHP2_ATM_15.1,2946
CHP2_ATM_16.1,1587
CHP2_ATM_17.1,1193
CHP2_KRAS_3.1,1877
CHP2_KRAS_2.1,3217
CHP2_KRAS_1.1,1364
CHP2_PTPN11_1.1,2346
CHP2_PTPN11_2.1,224
CHP2_HNF1A_1.1,3542
CHP2_HNF1A_2.1,5695
CHP2_FLT3_4.1,2767
CHP2_FLT3_3.1,3498
CHP2_FLT3_2.1,949
CHP2_FLT3_1.1,3960
CHP2_RB1_1.1,2748
CHP2_RB1_2.1,1125
CHP2_RB1_3.1,627
CHP2_RB1_4.1,739
CHP2_RB1_5.1,1067
CHP2_RB1_6.1,4449
CHP2_RB1_7.1,3750
CHP2_RB1_8.1,2010
CHP2_RB1_9.1,3157
CHP2_RB1_10.1,2890
CHP2_AKT1_2.1,3423
CHP2_AKT1_1.1,478
CHP2_IDH2_1.1,1029
CHP2_CDH1_1.1,3019
CHP2_CDH1_2.1,1132
CHP2_CDH1_3.1,3231
CHP2_TP53_8.1,2435
CHP2_TP53_7.1,552
CHP2_TP53_6.1,4480
CHP2_TP53_5.1,1158
CHP2_TP53_4.1,1127
CHP2_TP53_3.1,4063
CHP2_TP53_2.1,590
CHP2_TP53_1.1,2765
CHP2_ERBB2_1.1,6864
CHP2_ERBB2_2.1,9510
CHP2_ERBB2_3.1,3077
CHP2_SMAD4_1.1,1373
CHP2_SMAD4_2.1,735
CHP2_SMAD4_3.1,1381
CHP2_SMAD4_4.1,904
CHP2_SMAD4_5.1,1644
CHP2_SMAD4_6.1,1527
CHP2_SMAD4_7.1,880
CHP2_SMAD4_8.1,4426
CHP2_SMAD4_9.1,961
CHP2_STK11_1.1,2178
CHP2_STK11_2.1,333
CHP2_STK11_3.1,861
CHP2_STK11_4.1,3701
CHP2_STK11_5.1,1057
CHP2_GNA11_1.1,3509
CHP2_JAK3_3.1,1558
CHP2_JAK3_2.1,2533
CHP2_JAK3_1.1,4268
CHP2_SRC_1.1,4410
CHP2_GNAS_1.1,929
CHP2_GNAS_2.1,1877
CHP2_SMARCB1_1.1,1538
CHP2_SMARCB1_2.1,649
CHP2_SMARCB1_3.1,1946
CHP2_SMARCB1_4.1,538
