Region,Coverage
CHP2_MPL_1.1,421
CHP2_NRAS_3.1,3340
CHP2_NRAS_2.1,1273
CHP2_NRAS_1.1,2848
CHP2_ALK_2.1,486
CHP2_ALK_1.1,685
CHP2_IDH1_1.1,1728
CHP2_ERBB4_8.1,1928
CHP2_ERBB4_7.1,173
CHP2_ERBB4_6.1,1667
CHP2_ERBB4_5.1,551
CHP2_ERBB4_4.1,1478
CHP2_ERBB4_3.1,529
CHP2_ERBB4_2.1,2415
CHP2_ERBB4_1.1,1415
CHP2_VHL_1.1,526
CHP2_VHL_2.1,41
CHP2_VHL_3.1,2377
CHP2_MLH1_1.1,610
CHP2_CTNNB1_1.1,472
CHP2_PIK3CA_1.1,1058
CHP2_PIK3CA_2.1,759
CHP2_PIK3CA_3.1,1461
CHP2_PIK3CA_4.1,327
CHP2_PIK3CA_5.1,694
CHP2_PIK3CA_6.1,950
CHP2_PIK3CA_7.1,2939
CHP2_PIK3CA_8.1,377
CHP2_PIK3CA_9.1,5196
CHP2_PIK3CA_10.1,1256
CHP2_PIK3CA_11.1,1768
CHP2_FGFR3_1.1,764
CHP2_FGFR3_2.1,489
CHP2_FGFR3_3.1,1324
CHP2_FGFR3_4.1,84
CHP2_FGFR3_5.1,1232
CHP2_PDGFRA_1.1,570
CHP2_PDGFRA_2.1,3419
CHP2_PDGFRA_3.1,909
CHP2_PDGFRA_4.1,747
CHP2_KIT_1.1,44
CHP2_KIT_2.1,2038
CHP2_KIT_3.1,1801
CHP2_KIT_4.1,974
CHP2_KIT_5.1,978
CHP2_KIT_6.1,3510
CHP2_KIT_7.1,2268
CHP2_KIT_8.1,2859
CHP2_KIT_9.1,2177
CHP2_KDR_9.1,495
CHP2_KDR_8.1,1174
CHP2_KDR_7.1,3572
CHP2_KDR_6.1,4401
CHP2_KDR_5.1,6064
CHP2_KDR_4.1,1579
CHP2_KDR_3.1,573
CHP2_KDR_2.1,920
CHP2_KDR_1.1,777
CHP2_FBXW7_5.1,3051
CHP2_FBXW7_4.1,2432
CHP2_FBXW7_3.1,775
CHP2_FBXW7_2.1,3060
CHP2_FBXW7_1.1,669
CHP2_APC_1.1,2774
CHP2_APC_2.1,1372
CHP2_APC_3.1,786
CHP2_APC_4.1,710
CHP2_APC_5.1,276
CHP2_APC_6.1,1098
CHP2_APC_7.1,441
CHP2_CSF1R_2.1,783
CHP2_CSF1R_1.1,2327
CHP2_NPM1_1.1,897
CHP2_EGFR_1.1,1539
CHP2_EGFR_2.1,512
CHP2_EGFR_3.1,5202
CHP2_EGFR_4.1,607
CHP2_EGFR_5.1,803
CHP2_EGFR_6.1,697
CHP2_EGFR_7.1,991
CHP2_EGFR_8.1,786
CHP2_MET_1.1,327
CHP2_MET_2.1,2225
CHP2_MET_3.1,2491
CHP2_MET_4.1,5420
CHP2_MET_5.1,4804
CHP2_MET_6.1,4985
CHP2_SMO_1.1,64
CHP2_SMO_2.1,796
CHP2_SMO_3.1,2114
CHP2_SMO_4.1,1154
CHP2_SMO_5.1,1275
CHP2_BRAF_2.1,769
CHP2_BRAF_1.1,1075
CHP2_EZH2_1.1,2758
CHP2_FGFR1_2.1,1431
CHP2_FGFR1_1.1,362
CHP2_JAK2_1.1,690
CHP2_CDKN2A_2.1,307
CHP2_CDKN2A_1.1,356
CHP2_GNAQ_1.1,685
CHP2_ABL1_1.1,2699
CHP2_ABL1_2.1,2761
CHP2_ABL1_3.1,350
CHP2_ABL1_4.1,1483
CHP2_NOTCH1_3.1,287
CHP2_NOTCH1_2.1,1398
CHP2_NOTCH1_1.1,496
CHP2_RET_1.1,1782
CHP2_RET_2.1,394
CHP2_RET_3.1,1624
CHP2_RET_4.1,313
CHP2_RET_5.1,781
CHP2_PTEN_1.1,982
CHP2_PTEN_2.1,969
CHP2_PTEN_3.1,938
CHP2_PTEN_4.1,465
CHP2_PTEN_5.1,1061
CHP2_PTEN_6.1,934
CHP2_PTEN_7.1,5988
CHP2_PTEN_8.1,818
CHP2_FGFR2_4.1,2194
CHP2_FGFR2_3.1,407
CHP2_FGFR2_2.1,892
CHP2_FGFR2_1.1,1272
CHP2_HRAS_2.1,452
CHP2_HRAS_1.1,625
CHP2_ATM_1.1,1411
