Region,Coverage
CHP2_MPL_1.1,396
CHP2_NRAS_3.1,3013
CHP2_NRAS_2.1,1058
CHP2_NRAS_1.1,2592
CHP2_ALK_2.1,403
CHP2_ALK_1.1,514
CHP2_IDH1_1.1,1701
CHP2_ERBB4_8.1,1721
CHP2_ERBB4_7.1,155
CHP2_ERBB4_6.1,1565
CHP2_ERBB4_5.1,457
CHP2_ERBB4_4.1,1133
CHP2_ERBB4_3.1,377
CHP2_ERBB4_2.1,2061
CHP2_ERBB4_1.1,1430
CHP2_VHL_1.1,446
CHP2_VHL_2.1,38
CHP2_VHL_3.1,1851
CHP2_MLH1_1.1,558
CHP2_CTNNB1_1.1,334
CHP2_PIK3CA_1.1,954
CHP2_PIK3CA_2.1,596
CHP2_PIK3CA_3.1,1354
CHP2_PIK3CA_4.1,281
CHP2_PIK3CA_5.1,781
CHP2_PIK3CA_6.1,764
CHP2_PIK3CA_7.1,2464
CHP2_PIK3CA_8.1,293
CHP2_PIK3CA_9.1,4459
CHP2_PIK3CA_10.1,1244
CHP2_PIK3CA_11.1,1647
CHP2_FGFR3_1.1,577
CHP2_FGFR3_2.1,449
CHP2_FGFR3_3.1,1259
CHP2_FGFR3_4.1,78
CHP2_FGFR3_5.1,1075
CHP2_PDGFRA_1.1,492
CHP2_PDGFRA_2.1,2922
CHP2_PDGFRA_3.1,728
CHP2_PDGFRA_4.1,739
CHP2_KIT_1.1,19
CHP2_KIT_2.1,1898
CHP2_KIT_3.1,1561
CHP2_KIT_4.1,1235
CHP2_KIT_5.1,728
CHP2_KIT_6.1,3186
CHP2_KIT_7.1,1966
CHP2_KIT_8.1,2754
CHP2_KIT_9.1,2104
CHP2_KDR_9.1,310
CHP2_KDR_8.1,933
CHP2_KDR_7.1,3213
CHP2_KDR_6.1,3859
CHP2_KDR_5.1,5860
CHP2_KDR_4.1,1262
CHP2_KDR_3.1,379
CHP2_KDR_2.1,837
CHP2_KDR_1.1,774
CHP2_FBXW7_5.1,2759
CHP2_FBXW7_4.1,2205
CHP2_FBXW7_3.1,835
CHP2_FBXW7_2.1,2980
CHP2_FBXW7_1.1,605
CHP2_APC_1.1,2253
CHP2_APC_2.1,1250
CHP2_APC_3.1,746
CHP2_APC_4.1,669
CHP2_APC_5.1,213
CHP2_APC_6.1,998
CHP2_APC_7.1,452
CHP2_CSF1R_2.1,559
CHP2_CSF1R_1.1,1921
CHP2_NPM1_1.1,1019
CHP2_EGFR_1.1,1371
CHP2_EGFR_2.1,403
CHP2_EGFR_3.1,5016
CHP2_EGFR_4.1,541
CHP2_EGFR_5.1,631
CHP2_EGFR_6.1,672
CHP2_EGFR_7.1,935
CHP2_EGFR_8.1,807
CHP2_MET_1.1,278
CHP2_MET_2.1,1950
CHP2_MET_3.1,2156
CHP2_MET_4.1,5193
CHP2_MET_5.1,4718
