Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,627,336,291,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2403,1212,1191,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1508,758,750,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2472,1246,1226,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,565,288,277,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1172,593,579,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3260,1629,1631,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2882,1446,1436,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,520,261,259,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,6044,3040,3004,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3834,1935,1899,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2390,1202,1188,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,451,225,226,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3862,1938,1924,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3253,1626,1627,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,237,124,113,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2202,1108,1094,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3119,1575,1544,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,3697,1857,1840,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,828,420,408,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2968,1488,1480,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1688,847,841,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3242,1628,1614,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1861,938,923,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1332,669,663,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1378,694,684,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4146,2080,2066,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2215,1110,1105,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6314,3166,3148,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2940,1473,1467,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3002,1500,1502,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,589,344,245,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,253,124,129,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1218,618,600,FGFR3
