Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1168,625,543,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3553,1785,1768,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2246,1121,1125,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3618,1829,1789,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,575,287,288,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1539,775,764,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3760,1892,1868,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3247,1628,1619,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,726,364,362,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,7009,3531,3478,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,4210,2123,2087,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2651,1335,1316,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,610,305,305,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4616,2331,2285,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3446,1728,1718,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,455,236,219,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2990,1507,1483,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3915,1968,1947,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4886,2468,2418,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1124,568,556,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3566,1798,1768,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2065,1033,1032,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,4182,2105,2077,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,2176,1097,1079,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1899,951,948,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1902,958,944,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4865,2443,2422,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2698,1359,1339,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,7403,3719,3684,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3518,1769,1749,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3811,1908,1903,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,769,424,345,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,284,149,135,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1267,645,622,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2385,1205,1180,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2199,1116,1083,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,2346,1180,1166,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,5014,2523,2491,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,3202,1608,1594,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,3384,1703,1681,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,4788,2413,2375,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,4106,2061,2045,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,3027,1525,1502,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,6270,3142,3128,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2372,1197,1175,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5641,2839,2802,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2818,1417,1401,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,4561,2285,2276,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,5271,2639,2632,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1206,610,596,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,4745,2396,2349,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,4041,2032,2009,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,6403,3232,3171,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,7053,3558,3495,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,4787,2403,2384,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1365,688,677,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1258,632,626,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,3183,1603,1580,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3993,2008,1985,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3643,1831,1812,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,4572,2292,2280,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,4239,2130,2109,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,3316,1667,1649,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,3128,1572,1556,APC
