Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,707,378,329,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,4130,2078,2052,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1606,804,802,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3782,1898,1884,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,502,253,249,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,725,369,356,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2189,1099,1090,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2376,1191,1185,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,232,117,115,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,2498,1251,1247,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,781,396,385,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1674,840,834,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,523,265,258,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2710,1362,1348,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,1958,986,972,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,678,341,337,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,44,23,21,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2694,1352,1342,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,749,376,373,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,572,288,284,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1297,652,645,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,828,416,412,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,1750,879,871,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,283,141,142,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,999,500,499,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1118,561,557,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3796,1905,1891,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,397,200,197,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6302,3157,3145,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1569,784,785,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2013,1008,1005,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,1054,642,412,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,637,323,314,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1746,889,857,FGFR3
