Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,346,196,150,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,1749,878,871,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1073,539,534,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,1962,995,967,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,207,104,103,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,585,298,287,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1858,933,925,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1701,853,848,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,242,122,120,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,4472,2244,2228,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2854,1441,1413,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1558,785,773,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,200,100,100,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2188,1108,1080,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2239,1124,1115,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,146,73,73,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1519,772,747,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2321,1167,1154,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2952,1489,1463,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,513,260,253,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1674,838,836,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,829,418,411,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,1928,968,960,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,937,476,461,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1128,565,563,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,576,292,284,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,2451,1233,1218,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1392,700,692,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,3926,1969,1957,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1785,895,890,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,1637,821,816,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,281,159,122,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,126,65,61,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,649,332,317,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1085,548,537,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,983,502,481,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1024,517,507,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,2779,1395,1384,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1479,739,740,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1447,724,723,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3071,1541,1530,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,1921,959,962,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1417,713,704,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,3396,1703,1693,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1273,639,634,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,3310,1663,1647,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,1147,580,567,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2578,1291,1287,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,3156,1582,1574,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,416,209,207,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,3507,1772,1735,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,1957,986,971,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,3378,1701,1677,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,3794,1907,1887,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2035,1029,1006,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1004,504,500,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,440,222,218,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,1463,738,725,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,1971,993,978,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,1983,1003,980,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,3019,1514,1505,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,2035,1023,1012,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,1351,678,673,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,1574,793,781,APC
chr5,112174533,112174691,CHP2_APC_2.1,1660,835,825,APC
chr5,112175119,112175293,CHP2_APC_3.1,1707,854,853,APC
chr5,112175291,112175468,CHP2_APC_4.1,2240,1137,1103,APC
chr5,112175543,112175728,CHP2_APC_5.1,599,300,299,APC
