Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,781,419,362,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3214,1617,1597,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1729,866,863,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2587,1306,1281,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,637,320,317,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1102,558,544,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2917,1465,1452,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2851,1432,1419,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,902,456,446,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,4042,2031,2011,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3254,1642,1612,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,3148,1587,1561,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,744,375,369,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4121,2077,2044,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2243,1125,1118,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,329,168,161,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1753,888,865,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,1918,961,957,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,1434,721,713,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,801,409,392,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2976,1493,1483,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2076,1041,1035,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3326,1667,1659,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1796,903,893,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1973,991,982,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1931,973,958,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4593,2305,2288,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1966,991,975,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6382,3206,3176,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2693,1356,1337,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3604,1807,1797,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,674,391,283,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,385,198,187,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1134,584,550,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1839,926,913,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1489,754,735,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1368,690,678,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,3493,1753,1740,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1797,901,896,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1684,846,838,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,2549,1281,1268,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3467,1741,1726,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2590,1304,1286,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,3299,1655,1644,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1813,911,902,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4384,2204,2180,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2393,1203,1190,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3567,1791,1776,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,4339,2179,2160,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,839,424,415,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,2447,1233,1214,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3013,1515,1498,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,4121,2074,2047,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,4771,2401,2370,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,1623,816,807,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1512,761,751,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1531,770,761,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2140,1074,1066,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3225,1622,1603,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,2831,1435,1396,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,1976,997,979,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,3126,1569,1557,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,1883,949,934,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,1592,801,791,APC
chr5,112174533,112174691,CHP2_APC_2.1,2411,1216,1195,APC
chr5,112175119,112175293,CHP2_APC_3.1,2043,1026,1017,APC
chr5,112175291,112175468,CHP2_APC_4.1,2487,1257,1230,APC
chr5,112175543,112175728,CHP2_APC_5.1,876,438,438,APC
chr5,112175716,112175887,CHP2_APC_6.1,2651,1334,1317,APC
chr5,112175896,112176060,CHP2_APC_7.1,1141,572,569,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,547,277,270,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1415,712,703,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2525,1277,1248,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,3423,1721,1702,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,2273,1146,1127,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,7499,3780,3719,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,1391,698,693,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,2632,1320,1312,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1722,871,851,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,2721,1370,1351,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2268,1142,1126,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,3554,1790,1764,MET
chr7,116340131,116340295,CHP2_MET_2.1,1914,965,949,MET
chr7,116403107,116403276,CHP2_MET_3.1,1983,994,989,MET
chr7,116411854,116412022,CHP2_MET_4.1,2722,1373,1349,MET
chr7,116417403,116417567,CHP2_MET_5.1,2452,1237,1215,MET
chr7,116423383,116423517,CHP2_MET_6.1,2107,1064,1043,MET
chr7,128845039,128845213,CHP2_SMO_1.1,2256,1135,1121,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1076,543,533,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1416,714,702,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1098,551,547,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1353,680,673,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,3123,1567,1556,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,4391,2218,2173,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,3942,1977,1965,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,1351,682,669,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,918,463,455,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,1661,836,825,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,356,182,174,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,385,214,171,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,1837,922,915,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,3509,1771,1738,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,2648,1328,1320,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,1252,629,623,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1160,584,576,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,670,341,329,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,1384,697,687,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,407,208,199,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1458,736,722,RET
chr10,43609850,43610035,CHP2_RET_2.1,554,279,275,RET
chr10,43613770,43613918,CHP2_RET_3.1,1196,605,591,RET
chr10,43615522,43615712,CHP2_RET_4.1,813,412,401,RET
chr10,43617290,43617458,CHP2_RET_5.1,1510,758,752,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,692,349,343,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,2248,1132,1116,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,2096,1057,1039,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,1612,814,798,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,1847,927,920,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,1844,928,916,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,6149,3086,3063,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,1956,983,973,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,2526,1267,1259,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,719,363,356,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,2137,1076,1061,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,1409,712,697,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,521,262,259,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,487,249,238,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,2272,1143,1129,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,4214,2121,2093,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,3254,1632,1622,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,2677,1347,1330,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,2744,1383,1361,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,2073,1041,1032,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,4050,2041,2009,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,4750,2384,2366,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,2323,1168,1155,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,3109,1563,1546,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,4463,2247,2216,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,3885,1951,1934,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,3078,1545,1533,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,1990,1001,989,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,2528,1269,1259,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,2152,1084,1068,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,1256,632,624,ATM
