Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1051,552,499,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3637,1825,1812,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2075,1038,1037,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3288,1657,1631,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,714,362,352,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1666,838,828,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,4251,2133,2118,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3743,1877,1866,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,642,323,319,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,7665,3850,3815,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,4728,2385,2343,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,3014,1513,1501,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,652,326,326,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4679,2352,2327,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,4072,2045,2027,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,486,242,244,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2765,1396,1369,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3856,1932,1924,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4839,2431,2408,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1187,600,587,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3890,1949,1941,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2153,1078,1075,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,4309,2159,2150,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,2684,1347,1337,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,2471,1243,1228,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,2071,1042,1029,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,5365,2688,2677,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2989,1499,1490,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,8004,4011,3993,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3885,1945,1940,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,4089,2054,2035,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,1035,592,443,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,345,175,170,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1470,744,726,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2798,1407,1391,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2609,1317,1292,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,2021,1016,1005,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,5164,2596,2568,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,3089,1547,1542,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,3471,1735,1736,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,4619,2312,2307,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3851,1936,1915,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2949,1484,1465,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,6102,3047,3055,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2302,1161,1141,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5859,2942,2917,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,3041,1533,1508,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3432,1718,1714,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2525,1267,1258,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1370,684,686,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,5342,2680,2662,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,4154,2081,2073,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,6331,3181,3150,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,7301,3662,3639,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,3632,1819,1813,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,2438,1219,1219,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1307,658,649,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,3158,1587,1571,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3390,1695,1695,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3390,1712,1678,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,3981,1998,1983,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,3936,1979,1957,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,2698,1354,1344,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,2779,1394,1385,APC
chr5,112174533,112174691,CHP2_APC_2.1,3130,1574,1556,APC
chr5,112175119,112175293,CHP2_APC_3.1,2900,1449,1451,APC
chr5,112175291,112175468,CHP2_APC_4.1,3619,1822,1797,APC
chr5,112175543,112175728,CHP2_APC_5.1,1175,586,589,APC
chr5,112175716,112175887,CHP2_APC_6.1,4719,2379,2340,APC
chr5,112175896,112176060,CHP2_APC_7.1,1566,783,783,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,487,245,242,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1772,892,880,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2815,1411,1404,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2544,1283,1261,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,2396,1208,1188,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,6513,3267,3246,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,835,419,416,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,2730,1371,1359,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1210,615,595,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,2101,1051,1050,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2878,1442,1436,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,4625,2323,2302,MET
chr7,116340131,116340295,CHP2_MET_2.1,2821,1415,1406,MET
chr7,116403107,116403276,CHP2_MET_3.1,2422,1213,1209,MET
chr7,116411854,116412022,CHP2_MET_4.1,4435,2230,2205,MET
chr7,116417403,116417567,CHP2_MET_5.1,4286,2160,2126,MET
chr7,116423383,116423517,CHP2_MET_6.1,1978,991,987,MET
chr7,128845039,128845213,CHP2_SMO_1.1,3372,1689,1683,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1162,581,581,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1462,735,727,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1293,652,641,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,2345,1177,1168,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,3961,1984,1977,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,4179,2111,2068,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,3497,1749,1748,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,2154,1088,1066,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,1176,587,589,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,2412,1202,1210,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,570,282,288,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,1011,551,460,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,2189,1095,1094,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,6460,3246,3214,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,4282,2151,2131,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,3276,1645,1631,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1828,922,906,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,815,410,405,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,2765,1386,1379,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,454,230,224,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,2217,1123,1094,RET
chr10,43609850,43610035,CHP2_RET_2.1,600,299,301,RET
chr10,43613770,43613918,CHP2_RET_3.1,1608,810,798,RET
chr10,43615522,43615712,CHP2_RET_4.1,1082,540,542,RET
chr10,43617290,43617458,CHP2_RET_5.1,2654,1333,1321,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,1169,582,587,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,5186,2608,2578,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,2974,1486,1488,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,2453,1231,1222,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,3575,1796,1779,PTEN
