Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,922,495,427,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,4048,2037,2011,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1225,616,609,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2288,1155,1133,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,400,202,198,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,701,355,346,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1647,829,818,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2057,1031,1026,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,209,106,103,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,1510,761,749,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,938,479,459,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1236,620,616,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,433,218,215,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,1904,959,945,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,778,391,387,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,709,361,348,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1520,770,750,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2776,1397,1379,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,1037,520,517,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,467,235,232,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1220,613,607,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,820,414,406,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,1336,672,664,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,504,255,249,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,736,370,366,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1198,601,597,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3107,1563,1544,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,668,335,333,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6251,3149,3102,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1446,728,718,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2061,1031,1030,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,1596,953,643,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,481,247,234,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,2525,1285,1240,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,4034,2034,2000,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2577,1307,1270,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,536,269,267,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,3178,1599,1579,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,745,373,372,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1315,659,656,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,1505,756,749,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,2571,1291,1280,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1545,777,768,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,1262,634,628,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,914,459,455,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4017,2016,2001,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,1604,805,799,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2755,1383,1372,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,3447,1727,1720,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,434,217,217,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,1781,893,888,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,2163,1088,1075,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,4658,2358,2300,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,5934,2985,2949,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,853,431,422,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,437,221,216,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1087,552,535,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,722,366,356,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3873,1950,1923,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,2853,1444,1409,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,732,367,365,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,3314,1664,1650,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,507,255,252,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,3074,1540,1534,APC
chr5,112174533,112174691,CHP2_APC_2.1,1388,696,692,APC
chr5,112175119,112175293,CHP2_APC_3.1,1053,530,523,APC
chr5,112175291,112175468,CHP2_APC_4.1,811,412,399,APC
chr5,112175543,112175728,CHP2_APC_5.1,511,257,254,APC
chr5,112175716,112175887,CHP2_APC_6.1,1418,714,704,APC
chr5,112175896,112176060,CHP2_APC_7.1,374,187,187,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,509,258,251,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1419,714,705,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,1461,736,725,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,1455,734,721,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,731,367,364,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,6216,3120,3096,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,886,447,439,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,758,381,377,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1062,536,526,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,1060,533,527,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,1183,595,588,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,3868,1947,1921,MET
chr7,116340131,116340295,CHP2_MET_2.1,1107,560,547,MET
chr7,116403107,116403276,CHP2_MET_3.1,556,279,277,MET
chr7,116411854,116412022,CHP2_MET_4.1,1224,617,607,MET
chr7,116417403,116417567,CHP2_MET_5.1,1099,555,544,MET
chr7,116423383,116423517,CHP2_MET_6.1,1928,971,957,MET
chr7,128845039,128845213,CHP2_SMO_1.1,2367,1192,1175,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,713,358,355,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1886,953,933,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1197,602,595,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1142,573,569,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,862,431,431,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,1460,744,716,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,2592,1300,1292,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,1166,590,576,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,352,177,175,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,577,289,288,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,867,442,425,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,810,445,365,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,635,321,314,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,8699,4373,4326,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,2859,1432,1427,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,717,362,355,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,918,463,455,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,1086,554,532,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,2570,1299,1271,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,851,434,417,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1703,862,841,RET
chr10,43609850,43610035,CHP2_RET_2.1,953,479,474,RET
chr10,43613770,43613918,CHP2_RET_3.1,2088,1054,1034,RET
chr10,43615522,43615712,CHP2_RET_4.1,740,377,363,RET
chr10,43617290,43617458,CHP2_RET_5.1,782,392,390,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,632,317,315,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,879,446,433,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,766,385,381,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,509,255,254,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,948,476,472,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,980,491,489,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,8062,4041,4021,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,1448,729,719,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,2195,1105,1090,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,369,187,182,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,1235,621,614,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,1723,870,853,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,555,281,274,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,826,418,408,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,884,446,438,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,3130,1586,1544,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,2371,1189,1182,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,1449,725,724,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,1391,700,691,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,1048,532,516,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,2640,1326,1314,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,5667,2842,2825,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,3119,1558,1561,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,2861,1442,1419,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,5310,2683,2627,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,4048,2035,2013,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,1412,714,698,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,351,175,176,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,1709,859,850,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,1417,713,704,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,689,345,344,ATM
chr12,25378525,25378683,CHP2_KRAS_3.1,863,433,430,KRAS
chr12,25380236,25380389,CHP2_KRAS_2.1,1711,865,846,KRAS
chr12,25398162,25398329,CHP2_KRAS_1.1,734,367,367,KRAS
chr12,112888094,112888253,CHP2_PTPN11_1.1,1302,658,644,PTPN11
chr12,112926811,112926986,CHP2_PTPN11_2.1,1184,597,587,PTPN11
chr12,121431347,121431484,CHP2_HNF1A_1.1,2010,1015,995,HNF1A
chr12,121431986,121432124,CHP2_HNF1A_2.1,5322,2674,2648,HNF1A
chr13,28592555,28592688,CHP2_FLT3_4.1,2207,1113,1094,FLT3
chr13,28602251,28602404,CHP2_FLT3_3.1,2521,1269,1252,FLT3
chr13,28608203,28608373,CHP2_FLT3_2.1,640,321,319,FLT3
chr13,28610069,28610209,CHP2_FLT3_1.1,3821,1931,1890,FLT3
chr13,48919199,48919337,CHP2_RB1_1.1,894,449,445,RB1
chr13,48923115,48923280,CHP2_RB1_2.1,647,325,322,RB1
chr13,48941577,48941749,CHP2_RB1_3.1,684,342,342,RB1
chr13,48942573,48942736,CHP2_RB1_4.1,577,291,286,RB1
chr13,48953729,48953899,CHP2_RB1_5.1,1250,634,616,RB1
chr13,48955501,48955630,CHP2_RB1_6.1,3076,1544,1532,RB1
chr13,49027081,49027203,CHP2_RB1_7.1,1824,928,896,RB1
chr13,49033803,49033959,CHP2_RB1_8.1,1293,652,641,RB1
chr13,49037822,49037957,CHP2_RB1_9.1,1371,692,679,RB1
chr13,49039125,49039257,CHP2_RB1_10.1,2097,1055,1042,RB1
chr14,105241409,105241544,CHP2_AKT1_2.1,2436,1231,1205,AKT1
chr14,105246421,105246608,CHP2_AKT1_1.1,498,251,247,AKT1
chr15,90631800,90631979,CHP2_IDH2_1.1,1039,526,513,IDH2
chr16,68835578,68835722,CHP2_CDH1_1.1,2761,1390,1371,CDH1
chr16,68846000,68846176,CHP2_CDH1_2.1,910,458,452,CDH1
chr16,68847175,68847327,CHP2_CDH1_3.1,2547,1283,1264,CDH1
chr17,7573899,7574060,CHP2_TP53_8.1,1632,823,809,TP53
chr17,7576991,7577176,CHP2_TP53_7.1,643,324,319,TP53
chr17,7577484,7577637,CHP2_TP53_6.1,1969,992,977,TP53
chr17,7578156,7578323,CHP2_TP53_5.1,892,451,441,TP53
chr17,7578328,7578508,CHP2_TP53_4.1,1775,896,879,TP53
chr17,7578492,7578626,CHP2_TP53_3.1,2687,1353,1334,TP53
chr17,7579326,7579510,CHP2_TP53_2.1,895,461,434,TP53
chr17,7579829,7579985,CHP2_TP53_1.1,2004,1009,995,TP53
chr17,37880188,37880365,CHP2_ERBB2_1.1,1150,580,570,ERBB2
chr17,37880929,37881086,CHP2_ERBB2_2.1,1232,619,613,ERBB2
chr17,37881300,37881478,CHP2_ERBB2_3.1,913,483,430,ERBB2
chr18,48575075,48575238,CHP2_SMAD4_1.1,1285,645,640,SMAD4
chr18,48575532,48575702,CHP2_SMAD4_2.1,382,193,189,SMAD4
chr18,48581166,48581327,CHP2_SMAD4_3.1,989,499,490,SMAD4
chr18,48584527,48584703,CHP2_SMAD4_4.1,736,370,366,SMAD4
chr18,48586227,48586386,CHP2_SMAD4_5.1,1162,586,576,SMAD4
chr18,48591790,48591956,CHP2_SMAD4_6.1,1149,576,573,SMAD4
chr18,48593375,48593544,CHP2_SMAD4_7.1,604,304,300,SMAD4
chr18,48603004,48603144,CHP2_SMAD4_8.1,5057,2549,2508,SMAD4
chr18,48604634,48604799,CHP2_SMAD4_9.1,735,371,364,SMAD4
chr19,1206953,1207129,CHP2_STK11_1.1,1501,761,740,STK11
chr19,1220286,1220475,CHP2_STK11_2.1,368,186,182,STK11
chr19,1220456,1220628,CHP2_STK11_3.1,2144,1291,853,STK11
chr19,1221212,1221357,CHP2_STK11_4.1,2653,1333,1320,STK11
chr19,1222990,1223169,CHP2_STK11_5.1,1723,872,851,STK11
chr19,3118857,3118998,CHP2_GNA11_1.1,1924,977,947,GNA11
chr19,17945592,17945759,CHP2_JAK3_3.1,1566,790,776,JAK3
chr19,17947962,17948099,CHP2_JAK3_2.1,2127,1074,1053,JAK3
chr19,17954110,17954250,CHP2_JAK3_1.1,2533,1276,1257,JAK3
chr20,36031642,36031794,CHP2_SRC_1.1,4291,2167,2124,SRC
chr20,57484372,57484529,CHP2_GNAS_1.1,461,234,227,GNAS
chr20,57484538,57484697,CHP2_GNAS_2.1,2688,1349,1339,GNAS
chr22,24133929,24134089,CHP2_SMARCB1_1.1,1005,510,495,SMARCB1
chr22,24143176,24143336,CHP2_SMARCB1_2.1,278,139,139,SMARCB1
chr22,24145453,24145623,CHP2_SMARCB1_3.1,1453,733,720,SMARCB1
chr22,24176235,24176416,CHP2_SMARCB1_4.1,613,307,306,SMARCB1
