Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,997,500,497,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,4586,2301,2285,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2446,1225,1221,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3901,1963,1938,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,805,403,402,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1425,716,709,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,4181,2094,2087,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3979,1997,1982,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,883,447,436,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5627,2820,2807,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3583,1830,1753,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,3550,1784,1766,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,1035,520,515,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,5820,2935,2885,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3588,1800,1788,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,635,326,309,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3005,1517,1488,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,4386,2196,2190,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,3657,1836,1821,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1380,698,682,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,4217,2111,2106,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2682,1342,1340,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,4961,2484,2477,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,2472,1245,1227,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,2379,1190,1189,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,2859,1438,1421,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,6703,3368,3335,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2605,1311,1294,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,9496,4761,4735,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3972,1992,1980,PIK3CA
