Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,837,454,383,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3118,1563,1555,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2007,1005,1002,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3158,1583,1575,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,651,330,321,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1354,681,673,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2889,1446,1443,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2964,1489,1475,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,626,313,313,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,4722,2370,2352,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3231,1626,1605,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2390,1199,1191,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,633,312,321,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3951,1982,1969,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2804,1409,1395,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,430,225,205,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2787,1404,1383,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3633,1824,1809,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,3754,1888,1866,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1074,542,532,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2772,1396,1376,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1629,813,816,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3107,1562,1545,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1604,808,796,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1560,782,778,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1554,778,776,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3619,1822,1797,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2016,1007,1009,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,5687,2849,2838,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2623,1313,1310,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2747,1379,1368,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,745,442,303,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,352,181,171,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1302,658,644,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2174,1093,1081,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2030,1030,1000,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1853,931,922,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4400,2207,2193,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2402,1202,1200,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,2773,1394,1379,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3044,1528,1516,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3504,1758,1746,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2755,1379,1376,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,4240,2124,2116,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2098,1051,1047,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4867,2438,2429,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2672,1348,1324,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3845,1928,1917,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,4961,2488,2473,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1188,598,590,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,4167,2089,2078,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3621,1821,1800,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,5210,2620,2590,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,6164,3091,3073,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2788,1398,1390,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1842,927,915,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1285,649,636,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2429,1223,1206,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3418,1718,1700,FBXW7
