Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,648,360,288,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,4841,2430,2411,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1855,927,928,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,4170,2098,2072,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,678,343,335,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1024,517,507,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2612,1306,1306,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2857,1433,1424,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,287,142,145,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,2424,1220,1204,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,594,304,290,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1811,911,900,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,707,354,353,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3222,1624,1598,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,1872,941,931,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,673,340,333,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,78,39,39,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2870,1439,1431,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,946,480,466,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,760,382,378,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1574,790,784,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1048,529,519,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,1898,951,947,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,477,239,238,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,787,393,394,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1368,686,682,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3823,1916,1907,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,457,231,226,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,7000,3505,3495,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1733,868,865,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2668,1333,1335,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,901,530,371,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,823,418,405,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,2004,1022,982,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,131,67,64,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1754,887,867,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,923,463,460,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4515,2269,2246,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1324,664,660,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1051,529,522,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,59,31,28,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,2421,1213,1208,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2628,1318,1310,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,1535,769,766,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1368,686,682,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4647,2334,2313,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,3090,1551,1539,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3723,1863,1860,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2851,1430,1421,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,598,303,295,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,1477,742,735,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,4761,2393,2368,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,5405,2726,2679,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,8445,4244,4201,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2083,1047,1036,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,738,372,366,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1344,676,668,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,1059,533,526,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,4268,2139,2129,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3564,1798,1766,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,1059,532,527,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,4073,2043,2030,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,862,436,426,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,3974,1996,1978,APC
chr5,112174533,112174691,CHP2_APC_2.1,1962,986,976,APC
chr5,112175119,112175293,CHP2_APC_3.1,1052,529,523,APC
chr5,112175291,112175468,CHP2_APC_4.1,820,411,409,APC
chr5,112175543,112175728,CHP2_APC_5.1,389,196,193,APC
chr5,112175716,112175887,CHP2_APC_6.1,1648,831,817,APC
chr5,112175896,112176060,CHP2_APC_7.1,530,267,263,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,1185,602,583,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,2844,1431,1413,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,1211,608,603,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2132,1072,1060,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,763,384,379,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,7200,3620,3580,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,1056,531,525,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,1082,544,538,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,799,405,394,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,1645,826,819,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,1085,547,538,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,468,236,232,MET
chr7,116340131,116340295,CHP2_MET_2.1,3038,1528,1510,MET
chr7,116403107,116403276,CHP2_MET_3.1,3516,1765,1751,MET
chr7,116411854,116412022,CHP2_MET_4.1,7624,3833,3791,MET
chr7,116417403,116417567,CHP2_MET_5.1,7162,3607,3555,MET
chr7,116423383,116423517,CHP2_MET_6.1,7242,3646,3596,MET
chr7,128845039,128845213,CHP2_SMO_1.1,62,31,31,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1149,578,571,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,2763,1391,1372,SMO
