Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,687,379,308,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2093,1051,1042,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1431,716,715,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2081,1053,1028,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,424,209,215,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,850,425,425,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2311,1161,1150,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1808,907,901,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,417,211,206,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,3432,1717,1715,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2719,1377,1342,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1606,809,797,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,399,200,199,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2675,1345,1330,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2023,1018,1005,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,263,131,132,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1675,843,832,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2027,1019,1008,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2601,1307,1294,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,650,329,321,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1805,905,900,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1141,573,568,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2088,1051,1037,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1346,676,670,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1502,752,750,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,952,480,472,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,2644,1326,1318,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1472,740,732,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,3399,1711,1688,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1930,971,959,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,1956,986,970,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,423,237,186,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,175,90,85,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,728,370,358,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1242,624,618,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1221,618,603,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1269,639,630,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,2958,1486,1472,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1905,954,951,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,2095,1052,1043,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,2560,1287,1273,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,2449,1231,1218,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1887,953,934,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,3292,1645,1647,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1616,807,809,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,3288,1649,1639,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,1844,922,922,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2612,1311,1301,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,1686,845,841,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,733,369,364,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,3570,1801,1769,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,2665,1346,1319,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,3658,1833,1825,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,3887,1957,1930,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2112,1057,1055,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1472,743,729,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,869,439,430,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,1655,831,824,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,2232,1120,1112,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,2334,1180,1154,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,2246,1125,1121,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,2506,1258,1248,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,1747,881,866,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,1535,773,762,APC
chr5,112174533,112174691,CHP2_APC_2.1,1793,901,892,APC
chr5,112175119,112175293,CHP2_APC_3.1,1705,857,848,APC
chr5,112175291,112175468,CHP2_APC_4.1,1973,996,977,APC
chr5,112175543,112175728,CHP2_APC_5.1,812,407,405,APC
chr5,112175716,112175887,CHP2_APC_6.1,2398,1213,1185,APC
chr5,112175896,112176060,CHP2_APC_7.1,1103,553,550,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,284,145,139,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1012,511,501,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,1895,961,934,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,1790,901,889,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,1617,818,799,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,4028,2029,1999,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,747,372,375,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,1685,849,836,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1203,604,599,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,1631,823,808,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2499,1261,1238,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,3065,1542,1523,MET
chr7,116340131,116340295,CHP2_MET_2.1,1981,997,984,MET
chr7,116403107,116403276,CHP2_MET_3.1,1669,838,831,MET
chr7,116411854,116412022,CHP2_MET_4.1,2807,1409,1398,MET
chr7,116417403,116417567,CHP2_MET_5.1,2635,1328,1307,MET
chr7,116423383,116423517,CHP2_MET_6.1,1440,721,719,MET
chr7,128845039,128845213,CHP2_SMO_1.1,1861,934,927,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,783,388,395,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,911,457,454,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,942,475,467,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1412,711,701,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,2392,1208,1184,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,2453,1232,1221,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,2309,1158,1151,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,1383,695,688,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,981,495,486,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,1480,743,737,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,430,220,210,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,672,355,317,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,1698,852,846,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,3767,1890,1877,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,2549,1276,1273,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,1830,919,911,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1025,515,510,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,502,251,251,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,1432,721,711,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,241,121,120,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1029,524,505,RET
chr10,43609850,43610035,CHP2_RET_2.1,343,174,169,RET
chr10,43613770,43613918,CHP2_RET_3.1,954,484,470,RET
chr10,43615522,43615712,CHP2_RET_4.1,649,328,321,RET
chr10,43617290,43617458,CHP2_RET_5.1,1319,656,663,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,707,355,352,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,2431,1229,1202,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,1589,797,792,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,1536,769,767,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,1871,934,937,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,1679,842,837,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,3459,1735,1724,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,1953,983,970,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,2010,1008,1002,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,647,327,320,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,1955,986,969,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,1305,659,646,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,298,150,148,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,264,132,132,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,2185,1097,1088,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,2955,1492,1463,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,3055,1527,1528,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,1925,972,953,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,2233,1121,1112,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,1857,930,927,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,3529,1780,1749,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,3940,1980,1960,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,1345,683,662,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,1960,984,976,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,3387,1713,1674,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,3525,1772,1753,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,2772,1395,1377,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,2042,1018,1024,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,1811,908,903,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,1286,651,635,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,809,408,401,ATM
chr12,25378525,25378683,CHP2_KRAS_3.1,2839,1427,1412,KRAS
chr12,25380236,25380389,CHP2_KRAS_2.1,2477,1249,1228,KRAS
chr12,25398162,25398329,CHP2_KRAS_1.1,2105,1057,1048,KRAS
chr12,112888094,112888253,CHP2_PTPN11_1.1,2194,1111,1083,PTPN11
chr12,112926811,112926986,CHP2_PTPN11_2.1,2175,1094,1081,PTPN11
chr12,121431347,121431484,CHP2_HNF1A_1.1,1334,674,660,HNF1A
chr12,121431986,121432124,CHP2_HNF1A_2.1,2214,1109,1105,HNF1A
chr13,28592555,28592688,CHP2_FLT3_4.1,1973,991,982,FLT3
chr13,28602251,28602404,CHP2_FLT3_3.1,2357,1181,1176,FLT3
chr13,28608203,28608373,CHP2_FLT3_2.1,2023,1015,1008,FLT3
chr13,28610069,28610209,CHP2_FLT3_1.1,3066,1543,1523,FLT3
chr13,48919199,48919337,CHP2_RB1_1.1,1875,940,935,RB1
chr13,48923115,48923280,CHP2_RB1_2.1,1615,807,808,RB1
chr13,48941577,48941749,CHP2_RB1_3.1,1260,630,630,RB1
chr13,48942573,48942736,CHP2_RB1_4.1,906,457,449,RB1
chr13,48953729,48953899,CHP2_RB1_5.1,1413,711,702,RB1
chr13,48955501,48955630,CHP2_RB1_6.1,2271,1140,1131,RB1
chr13,49027081,49027203,CHP2_RB1_7.1,1762,885,877,RB1
chr13,49033803,49033959,CHP2_RB1_8.1,1517,764,753,RB1
chr13,49037822,49037957,CHP2_RB1_9.1,2184,1100,1084,RB1
chr13,49039125,49039257,CHP2_RB1_10.1,1492,748,744,RB1
chr14,105241409,105241544,CHP2_AKT1_2.1,1046,526,520,AKT1
chr14,105246421,105246608,CHP2_AKT1_1.1,636,324,312,AKT1
chr15,90631800,90631979,CHP2_IDH2_1.1,1446,730,716,IDH2
chr16,68835578,68835722,CHP2_CDH1_1.1,1975,995,980,CDH1
chr16,68846000,68846176,CHP2_CDH1_2.1,1595,805,790,CDH1
chr16,68847175,68847327,CHP2_CDH1_3.1,2266,1140,1126,CDH1
chr17,7573899,7574060,CHP2_TP53_8.1,1307,657,650,TP53
chr17,7576991,7577176,CHP2_TP53_7.1,1154,584,570,TP53
chr17,7577484,7577637,CHP2_TP53_6.1,2431,1219,1212,TP53
chr17,7578156,7578323,CHP2_TP53_5.1,1385,695,690,TP53
chr17,7578328,7578508,CHP2_TP53_4.1,1906,961,945,TP53
chr17,7578492,7578626,CHP2_TP53_3.1,1246,624,622,TP53
chr17,7579326,7579510,CHP2_TP53_2.1,870,445,425,TP53
chr17,7579829,7579985,CHP2_TP53_1.1,2039,1026,1013,TP53
chr17,37880188,37880365,CHP2_ERBB2_1.1,1818,913,905,ERBB2
chr17,37880929,37881086,CHP2_ERBB2_2.1,1156,583,573,ERBB2
chr17,37881300,37881478,CHP2_ERBB2_3.1,897,473,424,ERBB2
chr18,48575075,48575238,CHP2_SMAD4_1.1,1915,959,956,SMAD4
chr18,48575532,48575702,CHP2_SMAD4_2.1,1260,636,624,SMAD4
