Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,592,328,264,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,1779,895,884,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1067,532,535,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,1685,847,838,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,552,278,274,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,990,496,494,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1992,999,993,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1958,983,975,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,348,177,171,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,3541,1785,1756,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2237,1124,1113,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1620,816,804,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,404,205,199,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2459,1235,1224,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,1844,923,921,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,287,143,144,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1735,875,860,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2404,1207,1197,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2295,1159,1136,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,584,294,290,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2296,1155,1141,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1279,641,638,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2709,1357,1352,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1330,667,663,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1229,617,612,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1037,520,517,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3067,1540,1527,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1526,768,758,PIK3CA
