Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,504,280,224,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2646,1329,1317,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1289,644,645,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2546,1279,1267,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,384,196,188,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,988,500,488,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1975,992,983,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1987,1001,986,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,295,148,147,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,3589,1809,1780,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2131,1078,1053,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1698,850,848,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,331,167,164,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2783,1396,1387,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2018,1012,1006,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,282,144,138,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1814,909,905,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2642,1329,1313,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2381,1198,1183,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,598,303,295,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1954,978,976,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1077,544,533,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2213,1105,1108,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1035,518,517,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1544,774,770,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,962,483,479,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3139,1582,1557,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1215,610,605,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,4674,2342,2332,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1882,944,938,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2230,1119,1111,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,524,302,222,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,197,100,97,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,982,500,482,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1610,813,797,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1315,664,651,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1218,611,607,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,3696,1856,1840,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1883,943,940,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1745,874,871,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,2220,1112,1108,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3071,1537,1534,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1992,997,995,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,2952,1480,1472,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1601,802,799,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4432,2224,2208,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2025,1018,1007,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3318,1661,1657,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,4739,2377,2362,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,628,318,310,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,3073,1545,1528,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,2939,1476,1463,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,4594,2304,2290,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,5367,2702,2665,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2528,1268,1260,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1370,692,678,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1096,550,546,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,1872,941,931,KDR
