Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1012,504,508,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3030,1512,1518,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1824,914,910,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2926,1470,1456,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,966,488,478,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1725,866,859,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3645,1834,1811,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2877,1445,1432,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,725,365,360,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5303,2659,2644,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3590,1803,1787,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2555,1284,1271,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,691,345,346,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4041,2035,2006,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2981,1498,1483,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,589,303,286,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3129,1581,1548,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3988,1995,1993,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4010,2008,2002,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1104,553,551,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2685,1352,1333,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1989,1001,988,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3459,1732,1727,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1954,990,964,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1567,789,778,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1717,863,854,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3875,1942,1933,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2534,1265,1269,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,5705,2863,2842,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2871,1442,1429,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2929,1474,1455,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,974,556,418,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,427,217,210,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1544,781,763,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2695,1361,1334,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2806,1426,1380,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,2277,1148,1129,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4840,2428,2412,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2700,1354,1346,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,3620,1814,1806,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3918,1963,1955,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,4088,2055,2033,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,3228,1624,1604,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,5332,2676,2656,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2599,1298,1301,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5317,2668,2649,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2917,1465,1452,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,4344,2178,2166,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2150,1076,1074,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1546,777,769,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,4545,2281,2264,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,4410,2216,2194,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,5914,2970,2944,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,6566,3301,3265,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,3172,1588,1584,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,2402,1208,1194,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1594,803,791,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,3161,1585,1576,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3952,1983,1969,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3642,1828,1814,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,3852,1936,1916,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,4312,2163,2149,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,3181,1601,1580,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,2651,1330,1321,APC
chr5,112174533,112174691,CHP2_APC_2.1,3129,1573,1556,APC
chr5,112175119,112175293,CHP2_APC_3.1,2912,1456,1456,APC
chr5,112175291,112175468,CHP2_APC_4.1,3533,1783,1750,APC
chr5,112175543,112175728,CHP2_APC_5.1,1096,554,542,APC
chr5,112175716,112175887,CHP2_APC_6.1,4005,2014,1991,APC
chr5,112175896,112176060,CHP2_APC_7.1,1549,773,776,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,647,329,318,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1783,899,884,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,3254,1644,1610,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2307,1153,1154,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,2488,1254,1234,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,6011,3013,2998,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,1147,577,570,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,2633,1320,1313,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1842,931,911,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,2809,1420,1389,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,3027,1522,1505,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,3542,1777,1765,MET
chr7,116340131,116340295,CHP2_MET_2.1,2089,1045,1044,MET
chr7,116403107,116403276,CHP2_MET_3.1,1907,960,947,MET
chr7,116411854,116412022,CHP2_MET_4.1,3084,1546,1538,MET
chr7,116417403,116417567,CHP2_MET_5.1,2996,1500,1496,MET
chr7,116423383,116423517,CHP2_MET_6.1,1834,918,916,MET
chr7,128845039,128845213,CHP2_SMO_1.1,3175,1593,1582,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1253,627,626,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1696,853,843,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1421,717,704,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,2370,1197,1173,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,3015,1510,1505,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,3242,1633,1609,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,3039,1521,1518,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,2254,1136,1118,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,1518,767,751,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,1978,990,988,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,775,395,380,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,1206,705,501,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,2505,1260,1245,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,5759,2886,2873,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,4261,2131,2130,ABL1
