Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,489,272,217,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,1643,825,818,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,710,358,352,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,1609,806,803,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,363,186,177,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,751,379,372,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1903,950,953,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1583,795,788,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,353,176,177,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,2665,1338,1327,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2013,1017,996,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1354,686,668,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,307,152,155,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,1955,985,970,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,1622,814,808,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,206,105,101,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1505,757,748,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2069,1038,1031,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2050,1030,1020,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,718,364,354,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1653,826,827,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,948,481,467,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,1724,872,852,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,951,480,471,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1175,588,587,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,838,421,417,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,2312,1164,1148,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1114,558,556,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,2854,1431,1423,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1506,754,752,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,1650,829,821,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,374,222,152,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,183,94,89,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,590,299,291,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1004,504,500,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1094,551,543,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1023,513,510,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,2245,1123,1122,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1510,753,757,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1557,779,778,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,1785,900,885,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,1973,989,984,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1395,702,693,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,2618,1311,1307,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1256,630,626,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,2573,1290,1283,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,1381,699,682,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2000,1004,996,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2560,1287,1273,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,571,289,282,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,2467,1243,1224,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,1935,969,966,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,2882,1454,1428,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,2969,1488,1481,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,1817,907,910,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1199,606,593,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,687,354,333,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,1441,725,716,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,1960,983,977,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,2088,1053,1035,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,1871,939,932,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,1876,949,927,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,1482,748,734,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,1507,756,751,APC
chr5,112174533,112174691,CHP2_APC_2.1,1719,865,854,APC
chr5,112175119,112175293,CHP2_APC_3.1,1605,802,803,APC
chr5,112175291,112175468,CHP2_APC_4.1,1907,969,938,APC
chr5,112175543,112175728,CHP2_APC_5.1,893,445,448,APC
chr5,112175716,112175887,CHP2_APC_6.1,2457,1242,1215,APC
chr5,112175896,112176060,CHP2_APC_7.1,979,492,487,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,287,145,142,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,841,426,415,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,1590,805,785,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,1538,769,769,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,1216,610,606,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,3305,1659,1646,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,555,282,273,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,1566,781,785,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,922,464,458,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,1443,724,719,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,1958,983,975,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,2635,1323,1312,MET
chr7,116340131,116340295,CHP2_MET_2.1,1576,795,781,MET
chr7,116403107,116403276,CHP2_MET_3.1,1504,750,754,MET
chr7,116411854,116412022,CHP2_MET_4.1,2578,1291,1287,MET
chr7,116417403,116417567,CHP2_MET_5.1,2606,1312,1294,MET
chr7,116423383,116423517,CHP2_MET_6.1,1292,656,636,MET
chr7,128845039,128845213,CHP2_SMO_1.1,1733,870,863,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,672,334,338,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,918,461,457,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,867,434,433,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1207,610,597,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,2267,1138,1129,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,2500,1260,1240,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,2003,1008,995,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,1191,600,591,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,797,401,396,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,1786,892,894,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,457,232,225,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,799,459,340,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,1746,875,871,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,3471,1742,1729,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,2621,1317,1304,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,1744,879,865,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1042,524,518,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,503,255,248,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,1601,804,797,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,238,119,119,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,928,472,456,RET
chr10,43609850,43610035,CHP2_RET_2.1,263,132,131,RET
chr10,43613770,43613918,CHP2_RET_3.1,796,403,393,RET
chr10,43615522,43615712,CHP2_RET_4.1,604,304,300,RET
chr10,43617290,43617458,CHP2_RET_5.1,1098,552,546,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,539,271,268,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,2157,1084,1073,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,1194,599,595,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,1459,734,725,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,1676,845,831,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,1574,790,784,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,3959,1981,1978,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,1806,905,901,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,1775,892,883,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,549,276,273,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,1559,783,776,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,1064,534,530,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,309,157,152,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,269,136,133,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,1742,878,864,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,2338,1181,1157,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,2469,1239,1230,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,1502,749,753,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,1925,967,958,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,1490,750,740,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,2601,1316,1285,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,3067,1539,1528,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,1047,525,522,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,1511,758,753,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,2595,1307,1288,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,2790,1399,1391,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,2304,1166,1138,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,1612,807,805,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,1507,755,752,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,1009,510,499,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,565,282,283,ATM
chr12,25378525,25378683,CHP2_KRAS_3.1,2747,1379,1368,KRAS
chr12,25380236,25380389,CHP2_KRAS_2.1,2459,1237,1222,KRAS
chr12,25398162,25398329,CHP2_KRAS_1.1,1984,998,986,KRAS
chr12,112888094,112888253,CHP2_PTPN11_1.1,2765,1390,1375,PTPN11
