Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1146,607,539,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,4041,2024,2017,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2259,1133,1126,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3447,1731,1716,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,676,339,337,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1344,678,666,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3943,1974,1969,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,4143,2076,2067,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,961,482,479,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,6195,3106,3089,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,4208,2107,2101,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,4093,2048,2045,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,890,448,442,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,5359,2695,2664,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3307,1655,1652,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,371,189,182,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1968,988,980,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2726,1366,1360,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2164,1084,1080,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1035,523,512,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,4196,2099,2097,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2425,1220,1205,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3980,1991,1989,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,2384,1197,1187,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,2748,1376,1372,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,2517,1266,1251,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,6550,3282,3268,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2882,1445,1437,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,9465,4750,4715,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3530,1770,1760,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,4826,2415,2411,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,952,555,397,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,373,186,187,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1575,792,783,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2542,1279,1263,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2167,1090,1077,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1769,890,879,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4659,2335,2324,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2235,1120,1115,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,2230,1114,1116,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3582,1796,1786,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,4425,2214,2211,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,3210,1608,1602,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,4390,2198,2192,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2072,1037,1035,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5628,2823,2805,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,3063,1535,1528,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,4808,2408,2400,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,5620,2821,2799,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1191,597,594,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,3316,1665,1651,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3897,1957,1940,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,5779,2903,2876,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,6070,3047,3023,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2405,1205,1200,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1828,916,912,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1803,903,900,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,3033,1526,1507,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3764,1888,1876,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3923,1973,1950,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,2568,1289,1279,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,4577,2295,2282,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,2421,1211,1210,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,2021,1014,1007,APC
chr5,112174533,112174691,CHP2_APC_2.1,3270,1639,1631,APC
chr5,112175119,112175293,CHP2_APC_3.1,2847,1428,1419,APC
chr5,112175291,112175468,CHP2_APC_4.1,3011,1513,1498,APC
chr5,112175543,112175728,CHP2_APC_5.1,1465,736,729,APC
chr5,112175716,112175887,CHP2_APC_6.1,3692,1856,1836,APC
chr5,112175896,112176060,CHP2_APC_7.1,1517,759,758,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,655,330,325,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1836,919,917,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2936,1468,1468,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,4273,2138,2135,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,2785,1394,1391,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,9983,5001,4982,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,1717,856,861,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,3444,1724,1720,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,2138,1075,1063,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,3213,1611,1602,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2809,1407,1402,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,4480,2247,2233,MET
chr7,116340131,116340295,CHP2_MET_2.1,2717,1362,1355,MET
chr7,116403107,116403276,CHP2_MET_3.1,2549,1277,1272,MET
chr7,116411854,116412022,CHP2_MET_4.1,3919,1965,1954,MET
chr7,116417403,116417567,CHP2_MET_5.1,3318,1669,1649,MET
chr7,116423383,116423517,CHP2_MET_6.1,2652,1334,1318,MET
chr7,128845039,128845213,CHP2_SMO_1.1,2798,1400,1398,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1305,653,652,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1734,873,861,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1377,690,687,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1709,858,851,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,4180,2099,2081,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,5407,2717,2690,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,5189,2603,2586,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,1991,1003,988,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,947,474,473,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,2160,1083,1077,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,510,256,254,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,696,351,345,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,2584,1295,1289,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,5191,2603,2588,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,3753,1882,1871,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,1548,778,770,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1519,762,757,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,929,467,462,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,2217,1115,1102,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,545,276,269,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1798,903,895,RET
chr10,43609850,43610035,CHP2_RET_2.1,627,315,312,RET
chr10,43613770,43613918,CHP2_RET_3.1,1585,799,786,RET
chr10,43615522,43615712,CHP2_RET_4.1,984,498,486,RET
chr10,43617290,43617458,CHP2_RET_5.1,2254,1126,1128,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,954,479,475,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,3567,1788,1779,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,2467,1236,1231,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,1807,907,900,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,2297,1151,1146,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,2489,1245,1244,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,9167,4590,4577,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,2621,1312,1309,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,3499,1752,1747,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,1006,504,502,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,2890,1448,1442,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,2284,1143,1141,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,601,301,300,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,654,330,324,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,3117,1563,1554,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,5952,2990,2962,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,4718,2364,2354,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,3639,1824,1815,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,3485,1750,1735,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,2804,1406,1398,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,5907,2961,2946,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,6670,3343,3327,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,2839,1422,1417,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,3916,1963,1953,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,5925,2970,2955,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,5438,2725,2713,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,4413,2213,2200,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,2421,1212,1209,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,3327,1671,1656,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,2400,1207,1193,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,1328,667,661,ATM
chr12,25378525,25378683,CHP2_KRAS_3.1,4198,2102,2096,KRAS
chr12,25380236,25380389,CHP2_KRAS_2.1,3783,1898,1885,KRAS
chr12,25398162,25398329,CHP2_KRAS_1.1,2811,1407,1404,KRAS
chr12,112888094,112888253,CHP2_PTPN11_1.1,3758,1887,1871,PTPN11
chr12,112926811,112926986,CHP2_PTPN11_2.1,2870,1441,1429,PTPN11
chr12,121431347,121431484,CHP2_HNF1A_1.1,2377,1195,1182,HNF1A
chr12,121431986,121432124,CHP2_HNF1A_2.1,3521,1767,1754,HNF1A
chr13,28592555,28592688,CHP2_FLT3_4.1,5345,2687,2658,FLT3
chr13,28602251,28602404,CHP2_FLT3_3.1,5687,2845,2842,FLT3
chr13,28608203,28608373,CHP2_FLT3_2.1,4358,2180,2178,FLT3
chr13,28610069,28610209,CHP2_FLT3_1.1,7680,3849,3831,FLT3
chr13,48919199,48919337,CHP2_RB1_1.1,6468,3245,3223,RB1
chr13,48923115,48923280,CHP2_RB1_2.1,4733,2373,2360,RB1
chr13,48941577,48941749,CHP2_RB1_3.1,4537,2272,2265,RB1
chr13,48942573,48942736,CHP2_RB1_4.1,2763,1389,1374,RB1
chr13,48953729,48953899,CHP2_RB1_5.1,4396,2211,2185,RB1
chr13,48955501,48955630,CHP2_RB1_6.1,8479,4250,4229,RB1
chr13,49027081,49027203,CHP2_RB1_7.1,5615,2822,2793,RB1
chr13,49033803,49033959,CHP2_RB1_8.1,4733,2372,2361,RB1
chr13,49037822,49037957,CHP2_RB1_9.1,6542,3282,3260,RB1
chr13,49039125,49039257,CHP2_RB1_10.1,5099,2557,2542,RB1
chr14,105241409,105241544,CHP2_AKT1_2.1,2377,1195,1182,AKT1
chr14,105246421,105246608,CHP2_AKT1_1.1,1046,527,519,AKT1
chr15,90631800,90631979,CHP2_IDH2_1.1,2285,1145,1140,IDH2
chr16,68835578,68835722,CHP2_CDH1_1.1,3596,1805,1791,CDH1
chr16,68846000,68846176,CHP2_CDH1_2.1,2240,1121,1119,CDH1
chr16,68847175,68847327,CHP2_CDH1_3.1,3751,1881,1870,CDH1
chr17,7573899,7574060,CHP2_TP53_8.1,1447,725,722,TP53
chr17,7576991,7577176,CHP2_TP53_7.1,913,460,453,TP53
chr17,7577484,7577637,CHP2_TP53_6.1,2381,1195,1186,TP53
chr17,7578156,7578323,CHP2_TP53_5.1,1369,689,680,TP53
chr17,7578328,7578508,CHP2_TP53_4.1,1952,981,971,TP53
chr17,7578492,7578626,CHP2_TP53_3.1,1894,949,945,TP53
chr17,7579326,7579510,CHP2_TP53_2.1,694,354,340,TP53
chr17,7579829,7579985,CHP2_TP53_1.1,1912,960,952,TP53
chr17,37880188,37880365,CHP2_ERBB2_1.1,2522,1266,1256,ERBB2
chr17,37880929,37881086,CHP2_ERBB2_2.1,1903,958,945,ERBB2
chr17,37881300,37881478,CHP2_ERBB2_3.1,1755,908,847,ERBB2
chr18,48575075,48575238,CHP2_SMAD4_1.1,2320,1165,1155,SMAD4
chr18,48575532,48575702,CHP2_SMAD4_2.1,1261,633,628,SMAD4
chr18,48581166,48581327,CHP2_SMAD4_3.1,1880,943,937,SMAD4
chr18,48584527,48584703,CHP2_SMAD4_4.1,2149,1077,1072,SMAD4
chr18,48586227,48586386,CHP2_SMAD4_5.1,2491,1253,1238,SMAD4
chr18,48591790,48591956,CHP2_SMAD4_6.1,2519,1264,1255,SMAD4
chr18,48593375,48593544,CHP2_SMAD4_7.1,1474,738,736,SMAD4
chr18,48603004,48603144,CHP2_SMAD4_8.1,3207,1610,1597,SMAD4
chr18,48604634,48604799,CHP2_SMAD4_9.1,1291,648,643,SMAD4
chr19,1206953,1207129,CHP2_STK11_1.1,2621,1318,1303,STK11
chr19,1220286,1220475,CHP2_STK11_2.1,426,214,212,STK11
chr19,1220456,1220628,CHP2_STK11_3.1,1186,705,481,STK11
chr19,1221212,1221357,CHP2_STK11_4.1,2254,1127,1127,STK11
chr19,1222990,1223169,CHP2_STK11_5.1,1562,784,778,STK11
chr19,3118857,3118998,CHP2_GNA11_1.1,1362,687,675,GNA11
chr19,17945592,17945759,CHP2_JAK3_3.1,2219,1114,1105,JAK3
chr19,17947962,17948099,CHP2_JAK3_2.1,2028,1017,1011,JAK3
chr19,17954110,17954250,CHP2_JAK3_1.1,1993,1001,992,JAK3
chr20,36031642,36031794,CHP2_SRC_1.1,2834,1424,1410,SRC
chr20,57484372,57484529,CHP2_GNAS_1.1,1344,676,668,GNAS
chr20,57484538,57484697,CHP2_GNAS_2.1,3122,1569,1553,GNAS
chr22,24133929,24134089,CHP2_SMARCB1_1.1,2064,1034,1030,SMARCB1
chr22,24143176,24143336,CHP2_SMARCB1_2.1,423,213,210,SMARCB1
chr22,24145453,24145623,CHP2_SMARCB1_3.1,2234,1119,1115,SMARCB1
chr22,24176235,24176416,CHP2_SMARCB1_4.1,712,359,353,SMARCB1
