Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1211,649,562,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3579,1796,1783,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2101,1047,1054,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3255,1633,1622,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,650,324,326,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1513,759,754,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3418,1712,1706,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2899,1453,1446,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,725,363,362,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5511,2765,2746,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3916,1972,1944,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2447,1227,1220,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,634,316,318,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3866,1942,1924,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3049,1533,1516,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,643,326,317,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3071,1545,1526,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,4319,2167,2152,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4460,2242,2218,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1305,659,646,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2779,1400,1379,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1638,819,819,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3489,1745,1744,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1883,942,941,PIK3CA
