Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1716,920,796,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,4209,2123,2086,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2762,1388,1374,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,4069,2055,2014,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,1076,546,530,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1712,866,846,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,4291,2157,2134,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3636,1823,1813,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,1043,523,520,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5630,2828,2802,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3871,1968,1903,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2685,1350,1335,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,1018,516,502,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4832,2421,2411,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3486,1751,1735,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,900,462,438,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3021,1524,1497,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,4192,2117,2075,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4466,2250,2216,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1424,722,702,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3541,1774,1767,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2368,1194,1174,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,4230,2126,2104,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,2052,1031,1021,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1297,649,648,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,2726,1363,1363,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4831,2424,2407,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2413,1213,1200,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,7545,3802,3743,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3291,1643,1648,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3919,1971,1948,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,1334,787,547,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,546,283,263,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1729,877,852,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,3278,1652,1626,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2879,1465,1414,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,2136,1073,1063,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4793,2416,2377,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2786,1400,1386,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,3310,1664,1646,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3799,1913,1886,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,4385,2200,2185,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,3655,1836,1819,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,4759,2387,2372,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2451,1231,1220,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5719,2871,2848,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,3216,1616,1600,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,4432,2229,2203,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,5941,2981,2960,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1599,805,794,KDR
