Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,816,443,373,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2716,1371,1345,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1394,701,693,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2867,1444,1423,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,835,424,411,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1877,945,932,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2950,1477,1473,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2808,1411,1397,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,515,259,256,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5439,2737,2702,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2988,1512,1476,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2697,1358,1339,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,600,301,299,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4233,2131,2102,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3372,1688,1684,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,375,193,182,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3000,1516,1484,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3965,1994,1971,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,3950,1985,1965,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,853,429,424,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3146,1581,1565,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1888,947,941,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,4122,2070,2052,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1902,960,942,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1714,859,855,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1603,806,797,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4772,2399,2373,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2323,1170,1153,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6746,3390,3356,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3011,1512,1499,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2925,1470,1455,PIK3CA
