Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1091,585,506,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3146,1587,1559,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2125,1064,1061,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3402,1708,1694,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,671,336,335,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1183,601,582,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3116,1560,1556,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2939,1479,1460,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,578,291,287,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5780,2909,2871,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3575,1807,1768,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2493,1256,1237,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,555,282,273,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4161,2098,2063,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3285,1653,1632,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,382,196,186,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2545,1282,1263,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3211,1617,1594,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4063,2039,2024,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1087,549,538,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2833,1416,1417,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1689,847,842,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3312,1654,1658,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,2087,1058,1029,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,2486,1248,1238,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1395,705,690,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4202,2107,2095,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2321,1169,1152,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,5471,2749,2722,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2779,1399,1380,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2871,1438,1433,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,588,350,238,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,266,136,130,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1103,564,539,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1904,958,946,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1832,925,907,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1922,964,958,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4532,2275,2257,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2723,1365,1358,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,3160,1590,1570,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3606,1808,1798,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3686,1851,1835,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2757,1395,1362,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,5054,2525,2529,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2407,1211,1196,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5408,2715,2693,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2641,1334,1307,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,4190,2095,2095,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2778,1393,1385,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,984,494,490,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,4878,2460,2418,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3981,1999,1982,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,5556,2806,2750,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,6625,3323,3302,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,3191,1602,1589,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,2036,1026,1010,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1222,616,606,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2711,1366,1345,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3417,1722,1695,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3150,1585,1565,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,3797,1902,1895,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,3893,1958,1935,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,2725,1375,1350,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,2243,1124,1119,APC
chr5,112174533,112174691,CHP2_APC_2.1,2568,1301,1267,APC
chr5,112175119,112175293,CHP2_APC_3.1,2587,1303,1284,APC
chr5,112175291,112175468,CHP2_APC_4.1,2952,1490,1462,APC
chr5,112175543,112175728,CHP2_APC_5.1,1053,530,523,APC
chr5,112175716,112175887,CHP2_APC_6.1,4127,2078,2049,APC
chr5,112175896,112176060,CHP2_APC_7.1,1602,802,800,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,469,238,231,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1711,857,854,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2550,1287,1263,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2696,1355,1341,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,2435,1232,1203,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,6412,3230,3182,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,1048,525,523,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,2594,1301,1293,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1565,795,770,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,2495,1244,1251,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2950,1478,1472,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,4619,2329,2290,MET
chr7,116340131,116340295,CHP2_MET_2.1,2885,1460,1425,MET
chr7,116403107,116403276,CHP2_MET_3.1,2478,1249,1229,MET
chr7,116411854,116412022,CHP2_MET_4.1,4449,2237,2212,MET
chr7,116417403,116417567,CHP2_MET_5.1,4360,2193,2167,MET
chr7,116423383,116423517,CHP2_MET_6.1,2064,1046,1018,MET
chr7,128845039,128845213,CHP2_SMO_1.1,3226,1625,1601,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1094,552,542,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1394,700,694,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1192,596,596,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,2008,1011,997,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,3913,1973,1940,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,3826,1921,1905,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,3353,1688,1665,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,2158,1089,1069,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,1294,654,640,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,2261,1134,1127,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,564,290,274,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,990,585,405,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,2203,1103,1100,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,5642,2838,2804,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,4005,2009,1996,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,2964,1490,1474,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1586,797,789,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,714,366,348,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,2313,1166,1147,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,317,164,153,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1712,866,846,RET
chr10,43609850,43610035,CHP2_RET_2.1,492,250,242,RET
chr10,43613770,43613918,CHP2_RET_3.1,1278,646,632,RET
chr10,43615522,43615712,CHP2_RET_4.1,942,475,467,RET
chr10,43617290,43617458,CHP2_RET_5.1,2222,1116,1106,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,880,441,439,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,4324,2166,2158,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,2514,1259,1255,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,2211,1116,1095,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,3055,1535,1520,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,2649,1328,1321,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,6031,3024,3007,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,3060,1534,1526,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,3102,1555,1547,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,1060,532,528,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,2921,1462,1459,FGFR2
