Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,550,297,253,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2232,1122,1110,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1479,742,737,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2095,1048,1047,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,450,225,225,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,854,429,425,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1982,991,991,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1956,976,980,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,463,231,232,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,3420,1723,1697,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2525,1279,1246,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1601,801,800,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,410,206,204,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2629,1326,1303,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2058,1033,1025,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,271,137,134,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1520,768,752,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2335,1172,1163,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2244,1130,1114,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,763,386,377,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1925,961,964,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1281,642,639,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2094,1048,1046,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1213,608,605,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1375,692,683,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,985,492,493,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,2640,1326,1314,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1422,715,707,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,3409,1705,1704,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1809,906,903,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,1886,944,942,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,347,206,141,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,155,79,76,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,746,375,371,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1142,571,571,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1118,564,554,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1345,674,671,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,2866,1435,1431,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1637,820,817,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1977,994,983,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,2420,1211,1209,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,2431,1214,1217,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1889,951,938,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,3015,1507,1508,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1600,802,798,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,3165,1588,1577,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,1972,992,980,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2608,1306,1302,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,3151,1574,1577,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,689,345,344,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,3279,1644,1635,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,2586,1299,1287,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,3442,1735,1707,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,3718,1866,1852,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,1790,896,894,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1515,763,752,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1045,524,521,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,1747,878,869,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,2203,1103,1100,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,2481,1247,1234,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,2360,1183,1177,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,2438,1224,1214,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,1843,924,919,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,1748,875,873,APC
chr5,112174533,112174691,CHP2_APC_2.1,2073,1042,1031,APC
chr5,112175119,112175293,CHP2_APC_3.1,2095,1045,1050,APC
chr5,112175291,112175468,CHP2_APC_4.1,2088,1053,1035,APC
chr5,112175543,112175728,CHP2_APC_5.1,964,484,480,APC
chr5,112175716,112175887,CHP2_APC_6.1,3047,1534,1513,APC
chr5,112175896,112176060,CHP2_APC_7.1,1184,596,588,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,391,198,193,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1169,587,582,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2105,1060,1045,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,1494,748,746,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,1262,631,631,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,3269,1633,1636,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,538,269,269,EGFR
