Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,900,494,406,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3347,1679,1668,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2058,1031,1027,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3062,1540,1522,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,592,300,292,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1321,669,652,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3294,1652,1642,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2924,1469,1455,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,670,336,334,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5672,2850,2822,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3975,2004,1971,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2609,1306,1303,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,676,343,333,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4158,2102,2056,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3254,1634,1620,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,400,203,197,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2532,1279,1253,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3638,1830,1808,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4334,2178,2156,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1171,592,579,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3029,1522,1507,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1895,957,938,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3471,1740,1731,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1896,956,940,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,2217,1112,1105,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1576,791,785,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4162,2089,2073,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2398,1205,1193,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,5810,2919,2891,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3041,1529,1512,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3280,1643,1637,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,609,352,257,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,263,133,130,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1035,529,506,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1868,945,923,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1821,922,899,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1952,980,972,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4536,2285,2251,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2931,1479,1452,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,2926,1474,1452,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3729,1876,1853,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3840,1927,1913,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2944,1481,1463,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,5167,2582,2585,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2332,1171,1161,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5116,2576,2540,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2711,1361,1350,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3973,1996,1977,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,5172,2587,2585,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1138,573,565,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,4239,2132,2107,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3868,1943,1925,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,5665,2857,2808,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,5902,2970,2932,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2997,1502,1495,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,2169,1093,1076,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1347,677,670,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2738,1379,1359,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3654,1835,1819,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3622,1821,1801,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,3706,1863,1843,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,4229,2125,2104,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,2866,1436,1430,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,3025,1515,1510,APC
chr5,112174533,112174691,CHP2_APC_2.1,3288,1655,1633,APC
chr5,112175119,112175293,CHP2_APC_3.1,2886,1450,1436,APC
chr5,112175291,112175468,CHP2_APC_4.1,3432,1729,1703,APC
chr5,112175543,112175728,CHP2_APC_5.1,1220,614,606,APC
chr5,112175716,112175887,CHP2_APC_6.1,4654,2350,2304,APC
chr5,112175896,112176060,CHP2_APC_7.1,2017,1015,1002,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,534,274,260,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1724,867,857,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2828,1434,1394,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2456,1237,1219,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,2100,1056,1044,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,5456,2736,2720,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,819,414,405,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,2077,1042,1035,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1402,706,696,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,2122,1069,1053,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2545,1280,1265,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,3932,1980,1952,MET
chr7,116340131,116340295,CHP2_MET_2.1,2401,1207,1194,MET
chr7,116403107,116403276,CHP2_MET_3.1,2227,1116,1111,MET
chr7,116411854,116412022,CHP2_MET_4.1,4020,2022,1998,MET
chr7,116417403,116417567,CHP2_MET_5.1,3515,1770,1745,MET
chr7,116423383,116423517,CHP2_MET_6.1,1849,930,919,MET
chr7,128845039,128845213,CHP2_SMO_1.1,2746,1385,1361,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1030,517,513,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1320,663,657,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1197,607,590,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1987,1000,987,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,3419,1718,1701,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,3624,1826,1798,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,3127,1569,1558,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,2212,1122,1090,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,1405,707,698,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,2370,1189,1181,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,680,347,333,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,1186,597,589,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,2456,1240,1216,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,5439,2738,2701,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,3686,1849,1837,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,2511,1263,1248,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1555,780,775,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,608,312,296,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,2062,1035,1027,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,364,181,183,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1691,853,838,RET
chr10,43609850,43610035,CHP2_RET_2.1,606,306,300,RET
chr10,43613770,43613918,CHP2_RET_3.1,1322,668,654,RET
chr10,43615522,43615712,CHP2_RET_4.1,1098,557,541,RET
chr10,43617290,43617458,CHP2_RET_5.1,2255,1127,1128,RET
