Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,444,241,203,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,1717,856,861,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,992,495,497,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,1453,734,719,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,441,221,220,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,807,408,399,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1979,989,990,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1644,828,816,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,414,210,204,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,2742,1384,1358,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2191,1097,1094,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1600,803,797,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,462,233,229,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2183,1094,1089,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,1680,842,838,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,243,123,120,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1341,674,667,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,1632,819,813,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,1723,866,857,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,620,310,310,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1303,658,645,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,895,448,447,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,1716,858,858,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,904,452,452,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1040,522,518,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,714,357,357,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,1887,947,940,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,966,484,482,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,2617,1313,1304,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1326,666,660,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,1549,770,779,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,569,329,240,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,272,137,135,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,968,486,482,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1544,777,767,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1261,633,628,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1147,572,575,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,2501,1256,1245,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1442,725,717,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1561,777,784,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,2270,1140,1130,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,2207,1115,1092,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1861,936,925,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,2526,1260,1266,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1368,689,679,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,2757,1384,1373,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,1785,893,892,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2139,1071,1068,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2879,1444,1435,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,565,285,280,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,2604,1309,1295,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,2104,1056,1048,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,3054,1535,1519,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,3213,1614,1599,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,1827,916,911,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1205,603,602,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,495,251,244,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,1459,733,726,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,2102,1050,1052,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,2362,1190,1172,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,1752,879,873,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,2365,1189,1176,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,1578,791,787,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,2085,1050,1035,APC
chr5,112174533,112174691,CHP2_APC_2.1,2291,1148,1143,APC
chr5,112175119,112175293,CHP2_APC_3.1,1918,959,959,APC
chr5,112175291,112175468,CHP2_APC_4.1,2170,1090,1080,APC
chr5,112175543,112175728,CHP2_APC_5.1,1325,666,659,APC
chr5,112175716,112175887,CHP2_APC_6.1,2998,1509,1489,APC
chr5,112175896,112176060,CHP2_APC_7.1,1298,651,647,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,532,265,267,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1254,631,623,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2160,1076,1084,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,1311,658,653,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,1267,634,633,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,2745,1385,1360,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,633,315,318,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,1257,630,627,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,935,470,465,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,1316,661,655,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,1719,866,853,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,2144,1074,1070,MET
chr7,116340131,116340295,CHP2_MET_2.1,1180,592,588,MET
chr7,116403107,116403276,CHP2_MET_3.1,1135,570,565,MET
chr7,116411854,116412022,CHP2_MET_4.1,1557,782,775,MET
chr7,116417403,116417567,CHP2_MET_5.1,1741,876,865,MET
chr7,116423383,116423517,CHP2_MET_6.1,1210,609,601,MET
chr7,128845039,128845213,CHP2_SMO_1.1,1790,899,891,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,736,370,366,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,997,499,498,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,852,429,423,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1260,633,627,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,1771,891,880,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,2043,1032,1011,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,1931,968,963,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,1362,683,679,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,1026,514,512,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,1553,779,774,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,488,244,244,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,712,358,354,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,1388,696,692,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,3030,1519,1511,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,2266,1136,1130,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,1298,653,645,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,958,481,477,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,511,259,252,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,1446,732,714,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,313,156,157,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1575,794,781,RET
chr10,43609850,43610035,CHP2_RET_2.1,648,325,323,RET
chr10,43613770,43613918,CHP2_RET_3.1,1510,759,751,RET
chr10,43615522,43615712,CHP2_RET_4.1,934,473,461,RET
chr10,43617290,43617458,CHP2_RET_5.1,1674,838,836,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,893,448,445,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,2770,1394,1376,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,1727,869,858,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,1566,785,781,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,2140,1072,1068,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,2005,1005,1000,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,4520,2267,2253,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,2150,1076,1074,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,2386,1191,1195,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,729,366,363,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,2058,1037,1021,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,1601,809,792,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,369,185,184,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,361,184,177,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,1508,759,749,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,2232,1120,1112,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,2074,1039,1035,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,1441,721,720,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,1615,813,802,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,1299,653,646,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,2161,1085,1076,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,2439,1226,1213,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,1123,561,562,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,1488,750,738,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,2449,1230,1219,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,2389,1201,1188,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,2123,1072,1051,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,1360,682,678,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,1441,722,719,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,1020,513,507,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,604,306,298,ATM
chr12,25378525,25378683,CHP2_KRAS_3.1,2142,1081,1061,KRAS
chr12,25380236,25380389,CHP2_KRAS_2.1,2141,1075,1066,KRAS
chr12,25398162,25398329,CHP2_KRAS_1.1,1743,883,860,KRAS
chr12,112888094,112888253,CHP2_PTPN11_1.1,2093,1047,1046,PTPN11
chr12,112926811,112926986,CHP2_PTPN11_2.1,1901,956,945,PTPN11
chr12,121431347,121431484,CHP2_HNF1A_1.1,1406,707,699,HNF1A
chr12,121431986,121432124,CHP2_HNF1A_2.1,2214,1114,1100,HNF1A
chr13,28592555,28592688,CHP2_FLT3_4.1,2917,1463,1454,FLT3
chr13,28602251,28602404,CHP2_FLT3_3.1,3209,1611,1598,FLT3
chr13,28608203,28608373,CHP2_FLT3_2.1,2813,1415,1398,FLT3
chr13,28610069,28610209,CHP2_FLT3_1.1,4561,2293,2268,FLT3
chr13,48919199,48919337,CHP2_RB1_1.1,3419,1717,1702,RB1
chr13,48923115,48923280,CHP2_RB1_2.1,2887,1458,1429,RB1
chr13,48941577,48941749,CHP2_RB1_3.1,2490,1246,1244,RB1
chr13,48942573,48942736,CHP2_RB1_4.1,1847,930,917,RB1
chr13,48953729,48953899,CHP2_RB1_5.1,2402,1207,1195,RB1
chr13,48955501,48955630,CHP2_RB1_6.1,4352,2177,2175,RB1
chr13,49027081,49027203,CHP2_RB1_7.1,3529,1774,1755,RB1
chr13,49033803,49033959,CHP2_RB1_8.1,3033,1527,1506,RB1
chr13,49037822,49037957,CHP2_RB1_9.1,3863,1939,1924,RB1
chr13,49039125,49039257,CHP2_RB1_10.1,3156,1586,1570,RB1
chr14,105241409,105241544,CHP2_AKT1_2.1,1056,527,529,AKT1
chr14,105246421,105246608,CHP2_AKT1_1.1,533,269,264,AKT1
chr15,90631800,90631979,CHP2_IDH2_1.1,989,495,494,IDH2
chr16,68835578,68835722,CHP2_CDH1_1.1,2112,1063,1049,CDH1
chr16,68846000,68846176,CHP2_CDH1_2.1,1394,699,695,CDH1
chr16,68847175,68847327,CHP2_CDH1_3.1,2138,1069,1069,CDH1
chr17,7573899,7574060,CHP2_TP53_8.1,1343,676,667,TP53
chr17,7576991,7577176,CHP2_TP53_7.1,1046,523,523,TP53
chr17,7577484,7577637,CHP2_TP53_6.1,2375,1191,1184,TP53
chr17,7578156,7578323,CHP2_TP53_5.1,1432,720,712,TP53
chr17,7578328,7578508,CHP2_TP53_4.1,1786,896,890,TP53
chr17,7578492,7578626,CHP2_TP53_3.1,1318,660,658,TP53
chr17,7579326,7579510,CHP2_TP53_2.1,916,464,452,TP53
chr17,7579829,7579985,CHP2_TP53_1.1,2058,1029,1029,TP53
chr17,37880188,37880365,CHP2_ERBB2_1.1,1629,819,810,ERBB2
chr17,37880929,37881086,CHP2_ERBB2_2.1,1318,665,653,ERBB2
chr17,37881300,37881478,CHP2_ERBB2_3.1,1027,535,492,ERBB2
chr18,48575075,48575238,CHP2_SMAD4_1.1,1538,774,764,SMAD4
chr18,48575532,48575702,CHP2_SMAD4_2.1,937,472,465,SMAD4
chr18,48581166,48581327,CHP2_SMAD4_3.1,1252,626,626,SMAD4
chr18,48584527,48584703,CHP2_SMAD4_4.1,1589,799,790,SMAD4
chr18,48586227,48586386,CHP2_SMAD4_5.1,1246,624,622,SMAD4
chr18,48591790,48591956,CHP2_SMAD4_6.1,1621,815,806,SMAD4
chr18,48593375,48593544,CHP2_SMAD4_7.1,743,374,369,SMAD4
chr18,48603004,48603144,CHP2_SMAD4_8.1,1781,896,885,SMAD4
chr18,48604634,48604799,CHP2_SMAD4_9.1,715,359,356,SMAD4
chr19,1206953,1207129,CHP2_STK11_1.1,1624,814,810,STK11
chr19,1220286,1220475,CHP2_STK11_2.1,363,182,181,STK11
chr19,1220456,1220628,CHP2_STK11_3.1,679,398,281,STK11
chr19,1221212,1221357,CHP2_STK11_4.1,1640,823,817,STK11
